cluster,term,bandwidth
0,intercept,105.0
0,승인연도,84.0
0,소방위험도_점수,226.0
0,주변건물수,185.0
0,집중도,77.0
0,단속위험도,206.0
0,구조노후도,177.0
0,도로폭위험도,185.0
0,최근접_소화용수_거리등급,206.0
0,총층수,107.0
0,연면적,234.0
1,intercept,125.0
1,승인연도,259.0
1,소방위험도_점수,152.0
1,주변건물수,252.0
1,집중도,226.0
1,단속위험도,118.0
1,구조노후도,118.0
1,도로폭위험도,151.0
1,최근접_소화용수_거리등급,138.0
1,총층수,226.0
1,연면적,172.0
2,intercept,152.0
2,승인연도,178.0
2,소방위험도_점수,238.0
2,주변건물수,206.0
2,집중도,219.0
2,단속위험도,146.0
2,구조노후도,160.0
2,도로폭위험도,206.0
2,최근접_소화용수_거리등급,174.0
2,총층수,114.0
2,연면적,193.0
