cluster,model,n,sampled,bandwidth,fit,adj_fit,aic,resid_moran_I,resid_moran_p,seconds,status
0,OLS,1458,False,,1.0,1.0,-88812.03984049223,0.2621609643945481,0.002,,ok
0,SLM,1458,,,1.0,,-49125.9678466773,0.5132434577318812,0.002,9.34,ok
0,SEM,1458,,,1.0,,-38800.84031774989,0.11582688161892349,0.002,11.69,ok
0,GWR,900,True,409.0,1.0,1.0,-55254.640257444305,0.00762894198259995,0.244,4.22,ok
0,MGWR,350,True,162.9090909090909,1.0,1.0,-21717.121985922287,-0.0225473182262246,0.172,5.97,ok
1,OLS,1238,False,,1.0,1.0,-75206.27757030707,0.2984745447409123,0.002,,ok
1,SLM,1238,,,1.0,,-39523.28783968086,0.5981381296968017,0.002,7.22,ok
1,SEM,1238,,,0.9999999999999998,,-inf,0.2147210822414286,0.002,5.85,ok
1,GWR,900,True,403.0,1.0,1.0,-55255.57219478594,-0.0023287661158058097,0.468,3.82,ok
1,MGWR,350,True,176.0909090909091,1.0,1.0,-21655.518106629213,-0.03191836480177414,0.066,5.57,ok
2,OLS,1550,False,,1.0,1.0,-93575.998614373,0.24614298579739086,0.002,,ok
2,SLM,1550,,,1.0,,-47549.73256985186,0.5424016651327932,0.002,8.15,ok
2,SEM,1550,,,1.0,,-inf,0.10896703342146354,0.002,11.57,ok
2,GWR,900,True,328.0,1.0,1.0,-54478.22382314353,0.012685698373848406,0.17,3.9,ok
2,MGWR,350,True,180.54545454545453,1.0,1.0,-21421.46290050779,0.006073241616441396,0.298,5.95,ok
