cluster,term,bandwidth
0,intercept,32.0
0,승인연도,179.0
0,소방위험도_점수,80.0
0,주변건물수,32.0
0,집중도,78.0
0,단속위험도,177.0
0,구조노후도,176.0
0,도로폭위험도,179.0
0,최근접_소화용수_거리등급,178.0
0,총층수,179.0
0,연면적,179.0
1,intercept,31.0
1,승인연도,179.0
1,소방위험도_점수,31.0
1,주변건물수,102.0
1,집중도,157.0
1,단속위험도,175.0
1,구조노후도,179.0
1,도로폭위험도,179.0
1,최근접_소화용수_거리등급,179.0
1,총층수,179.0
1,연면적,166.0
2,intercept,48.0
2,승인연도,172.0
2,소방위험도_점수,31.0
2,주변건물수,179.0
2,집중도,179.0
2,단속위험도,165.0
2,구조노후도,179.0
2,도로폭위험도,179.0
2,최근접_소화용수_거리등급,103.0
2,총층수,97.0
2,연면적,107.0
