cluster,model,n,sampled,bandwidth,fit,adj_fit,aic,resid_moran_I,resid_moran_p,seconds,status
0,OLS,1458,False,,0.059099732705018226,0.05259731206027063,8665.345610339184,0.5415513508640514,0.005,,ok
0,SLM,1458,,,0.567551710292343,,7696.121858793268,0.049451705222639475,0.005,11.32,ok
0,SEM,1458,,,0.02686741892281669,,7660.75916197834,0.5794019641727877,0.005,4.87,ok
0,GWR,700,True,126.0,0.51490501476919,0.39446695339187043,3965.883472573046,0.13124836787631672,0.005,2.8,ok
0,MGWR,220,True,133.54545454545453,0.5886453142480002,0.44446580601070773,1258.535159726403,-0.05394944508938076,0.01,50.42,ok
1,OLS,1238,False,,0.24338504182347098,0.23721866074623776,6068.870875061142,0.4210862373990331,0.005,,ok
1,SLM,1238,,,0.5546435305000748,,5487.298702895829,0.03404623186600586,0.01,3.26,ok
1,SEM,1238,,,0.21164323433744023,,5483.843084456293,0.5130427705135429,0.005,4.28,ok
1,GWR,700,True,87.0,0.7061540659113311,0.588874719066583,3323.156041913223,0.017206455046261837,0.105,2.81,ok
1,MGWR,220,True,141.54545454545453,0.6487182705826016,0.5266760518668328,1005.9703942789001,-0.05741597220812521,0.015,35.92,ok
2,OLS,1550,False,,0.0947086212157523,0.08882628607095522,9198.768169896428,0.5640718854722969,0.005,,ok
2,SLM,1550,,,0.648510926688111,,7944.729171580597,0.064113866089193,0.005,5.1,ok
2,SEM,1550,,,0.0354786922670135,,7910.346453336628,0.6203473251528887,0.005,4.21,ok
2,GWR,700,True,161.0,0.5125337496236044,0.4168150546200585,4049.944367679425,0.19479962686590688,0.005,3.1,ok
2,MGWR,220,True,130.8181818181818,0.6053407023067738,0.4874856742804409,1270.927698985566,-0.03984524766827317,0.055,49.6,ok
