기대피해액_순위,구,동,시설명,예상_화재발생확률,조건부_예상피해액_백만원,기대피해액_백만원,소방위험도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,반경100m_화재수
1,영등포구,여의도동,호텔 코보스,0.83391669157379,0.2231161985810334,0.1860603221572161,0.6101,3,0.0,3.677273907993628,0.1308,0.18,37.52740183,126.91983276,1
2,강남구,논현동,강남 옥토 게스트하우스,0.9319630462806489,0.1902378681775236,0.1772946631446614,0.6182,12,58.3,4.003564336550242,0.1293,0.0,37.50635882,127.0240457,0
3,중구,회현동,남산인2,0.9316908084954456,0.1842557579422932,0.1716693960871963,0.1735,2,0.0,5.111987788356544,0.1394,0.12,37.5547375,126.98328881,0
4,강남구,논현동,슬로우 아뜰리에,0.8322805798267745,0.2054519120075643,0.170993636452175,0.5935,9,33.3,2.509639311237986,0.1451,0.0,37.50583714,127.02366418,0
5,중구,회현동,1012 하우스 남산,0.9316974162765956,0.1828844856612142,0.1703930027676274,0.1658,3,0.0,5.063498783653324,0.1394,0.12,37.5548967,126.98327482,0
6,종로구,행촌동,하늘 스테이,0.972155916910448,0.1676046113667703,0.1629378146416818,0.6209,29,69.0,5.484796933490655,0.1079,0.12,37.57197814,126.9615538,0
7,강남구,신사동,문석하우스,0.7783491066156861,0.2082543080328466,0.1620945546062341,0.5334,6,33.3,2.0632215978130723,0.1094,0.0,37.51781045,127.02488407,1
8,강남구,역삼동,행복한 하루,0.78444269452433,0.2049484940113563,0.1607703488809719,0.571,8,37.5,2.085423613357384,0.1408,0.0,37.49933142,127.02686676,1
9,강남구,청담동,한강,0.6895249045771036,0.2317152840712601,0.159773459138292,0.5991,3,0.0,1.3816966518712612,0.1436,0.0,37.52470414,127.05144672,1
10,용산구,이태원동,에어181,0.7855596594274245,0.2025335132278949,0.1591021576739449,0.2539,0,0.0,2.790122777531306,0.105,0.08,37.53249243,126.98976638,0
11,강남구,논현동,썬시티 게스트하우스,0.7388555136655243,0.2121015451293707,0.1567123960758126,0.7492,10,60.0,1.3801176892281617,0.1222,0.0,37.5128639,127.02002384,0
12,강남구,역삼동,어반엑시트(Urban Exit),0.7433781686310396,0.2107880853385014,0.1566952608481785,0.3842,4,0.0,1.988422143292668,0.1293,0.0,37.49935671,127.03312922,0
13,용산구,갈월동,호텔 더 디자이너스,0.8232366857644059,0.1893217873888187,0.1558566407929646,0.4213,12,33.3,2.8058593409741737,0.1122,0.12,37.5428,126.97079796,0
14,용산구,갈월동,호텔 더 디자이너스,0.8232366857644059,0.1893217873888187,0.1558566407929646,0.4213,12,33.3,2.8058593409741737,0.1122,0.12,37.5428,126.97079796,0
15,용산구,이태원동,에이원호텔,0.8730431359716692,0.1779848942802761,0.1553884902580383,0.2452,14,21.4,3.259184480105219,0.1122,0.08,37.5312925,126.99084352,0
16,강남구,역삼동,강남미인,0.7709802440670611,0.2012465124885446,0.1551570853160629,0.5739,8,50.0,1.9696266756726293,0.1322,0.0,37.50155579,127.02552273,0
17,용산구,이태원동,WYW STAY,0.8477003853640471,0.182459522314361,0.1546710073792238,0.2626,10,20.0,3.1465079923647234,0.1322,0.08,37.53100024,126.99062359,0
18,송파구,방이동,쿠키,0.6761285511579106,0.2282752536705376,0.1543434165294651,0.6263,4,0.0,1.8454396186916788,0.1551,0.12,37.51255038,127.10804448,0
19,강남구,논현동,프리시 하우스,0.6758266741518701,0.2283095973662068,0.1542977158649561,0.7514,6,33.3,1.0446362874663122,0.1408,0.0,37.51281808,127.02036698,0
20,송파구,방이동,IM HOTEL(아이엠 호텔),0.6627352728751427,0.2302270861790191,0.1525796107821012,0.6263,3,0.0,1.7744537221304626,0.1494,0.12,37.51265214,127.10800132,0
21,중구,남산동,올리브 호스텔 R1,0.8049604748955723,0.1895417529285622,0.1525736194499147,0.1607,1,0.0,3.1566270778566223,0.148,0.12,37.55502744,126.98364318,0
