term,coef,p_value,significant_0_05
const,5.026205294254348,0.0,True
fire_risk,0.09057642871414846,0.0532268910299327,False
nearby_buildings,-0.11950002969952613,4.222867645238171e-05,True
concentration,-0.046583941082208195,0.08948408017319383,False
enforcement_risk,-0.0013671326403063163,0.9764510324582325,False
structure_aging,-0.061096467490493175,0.21611574569047332,False
road_width_risk,0.01983372597275036,0.7880043076378296,False
aging_x_road,-0.01438563107190649,0.8131875603544295,False
enforce_x_road,0.01691320544321459,0.7593276055607403,False
fire_x_road,-0.05378608654611585,0.40734927842023005,False
