구,동,숙소명,위도,경도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,시설규모/연면적,nearest5_mean_damage_thousand_krw,nearest5_median_damage_thousand_krw,nearest5_min_distance_km,nearest5_mean_distance_km,nearest1_damage_thousand_krw,nearest1_distance_km,nearest2_damage_thousand_krw,nearest2_distance_km,nearest3_damage_thousand_krw,nearest3_distance_km,nearest4_damage_thousand_krw,nearest4_distance_km,nearest5_damage_thousand_krw,nearest5_distance_km
종로구,종로2가,서울YMCA관광호텔,37.56785597,126.98450169,13,15.4,0.6931471805599453,0.1851,0.55,9,893.0,1066.4,117.0,0.05036735504922142,0.11884186754680581,239,0.05036735504922142,79,0.1258115427574275,4897,0.13758637979070246,0,0.13930516260079961,117,0.14113889753587805
종로구,관훈동,호텔 썬비,37.57030354,126.9840039,8,50.0,0.7304542329727559,0.1308,0.08,10,2071.0,104.4,20.0,0.059263651887920855,0.08971289892647807,458,0.059263651887920855,11,0.06485127007746774,20,0.1027120975418378,0,0.1060180277441486,33,0.11571944738101535
종로구,관훈동,나인트리 바이 파르나스 서울 인사동,37.57180204,126.98300804,14,71.4,0.4895482253187058,0.1079,0.12,17,22135.0,9453.4,203.0,0.058799492476569654,0.08660562650875481,45865,0.058799492476569654,0,0.07328756915066979,203,0.09670270398968907,72,0.10096218173704073,1127,0.10327618518980478
종로구,인의동,이스트 아뜰리에,37.57093161,126.99588429,3,0.0,0.0652912498144373,0.4289,0.08,4,367.96,105.4,35.0,0.0048686386069304016,0.11589404337524016,44,0.0048686386069304016,35,0.09454064694197421,0,0.1412968398801221,4,0.15662749636753734,444,0.18213659507963678
종로구,숭인동,U-STAY HOSTEL,37.56976898,127.01545561,3,0.0,1.8643198527313989,0.1408,0.18,6,130.0,85.4,22.0,0.06460772404673379,0.0903778761229586,12,0.06460772404673379,283,0.07118747568758912,22,0.08437137440719207,11,0.1097765291060164,99,0.1219462773672616
종로구,낙원동,목시 서울 인사동 호텔,37.56954746,126.98855583,21,66.7,1.7926362777015894,0.1079,0.85,19,5971.0,129.4,55.0,0.04734203396983008,0.07729111728387857,0,0.04734203396983008,301,0.04745735784452953,264,0.08614266436702173,55,0.10190814499180402,27,0.10360538524620747
종로구,이화동,글루호텔,37.57304815,127.00317208,7,57.1,0.058188157683169,0.1079,0.04,15,1844.0,25005.2,16049.0,0.04368476409718864,0.10910307908797441,20,0.04368476409718864,16049,0.0686009159027098,14193,0.12958936656334463,61782,0.1497880100253884,32982,0.15385233885124058
종로구,당주동,SOUNDS INN GWANGHWAMUN,37.56859605,126.97474946,5,0.0,0.035612071788877,0.4676,0.55,5,162.0,1072.8,33.0,0.12237553057871438,0.16951528776896513,13,0.12237553057871438,107,0.15211556008562416,33,0.1864521572586594,0,0.19286483505531588,5211,0.19376835586651184
종로구,종로4가,진가,37.56787973,126.99879348,37,78.4,0.6931471805599453,0.1823,0.7,5,151.0,23759.0,658.0,0.03680916498938401,0.052928913476962845,113843,0.03680916498938401,658,0.04072743493452117,11,0.04521933144505506,240,0.06007531369428288,4043,0.08181332232157111
종로구,묘동,킴스텔코리아 종로점,37.57078678,126.99068465,31,67.7,0.698324068739479,0.4641,1.0,6,291.0,279.0,162.0,0.00160326218593334,0.021940518666842816,162,0.00160326218593334,482,0.018275612826672557,34,0.024543196256661293,39,0.03263975074395875,678,0.03264077132098816
