구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,x_5181,y_5181,최근접_소화용수_거리등급,업종,건물용도명,총층수,연면적
종로구,종로2가,서울YMCA관광호텔,1965,0.3564,13,15.4,0.6931471805599453,0.1851,0.55,37.56785597,126.98450169,198630.79614987536,452035.4127998096,0,관광숙박업,호텔,9,893.0
종로구,관훈동,호텔 썬비,2003,0.3349,8,50.0,0.7304542329727559,0.1308,0.08,37.57030354,126.9840039,198586.8649520342,452307.07189909474,0,관광숙박업,호텔,10,2071.0
종로구,관훈동,나인트리 바이 파르나스 서울 인사동,2019,0.3135,14,71.4,0.4895482253187058,0.1079,0.12,37.57180204,126.98300804,198498.91829008472,452473.40342401474,1,관광숙박업,숙박시설,17,22135.0
종로구,인의동,이스트 아뜰리에,1985,0.1408,3,0.0,0.0652912498144373,0.4289,0.08,37.57093161,126.99588429,199636.41105074776,452376.66804754216,2,외국인관광도시민박업,숙박시설,4,367.96
종로구,숭인동,U-STAY HOSTEL,1996,0.1894,3,0.0,1.8643198527313989,0.1408,0.18,37.56976898,127.01545561,201365.39658222973,452247.73397197865,2,관광숙박업,숙박시설,6,130.0
종로구,낙원동,목시 서울 인사동 호텔,2019,0.1735,21,66.7,1.7926362777015894,0.1079,0.85,37.56954746,126.98855583,198988.98349142575,452223.0971097793,0,관광숙박업,숙박시설,19,5971.0
종로구,이화동,글루호텔,2019,0.3165,7,57.1,0.058188157683169,0.1079,0.04,37.57304815,127.00317208,200280.2191106077,452611.57618867216,1,관광숙박업,숙박시설,15,1844.0
종로구,당주동,SOUNDS INN GWANGHWAMUN,1963,0.6236,5,0.0,0.035612071788877,0.4676,0.55,37.56859605,126.97474946,197769.2538927436,452117.7398351733,2,관광숙박업,"제1,2종근린생활시설",5,162.0
종로구,종로4가,진가,1967,0.3014,37,78.4,0.6931471805599453,0.1823,0.7,37.56787973,126.99879348,199893.40958469972,452037.9376605889,1,관광숙박업,"영업용, 관광숙박시설(호스텔)",5,151.0
종로구,묘동,킴스텔코리아 종로점,1965,0.0898,31,67.7,0.698324068739479,0.4641,1.0,37.57078678,126.99068465,199177.0642537979,452360.62642953946,1,관광숙박업,"숙박시설, 근린생활시설",6,291.0
종로구,창신동,호스텔 메가 동대문역,1992,0.129,6,0.0,0.2810012094609484,0.1465,0.18,37.56790086,127.00943028,200833.1210247645,452040.3239614565,2,관광숙박업,근린생활시설,6,152.0
