target_col,target_label,model,class,precision,recall,f1_score,support
공통_3등급,공통 기준 3등급,Dummy,안전,0.3343,1.0,0.5011,355
공통_3등급,공통 기준 3등급,Dummy,보통,0.0,0.0,0.0,353
공통_3등급,공통 기준 3등급,Dummy,위험,0.0,0.0,0.0,354
공통_3등급,공통 기준 3등급,LogisticRegression,안전,0.7022,0.7239,0.7129,355
공통_3등급,공통 기준 3등급,LogisticRegression,보통,0.5656,0.5127,0.5379,353
공통_3등급,공통 기준 3등급,LogisticRegression,위험,0.7234,0.7684,0.7452,354
공통_3등급,공통 기준 3등급,LinearSVC,안전,0.697,0.7127,0.7047,355
공통_3등급,공통 기준 3등급,LinearSVC,보통,0.5556,0.4674,0.5077,353
공통_3등급,공통 기준 3등급,LinearSVC,위험,0.694,0.7881,0.7381,354
공통_3등급,공통 기준 3등급,RandomForest,안전,0.6889,0.7549,0.7204,355
공통_3등급,공통 기준 3등급,RandomForest,보통,0.5908,0.5071,0.5457,353
공통_3등급,공통 기준 3등급,RandomForest,위험,0.7378,0.7712,0.7541,354
공통_3등급,공통 기준 3등급,ExtraTrees,안전,0.6721,0.6986,0.6851,355
공통_3등급,공통 기준 3등급,ExtraTrees,보통,0.5542,0.5071,0.5296,353
공통_3등급,공통 기준 3등급,ExtraTrees,위험,0.7,0.7316,0.7155,354
공통_3등급,공통 기준 3등급,XGBoost,안전,0.8176,0.7831,0.8,355
공통_3등급,공통 기준 3등급,XGBoost,보통,0.6685,0.6912,0.6797,353
공통_3등급,공통 기준 3등급,XGBoost,위험,0.8151,0.822,0.8186,354
공통_3등급,공통 기준 3등급,LightGBM,안전,0.8216,0.7915,0.8063,355
공통_3등급,공통 기준 3등급,LightGBM,보통,0.6751,0.6827,0.6789,353
공통_3등급,공통 기준 3등급,LightGBM,위험,0.8127,0.8333,0.8229,354
업종군별_3등급,업종군별 기준 3등급,Dummy,안전,0.3333,1.0,0.5,354
업종군별_3등급,업종군별 기준 3등급,Dummy,보통,0.0,0.0,0.0,354
업종군별_3등급,업종군별 기준 3등급,Dummy,위험,0.0,0.0,0.0,354
업종군별_3등급,업종군별 기준 3등급,LogisticRegression,안전,0.7033,0.6695,0.686,354
업종군별_3등급,업종군별 기준 3등급,LogisticRegression,보통,0.5181,0.5254,0.5217,354
업종군별_3등급,업종군별 기준 3등급,LogisticRegression,위험,0.7104,0.7345,0.7222,354
업종군별_3등급,업종군별 기준 3등급,LinearSVC,안전,0.6729,0.709,0.6905,354
업종군별_3등급,업종군별 기준 3등급,LinearSVC,보통,0.5131,0.4435,0.4758,354
업종군별_3등급,업종군별 기준 3등급,LinearSVC,위험,0.6762,0.7316,0.7028,354
업종군별_3등급,업종군별 기준 3등급,RandomForest,안전,0.681,0.7599,0.7183,354
업종군별_3등급,업종군별 기준 3등급,RandomForest,보통,0.5963,0.4548,0.516,354
업종군별_3등급,업종군별 기준 3등급,RandomForest,위험,0.7028,0.7881,0.743,354
업종군별_3등급,업종군별 기준 3등급,ExtraTrees,안전,0.6781,0.726,0.7012,354
업종군별_3등급,업종군별 기준 3등급,ExtraTrees,보통,0.5634,0.452,0.5016,354
업종군별_3등급,업종군별 기준 3등급,ExtraTrees,위험,0.6917,0.7797,0.7331,354
업종군별_3등급,업종군별 기준 3등급,XGBoost,안전,0.7903,0.8305,0.8099,354
업종군별_3등급,업종군별 기준 3등급,XGBoost,보통,0.6735,0.6469,0.6599,354
업종군별_3등급,업종군별 기준 3등급,XGBoost,위험,0.8314,0.822,0.8267,354
업종군별_3등급,업종군별 기준 3등급,LightGBM,안전,0.8011,0.8418,0.8209,354
업종군별_3등급,업종군별 기준 3등급,LightGBM,보통,0.6982,0.6469,0.6716,354
업종군별_3등급,업종군별 기준 3등급,LightGBM,위험,0.826,0.8446,0.8352,354
