target_col,target_label,model,train_rows,test_rows,train_accuracy,accuracy,accuracy_gap,balanced_accuracy,macro_f1,weighted_f1
공통_3등급,공통 기준 3등급,Dummy,3184,1062,0.3335,0.3343,-0.0007,0.3333,0.167,0.1675
공통_3등급,공통 기준 3등급,LogisticRegression,3184,1062,0.7591,0.6685,0.0906,0.6684,0.6653,0.6655
공통_3등급,공통 기준 3등급,LinearSVC,3184,1062,0.7717,0.6563,0.1154,0.6561,0.6502,0.6504
공통_3등급,공통 기준 3등급,RandomForest,3184,1062,0.8474,0.678,0.1694,0.6777,0.6734,0.6736
공통_3등급,공통 기준 3등급,ExtraTrees,3184,1062,0.8112,0.646,0.1653,0.6458,0.6434,0.6435
공통_3등급,공통 기준 3등급,XGBoost,3184,1062,0.9601,0.7655,0.1946,0.7655,0.7661,0.7662
공통_3등급,공통 기준 3등급,LightGBM,3184,1062,1.0,0.7693,0.2307,0.7692,0.7694,0.7695
업종군별_3등급,업종군별 기준 3등급,Dummy,3184,1062,0.3335,0.3333,0.0002,0.3333,0.1667,0.1667
업종군별_3등급,업종군별 기준 3등급,LogisticRegression,3184,1062,0.7387,0.6431,0.0956,0.6431,0.6433,0.6433
업종군별_3등급,업종군별 기준 3등급,LinearSVC,3184,1062,0.756,0.6281,0.1279,0.6281,0.623,0.623
업종군별_3등급,업종군별 기준 3등급,RandomForest,3184,1062,0.8587,0.6676,0.1911,0.6676,0.6591,0.6591
업종군별_3등급,업종군별 기준 3등급,ExtraTrees,3184,1062,0.8263,0.6525,0.1738,0.6525,0.6453,0.6453
업종군별_3등급,업종군별 기준 3등급,XGBoost,3184,1062,0.9633,0.7665,0.1968,0.7665,0.7655,0.7655
업종군별_3등급,업종군별 기준 3등급,LightGBM,3184,1062,1.0,0.7778,0.2222,0.7778,0.7759,0.7759
