승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,총층수,시설규모/연면적,구,동,업종,건물용도명,업종그룹,실제등급,예측등급,target_col,target_label,best_model
1993,0,0.0,0.2231435513142097,0.4148,0.18,37.54354839,126.91941892,3,48.0,마포구,당인동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1963,12,16.7,0.5239467117286878,0.4676,0.45,37.5306584,126.9921452,1,63.0,용산구,이태원동,외국인관광도시민박업,단독주택,외국인관광도시민박업,위험,보통,공통_3등급,공통 기준 3등급,LightGBM
1995,4,50.0,0.6931471805599453,0.1422,0.45,37.55002455,126.9353636,1,312.54,마포구,노고산동,숙박업,일반숙박시설,기존숙박군,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1994,18,77.8,0.1846772704864137,0.413,0.85,37.57826684,127.00488877,3,29.0,종로구,동숭동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1997,3,66.7,0.1226023220923323,0.1394,0.85,37.57864599,126.98811316,5,40.0,종로구,원서동,외국인관광도시민박업,다세대주택,외국인관광도시민박업,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1990,12,100.0,2.0085440472451315,0.42,0.18,37.55854827,126.92366828,5,61.0,마포구,연남동,외국인관광도시민박업,단독주택,외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
1970,18,22.2,2.0014800002101243,0.4553,1.0,37.54410088,127.05390242,4,81.0,성동구,성동,외국인관광도시민박업,주택 근린생활시설,외국인관광도시민박업,위험,보통,공통_3등급,공통 기준 3등급,LightGBM
2003,22,100.0,0.838112950810131,0.1308,1.0,37.49679466,127.03463576,12,1996.63,강남구,역삼동,숙박업,숙박시설,기존숙박군,보통,안전,공통_3등급,공통 기준 3등급,LightGBM
1966,29,75.9,0.7131079231224834,0.1837,0.55,37.55293219,127.01001889,3,518.71,중구,신당동,숙박업,영업,기존숙박군,안전,보통,공통_3등급,공통 기준 3등급,LightGBM
1970,12,91.7,0.998701377777848,0.4553,0.55,37.55814763,126.91950885,2,209.66,마포구,연남동,외국인관광도시민박업,근린생활시설 및 주택,외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
2015,13,23.1,0.653644737583699,0.1136,0.18,37.55162805,126.90331777,5,58.0,마포구,망원동,외국인관광도시민박업,다세대주택,외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
