model,label,precision,recall,f1_score,support
baseline_most_frequent,생활서비스,0.0,0.0,0.0,161.0
baseline_most_frequent,없음,0.0,0.0,0.0,831.0
baseline_most_frequent,주거,0.0,0.0,0.0,1477.0
baseline_most_frequent,판매업무시설,0.09725776965265082,1.0,0.17727424191936023,266.0
baseline_most_frequent,macro avg,0.024314442413162704,0.25,0.044318560479840056,2735.0
baseline_most_frequent,weighted avg,0.009459073757808086,0.09725776965265082,0.017241297385941434,2735.0
random_forest,생활서비스,0.611764705882353,0.32298136645962733,0.42276422764227645,161.0
random_forest,없음,0.6455505279034691,0.5150421179302046,0.5729585006693441,831.0
random_forest,주거,0.6928746928746928,0.7637102234258633,0.7265700483091787,1477.0
random_forest,판매업무시설,0.27298050139275765,0.3684210526315789,0.3136,266.0
random_forest,macro avg,0.5557926070133181,0.49253869011181856,0.5089731941551998,2735.0
random_forest,weighted avg,0.6328831228816222,0.6237659963436929,0.6218483056889537,2735.0
