class_index,feature,coefficient
0,LightGBM_p0,1.398987760127278
0,LightGBM_p1,0.057762115122461107
0,LightGBM_p2,-1.4853403928981666
0,XGBoost_p0,0.8189973876556238
0,XGBoost_p1,-0.4945862423087829
0,XGBoost_p2,-0.35300177433336327
0,CatBoost_p0,0.975323323421951
0,CatBoost_p1,-0.5838497343769516
0,CatBoost_p2,-0.42006410669342703
1,LightGBM_p0,-0.6063994550471083
1,LightGBM_p1,0.5393152499707469
1,LightGBM_p2,0.13308564588141003
1,XGBoost_p0,0.10911285800511347
1,XGBoost_p1,0.15025290152812815
1,XGBoost_p2,-0.1933639818813003
1,CatBoost_p0,-0.06361082837912188
1,CatBoost_p1,0.5993867832950901
1,CatBoost_p2,-0.46977451411092086
2,LightGBM_p0,-0.7925883050801702
2,LightGBM_p1,-0.5970773650932077
2,LightGBM_p2,1.3522547470167536
2,XGBoost_p0,-0.9281102456607383
2,XGBoost_p1,0.34433334078065553
2,XGBoost_p2,0.5463657562146627
2,CatBoost_p0,-0.9117124950428294
2,CatBoost_p1,-0.015537048918135862
2,CatBoost_p2,0.8898386208043451
