구,동,숙소명,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,업종,건물용도명,총층수,시설규모/연면적,위험점수_AHP,AHP_매칭방식,업종그룹,공통_3등급,업종군별_3등급,r50m_property_fire_count,r50m_property_fire_exists,r50m_property_damage_sum_천원,log1p_r50m_property_damage_sum_천원,r50m_property_damage_max_천원,nearest_property_fire_distance_m
종로구,종로2가,서울YMCA관광호텔,1965,13,15.4,0.6931471805599453,0.1851,0.55,37.56785597,126.98450169,관광숙박업,호텔,9,893.0,60.58,exact,기존숙박군,위험,위험,0,0,0.0,0.0,0.0,50.36728547896366
종로구,관훈동,호텔 썬비,2003,8,50.0,0.7304542329727559,0.1308,0.08,37.57030354,126.9840039,관광숙박업,호텔,10,2071.0,38.44,exact,기존숙박군,보통,보통,0,0,0.0,0.0,0.0,59.26357002959151
종로구,관훈동,나인트리 바이 파르나스 서울 인사동,2019,14,71.4,0.4895482253187058,0.1079,0.12,37.57180204,126.98300804,관광숙박업,숙박시설,17,22135.0,35.29,exact,기존숙박군,안전,보통,0,0,0.0,0.0,0.0,58.79941125936371
종로구,인의동,이스트 아뜰리에,1985,3,0.0,0.0652912498144373,0.4289,0.08,37.57093161,126.99588429,외국인관광도시민박업,숙박시설,4,367.96,35.12,exact,외국인관광도시민박업,안전,안전,1,1,44.0,3.8066624897703196,44.0,4.868631882089629
종로구,숭인동,U-STAY HOSTEL,1996,3,0.0,1.8643198527313989,0.1408,0.18,37.56976898,127.01545561,관광숙박업,숙박시설,6,130.0,30.14,exact,기존숙박군,안전,안전,0,0,0.0,0.0,0.0,64.6076348068678
종로구,낙원동,목시 서울 인사동 호텔,2019,21,66.7,1.7926362777015894,0.1079,0.85,37.56954746,126.98855583,관광숙박업,숙박시설,19,5971.0,23.21,exact,기존숙박군,안전,안전,1,1,301.0,5.71042701737487,301.0,47.457292293725544
종로구,이화동,글루호텔,2019,7,57.1,0.058188157683169,0.1079,0.04,37.57304815,127.00317208,관광숙박업,숙박시설,15,1844.0,31.66,exact,기존숙박군,안전,안전,1,1,20.0,3.044522437723423,20.0,43.68470375730588
종로구,당주동,SOUNDS INN GWANGHWAMUN,1963,5,0.0,0.035612071788877,0.4676,0.55,37.56859605,126.97474946,관광숙박업,"제1,2종근린생활시설",5,162.0,85.71,exact,기존숙박군,위험,위험,0,0,0.0,0.0,0.0,122.37536154666579
종로구,종로4가,진가,1967,37,78.4,0.6931471805599453,0.1823,0.7,37.56787973,126.99879348,관광숙박업,"영업용, 관광숙박시설(호스텔)",5,151.0,58.23,exact,기존숙박군,위험,위험,3,1,114512.0,11.648443632649485,113843.0,36.80911414647011
종로구,묘동,킴스텔코리아 종로점,1965,31,67.7,0.698324068739479,0.4641,1.0,37.57078678,126.99068465,관광숙박업,"숙박시설, 근린생활시설",6,291.0,37.75,exact,기존숙박군,안전,보통,6,1,1936.0,7.5688956634069955,678.0,1.6032599714163491
종로구,창신동,호스텔 메가 동대문역,1992,6,0.0,0.2810012094609484,0.1465,0.18,37.56790086,127.00943028,관광숙박업,근린생활시설,6,152.0,31.72,exact,기존숙박군,안전,안전,2,1,1580.0,7.365812837209472,1100.0,16.403314379821445
종로구,봉익동,포레스트 스테이 종로,2007,11,81.8,0.3761947258080512,0.1251,0.08,37.57018563,126.99144197,관광숙박업,"근린생활시설,숙박시설",5,285.0,17.81,exact,기존숙박군,안전,안전,1,1,803.0,6.6895992691789665,803.0,48.819721633544326
종로구,관철동,MOMENTO HOSTEL,1959,4,0.0,0.6931471805599453,0.1937,0.12,37.56655742,126.98379997,관광숙박업,"근린생활시설,숙박시설",5,435.0,61.53,exact,기존숙박군,위험,위험,1,1,11.0,2.4849066497880004,11.0,23.305992863331944
