feature,importance,target,model
위도,0.3751455056331602,log1p_r500m_injury_fire_count_all,random_forest
경도,0.31573648737470533,log1p_r500m_injury_fire_count_all,random_forest
주변건물수,0.05948731459238251,log1p_r500m_injury_fire_count_all,random_forest
단속위험도,0.053645912234456625,log1p_r500m_injury_fire_count_all,random_forest
구_성동구,0.0522827265545014,log1p_r500m_injury_fire_count_all,random_forest
집중도,0.050036177393553316,log1p_r500m_injury_fire_count_all,random_forest
도로폭위험도,0.01877936678713392,log1p_r500m_injury_fire_count_all,random_forest
구조노후도,0.016090470262430535,log1p_r500m_injury_fire_count_all,random_forest
승인연도,0.014515271865790625,log1p_r500m_injury_fire_count_all,random_forest
건물나이_2026,0.012084012046326757,log1p_r500m_injury_fire_count_all,random_forest
구_영등포구,0.011330020147925397,log1p_r500m_injury_fire_count_all,random_forest
구_강남구,0.007045166416646324,log1p_r500m_injury_fire_count_all,random_forest
구_중구,0.00579394198088561,log1p_r500m_injury_fire_count_all,random_forest
구_용산구,0.0036556019136202524,log1p_r500m_injury_fire_count_all,random_forest
구_마포구,0.0019940291387136673,log1p_r500m_injury_fire_count_all,random_forest
구_송파구,0.001203713901902249,log1p_r500m_injury_fire_count_all,random_forest
구_서초구,0.000843294945744594,log1p_r500m_injury_fire_count_all,random_forest
구_강서구,0.00024241610760905485,log1p_r500m_injury_fire_count_all,random_forest
구_종로구,8.85707025117363e-05,log1p_r500m_injury_fire_count_all,random_forest
