feature,importance,target,model
경도,0.4326986365156843,log1p_r500m_injury_fire_count_생활서비스,random_forest
위도,0.30776513404727707,log1p_r500m_injury_fire_count_생활서비스,random_forest
구_중구,0.07916697566252098,log1p_r500m_injury_fire_count_생활서비스,random_forest
주변건물수,0.04736513393106226,log1p_r500m_injury_fire_count_생활서비스,random_forest
집중도,0.0417302509198971,log1p_r500m_injury_fire_count_생활서비스,random_forest
단속위험도,0.027915479316877243,log1p_r500m_injury_fire_count_생활서비스,random_forest
도로폭위험도,0.01571811783731232,log1p_r500m_injury_fire_count_생활서비스,random_forest
구조노후도,0.014876369338636243,log1p_r500m_injury_fire_count_생활서비스,random_forest
건물나이_2026,0.010391774209329895,log1p_r500m_injury_fire_count_생활서비스,random_forest
승인연도,0.009605675537466437,log1p_r500m_injury_fire_count_생활서비스,random_forest
구_강남구,0.0032408321225988837,log1p_r500m_injury_fire_count_생활서비스,random_forest
구_마포구,0.002469267688029704,log1p_r500m_injury_fire_count_생활서비스,random_forest
구_용산구,0.002374766460299767,log1p_r500m_injury_fire_count_생활서비스,random_forest
구_송파구,0.0022615501188381192,log1p_r500m_injury_fire_count_생활서비스,random_forest
구_종로구,0.0016232998463629772,log1p_r500m_injury_fire_count_생활서비스,random_forest
구_영등포구,0.0003480034810349508,log1p_r500m_injury_fire_count_생활서비스,random_forest
구_성동구,0.00025901422393395147,log1p_r500m_injury_fire_count_생활서비스,random_forest
구_서초구,0.00016294121901908954,log1p_r500m_injury_fire_count_생활서비스,random_forest
구_강서구,2.677752381859419e-05,log1p_r500m_injury_fire_count_생활서비스,random_forest
