feature,importance,target,model
위도,0.34386245556020884,log1p_r500m_injury_fire_count_주거,random_forest
경도,0.3217203307799221,log1p_r500m_injury_fire_count_주거,random_forest
단속위험도,0.0690272956197611,log1p_r500m_injury_fire_count_주거,random_forest
집중도,0.0535178084767049,log1p_r500m_injury_fire_count_주거,random_forest
주변건물수,0.05330035713876404,log1p_r500m_injury_fire_count_주거,random_forest
도로폭위험도,0.02770024151918589,log1p_r500m_injury_fire_count_주거,random_forest
구조노후도,0.026970246233569407,log1p_r500m_injury_fire_count_주거,random_forest
구_마포구,0.02425314105755249,log1p_r500m_injury_fire_count_주거,random_forest
승인연도,0.0194508856854586,log1p_r500m_injury_fire_count_주거,random_forest
구_용산구,0.0165060765681522,log1p_r500m_injury_fire_count_주거,random_forest
건물나이_2026,0.016257675692836666,log1p_r500m_injury_fire_count_주거,random_forest
구_영등포구,0.00989464742689201,log1p_r500m_injury_fire_count_주거,random_forest
구_성동구,0.00816379936168809,log1p_r500m_injury_fire_count_주거,random_forest
구_중구,0.004117095056051034,log1p_r500m_injury_fire_count_주거,random_forest
구_강남구,0.0023060831233473245,log1p_r500m_injury_fire_count_주거,random_forest
구_종로구,0.0011023373535930315,log1p_r500m_injury_fire_count_주거,random_forest
구_강서구,0.0008294853614138868,log1p_r500m_injury_fire_count_주거,random_forest
구_송파구,0.0007940069024306252,log1p_r500m_injury_fire_count_주거,random_forest
구_서초구,0.00022603108246771082,log1p_r500m_injury_fire_count_주거,random_forest
