feature,importance,target,model
위도,0.49651732469625015,log1p_r500m_injury_fire_count_판매업무시설,random_forest
경도,0.3698935241443875,log1p_r500m_injury_fire_count_판매업무시설,random_forest
주변건물수,0.028946947340757864,log1p_r500m_injury_fire_count_판매업무시설,random_forest
도로폭위험도,0.02685852565241407,log1p_r500m_injury_fire_count_판매업무시설,random_forest
집중도,0.02004469255731438,log1p_r500m_injury_fire_count_판매업무시설,random_forest
단속위험도,0.016894926125631496,log1p_r500m_injury_fire_count_판매업무시설,random_forest
승인연도,0.009745888262313812,log1p_r500m_injury_fire_count_판매업무시설,random_forest
구_강남구,0.007689952239434349,log1p_r500m_injury_fire_count_판매업무시설,random_forest
건물나이_2026,0.007536925180315171,log1p_r500m_injury_fire_count_판매업무시설,random_forest
구조노후도,0.00737196432399251,log1p_r500m_injury_fire_count_판매업무시설,random_forest
구_중구,0.00588216050682068,log1p_r500m_injury_fire_count_판매업무시설,random_forest
구_마포구,0.0006985824195566317,log1p_r500m_injury_fire_count_판매업무시설,random_forest
구_영등포구,0.0006534164113186577,log1p_r500m_injury_fire_count_판매업무시설,random_forest
구_성동구,0.0003909446001092399,log1p_r500m_injury_fire_count_판매업무시설,random_forest
구_서초구,0.0003154190225726408,log1p_r500m_injury_fire_count_판매업무시설,random_forest
구_용산구,0.0003088656265509422,log1p_r500m_injury_fire_count_판매업무시설,random_forest
구_종로구,0.00010582072618604925,log1p_r500m_injury_fire_count_판매업무시설,random_forest
구_송파구,0.00010168570893616196,log1p_r500m_injury_fire_count_판매업무시설,random_forest
구_강서구,4.24344551377156e-05,log1p_r500m_injury_fire_count_판매업무시설,random_forest
