radius_m,group,positive_share,positive_count,rows
50,기존숙박군,0.41760423560555926,631,1511
50,외국인관광도시민박업,0.36160877513711154,989,2735
50,전체,0.3815355628827131,1620,4246
100,기존숙박군,0.799470549305096,1208,1511
100,외국인관광도시민박업,0.7246800731261426,1982,2735
100,전체,0.7512953367875648,3190,4246
150,기존숙박군,0.914626075446724,1382,1511
150,외국인관광도시민박업,0.8786106032906764,2403,2735
150,전체,0.8914272256241168,3785,4246
200,기존숙박군,0.9609530112508272,1452,1511
200,외국인관광도시민박업,0.9473491773308957,2591,2735
200,전체,0.9521902967498822,4043,4246
300,기존숙박군,0.9966909331568498,1506,1511
300,외국인관광도시민박업,0.9952468007312614,2722,2735
300,전체,0.9957607159679699,4228,4246
