feature,importance,target,model
경도,0.2575370727731543,r500m_injury_fire_dominant_type,random_forest
위도,0.2008128477805013,r500m_injury_fire_dominant_type,random_forest
주변건물수,0.07341051800160296,r500m_injury_fire_dominant_type,random_forest
단속위험도,0.07220004090023778,r500m_injury_fire_dominant_type,random_forest
집중도,0.06146944214485842,r500m_injury_fire_dominant_type,random_forest
구_중구,0.05441461190453647,r500m_injury_fire_dominant_type,random_forest
승인연도,0.045631505235510184,r500m_injury_fire_dominant_type,random_forest
건물나이_2026,0.045341811718036765,r500m_injury_fire_dominant_type,random_forest
도로폭위험도,0.04479680195678993,r500m_injury_fire_dominant_type,random_forest
구조노후도,0.04468771503628481,r500m_injury_fire_dominant_type,random_forest
구_종로구,0.027453631558527637,r500m_injury_fire_dominant_type,random_forest
구_성동구,0.02192873658417253,r500m_injury_fire_dominant_type,random_forest
구_강서구,0.01133211775960775,r500m_injury_fire_dominant_type,random_forest
구_강남구,0.010010808770568317,r500m_injury_fire_dominant_type,random_forest
구_영등포구,0.0085857544289831,r500m_injury_fire_dominant_type,random_forest
구_용산구,0.007400337325442248,r500m_injury_fire_dominant_type,random_forest
구_마포구,0.006440420039190804,r500m_injury_fire_dominant_type,random_forest
구_송파구,0.0046325226687260156,r500m_injury_fire_dominant_type,random_forest
구_서초구,0.001913303413268806,r500m_injury_fire_dominant_type,random_forest
