구,동,숙소명,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,업종,업소명,X좌표,Y좌표,관리건축물대장PK,연면적(㎡),기타용도,지상층수,지하층수,총층수,건물용도명_direct,지역구분명_direct,주변환경명_direct,객실수_direct,시설규모_direct,건축연면적_direct,총층수_direct,지상층수_direct,지하층수_direct,건물용도명_통합,지역구분명_통합,객실수_통합,시설규모_통합,연면적_통합,총층수_통합,총층수_0층만보정,총층수_현재값과차이,주택유형_분류,지역분류_상업주거,상업지역여부,주거지역여부,주택가주변_여부,역세권_인접여부,유흥가_인접여부
종로구,종로2가,서울YMCA관광호텔,1965,13,15.4,0.6931471805599453,0.1851,0.55,37.56785597,126.98450169,관광숙박업,서울YMCA관광호텔,198630.796271,452035.412647,1002124034,13668.3,제1종근린생활시설,8.0,1.0,9.0,호텔,,,30.0,893.0,0.0,9.0,8.0,1.0,호텔,,30.0,893.0,893.0,9.0,9.0,0.0,,,,,,,
종로구,관훈동,호텔 썬비,2003,8,50.0,0.7304542329727559,0.1308,0.08,37.57030354,126.9840039,관광숙박업,호텔 썬비,198586.865239,452307.071476,1002117468,2070.85,숙박시설,9.0,1.0,10.0,호텔,일반상업지역,기타,42.0,2071.0,2071.0,10.0,9.0,1.0,호텔,일반상업지역,42.0,2071.0,2071.0,10.0,10.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,관훈동,나인트리 바이 파르나스 서울 인사동,2019,14,71.4,0.4895482253187058,0.1079,0.12,37.57180204,126.98300804,관광숙박업,나인트리 바이 파르나스 서울 인사동,198498.918633,452473.40375,10021100217365,45284.0,숙박시설,13.0,4.0,17.0,숙박시설,일반상업지역,,301.0,22135.0,22135.0,17.0,13.0,4.0,숙박시설,일반상업지역,301.0,22135.0,22135.0,17.0,17.0,0.0,,상업지역,1.0,0.0,,,
종로구,인의동,이스트 아뜰리에,1985,3,0.0,0.0652912498144373,0.4289,0.08,37.57093161,126.99588429,외국인관광도시민박업,이스트 아뜰리에,199636.410863,452376.667974,100216121,367.96,숙박시설,3.0,1.0,4.0,,,,,,,4.0,3.0,1.0,숙박시설,,,,367.96,4.0,4.0,0.0,,,,,,,
종로구,숭인동,U-STAY HOSTEL,1996,3,0.0,1.8643198527313989,0.1408,0.18,37.56976898,127.01545561,관광숙박업,U-STAY HOSTEL,201365.396264,452247.733898,100217433,860.28,근린생활시설,5.0,1.0,6.0,숙박시설,상업지역,기타,6.0,130.0,130.0,6.0,5.0,1.0,숙박시설,상업지역,6.0,130.0,130.0,6.0,6.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,낙원동,목시 서울 인사동 호텔,2019,21,66.7,1.7926362777015894,0.1079,0.85,37.56954746,126.98855583,관광숙박업,목시 서울 인사동 호텔,198988.983646,452223.097221,10021100217845,5971.04,숙박시설(관광호텔),16.0,3.0,19.0,숙박시설,일반상업지역,,140.0,5971.0,5971.0,19.0,16.0,3.0,숙박시설,일반상업지역,140.0,5971.0,5971.0,19.0,19.0,0.0,,상업지역,1.0,0.0,,,
종로구,이화동,글루호텔,2019,7,57.1,0.058188157683169,0.1079,0.04,37.57304815,127.00317208,관광숙박업,글루호텔,200280.21894,452611.575937,10021100217665,1843.53,숙박시설,13.0,2.0,15.0,숙박시설,일반상업지역,학교정화(상대),54.0,1844.0,1844.0,15.0,13.0,2.0,숙박시설,일반상업지역,54.0,1844.0,1844.0,15.0,15.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,당주동,SOUNDS INN GWANGHWAMUN,1963,5,0.0,0.035612071788877,0.4676,0.55,37.56859605,126.97474946,관광숙박업,SOUNDS INN GWANGHWAMUN,197769.253723,452117.739885,100214699,715.9,"제1,2종근린생활시설",5.0,0.0,5.0,,,,0.0,162.0,0.0,5.0,5.0,0.0,"제1,2종근린생활시설",,,162.0,162.0,5.0,5.0,0.0,,,,,,,
종로구,종로4가,진가,1967,37,78.4,0.6931471805599453,0.1823,0.7,37.56787973,126.99879348,관광숙박업,진가,199893.409362,452037.937963,100217744,270.48,"영업용, 관광숙박시설(호스텔)",5.0,0.0,5.0,,,,0.0,151.0,0.0,5.0,5.0,0.0,"영업용, 관광숙박시설(호스텔)",,,151.0,151.0,5.0,5.0,0.0,,,,,,,
종로구,묘동,킴스텔코리아 종로점,1965,31,67.7,0.698324068739479,0.4641,1.0,37.57078678,126.99068465,관광숙박업,킴스텔코리아 종로점,199177.064297,452360.626823,100214703,744.99,"숙박시설, 근린생활시설",6.0,0.0,6.0,,,,0.0,291.0,0.0,6.0,6.0,0.0,"숙박시설, 근린생활시설",,,291.0,291.0,6.0,6.0,0.0,,,,,,,
종로구,창신동,호스텔 메가 동대문역,1992,6,0.0,0.2810012094609484,0.1465,0.18,37.56790086,127.00943028,관광숙박업,호스텔 메가 동대문역,200833.121381,452040.32391,100217055,929.82,근린생활시설,5.0,1.0,6.0,,,,0.0,152.0,0.0,6.0,5.0,1.0,근린생활시설,,,152.0,152.0,6.0,6.0,0.0,,,,,,,
종로구,봉익동,포레스트 스테이 종로,2007,11,81.8,0.3761947258080512,0.1251,0.08,37.57018563,126.99144197,관광숙박업,포레스트 스테이 종로,199243.960959,452293.899531,1002112483,1931.23,"근린생활시설,숙박시설",5.0,0.0,5.0,,,,0.0,285.0,0.0,5.0,5.0,0.0,"근린생활시설,숙박시설",,,285.0,285.0,5.0,5.0,0.0,,,,,,,
종로구,관철동,MOMENTO HOSTEL,1959,4,0.0,0.6931471805599453,0.1937,0.12,37.56655742,126.98379997,관광숙박업,MOMENTO HOSTEL,198568.777922,451891.299623,1002119783,1129.5,"근린생활시설,숙박시설",5.0,0.0,5.0,,,,0.0,435.0,0.0,5.0,5.0,0.0,"근린생활시설,숙박시설",,,435.0,435.0,5.0,5.0,0.0,,,,,,,
종로구,숭인동,더온재,1994,9,33.3,0.7105211484959985,0.1436,0.85,37.57228397,127.02039051,관광숙박업,더온재,201801.300137,452526.951325,1002122273,354.52,"근린생활시설, 숙박시설",4.0,1.0,5.0,,,,0.0,152.0,0.0,5.0,4.0,1.0,"근린생활시설, 숙박시설",,,152.0,152.0,5.0,5.0,0.0,,,,,,,
중구,남창동,케이팝 서울타워 호스텔,2014,14,42.9,0.6931471805599453,0.115,0.55,37.55403706,126.97637629,관광숙박업,케이팝 서울타워 호스텔,197912.569432,450501.826339,10031100216894,575.0,숙박시설(호스텔),4.0,1.0,5.0,,일반주거지역,,20.0,488.0,0.0,5.0,4.0,1.0,숙박시설(호스텔),일반주거지역,20.0,488.0,488.0,5.0,5.0,0.0,,주거지역,0.0,1.0,,,
종로구,창신동,247 HOSTEL SEOUL,1989,5,20.0,2.290649742444773,0.1509,0.25,37.56817447,127.01314811,관광숙박업,247 HOSTEL SEOUL,201161.569566,452070.731182,100216485,598.75,근린생활시설,4.0,1.0,5.0,숙박시설,상업지역,기타,0.0,261.0,0.0,5.0,4.0,1.0,숙박시설,상업지역,,261.0,261.0,5.0,5.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,관철동,찰나 호스텔,1975,3,0.0,1.0608719606852626,0.1708,0.08,37.56664615,126.98332934,관광숙박업,찰나 호스텔,198527.20108,451901.15506,1002126961,700.79,숙박시설,6.0,1.0,7.0,숙박시설,상업지역,기타,0.0,104.0,0.0,7.0,6.0,1.0,숙박시설,상업지역,,104.0,104.0,7.0,7.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,종로2가,스테이울림,1972,15,33.3,1.2794312155775294,0.1752,0.55,37.56718514,126.98358024,관광숙박업,스테이울림,198549.377398,451960.972726,100217024,728.43,"제1종근린생활시설, 숙박시설",6.0,2.0,8.0,숙박시설,상업지역,기타,0.0,104.0,0.0,8.0,6.0,2.0,숙박시설,상업지역,,104.0,104.0,8.0,8.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,종로5가,편안정 종로5가점,1967,12,0.0,0.0130720815673527,0.1823,0.08,37.56810507,127.0045472,관광숙박업,편안정 종로5가점,200401.72294,452062.95683,1002110911,521.04,근린생활시설 및 관광숙박시설(호스텔),6.0,1.0,7.0,숙박시설,상업지역,기타,0.0,91.0,0.0,7.0,6.0,1.0,숙박시설,상업지역,,91.0,91.0,7.0,7.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,창신동,동대문 스테이가든,1959,6,100.0,1.8129221675840912,0.4747,0.25,37.56946846,127.01349641,관광숙박업,동대문 스테이가든,201192.319848,452214.352544,100211203,283.06,"제2종근린생활시설(다중생활시설(고시원)),관광숙박시설(호스텔)",2.0,0.0,2.0,숙박시설,일반상업지역,기타,0.0,226.0,0.0,2.0,2.0,0.0,숙박시설,일반상업지역,,226.0,226.0,2.0,2.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,종로5가,고유리(Goyu;re),1975,5,0.0,0.0575238441381866,0.1708,0.08,37.56730221,127.0037223,관광숙박업,고유리(Goyu;re),200328.850588,451973.845649,100217381,348.19,"사무실, 점포, 주택",4.0,1.0,5.0,숙박시설,일반상업지역,기타,0.0,64.0,0.0,5.0,4.0,1.0,숙박시설,일반상업지역,,64.0,64.0,5.0,5.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,충신동,온코리아 스테이,1994,8,75.0,0.8026314134016336,0.1436,1.0,37.57265524,127.00336668,관광숙박업,온코리아 스테이,200297.411364,452567.96794,1002116930,396.42,"숙박시설(호스텔), 창고시설",5.0,1.0,6.0,숙박시설,상업지역,,0.0,299.0,0.0,6.0,5.0,1.0,숙박시설,상업지역,,299.0,299.0,6.0,6.0,0.0,,상업지역,1.0,0.0,,,
종로구,낙원동,하프레스트 호스텔,2000,16,75.0,1.5746285077682394,0.5361,0.08,37.56953983,126.98762245,관광숙박업,하프레스트 호스텔,198906.525582,452222.260537,1002122538,554.17,근린생활시설 및 관광숙박시설(호스텔),5.0,2.0,7.0,숙박시설,상업지역,기타,21.0,554.0,0.0,7.0,5.0,2.0,숙박시설,상업지역,21.0,554.0,554.0,7.0,7.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,숭인동,엔조이스테이 호스텔,2024,48,66.7,1.1337273076890122,0.1011,0.7,37.57029351,127.01912285,관광숙박업,엔조이스테이 호스텔,201689.360291,452306.010081,1000000000000004896269,998.35,"근린생활시설, 숙박시설(관광숙박시설)",5.0,0.0,5.0,숙박시설,상업지역,기타,27.0,596.0,0.0,5.0,5.0,0.0,숙박시설,상업지역,27.0,596.0,596.0,5.0,5.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,창신동,이온호텔,2022,3,66.7,1.6502405363066972,0.1036,0.18,37.56975326,127.01196959,관광숙박업,이온호텔,201057.43107,452245.944639,1000000000000000165930,962.63,관광숙박시설(호스텔),7.0,1.0,8.0,숙박시설,일반상업지역,기타,42.0,963.0,963.0,8.0,7.0,1.0,숙박시설,일반상업지역,42.0,963.0,963.0,8.0,8.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,관철동,오아시스 트레블러스 종로,1969,1,0.0,1.652923024373839,0.1794,0.55,37.56702341,126.98663866,관광숙박업,오아시스 트레블러스 종로,198819.57427,451942.979072,1002110085,626.6,"점포, 노래연습장, 일반음식점",6.0,1.0,7.0,,,,0.0,183.0,0.0,7.0,6.0,1.0,"점포, 노래연습장, 일반음식점",,,183.0,183.0,7.0,7.0,0.0,,,,,,,
종로구,관철동,스테이 마루 종로,1965,3,0.0,0.3677247801253173,0.4641,0.55,37.56669767,126.98479778,관광숙박업,스테이 마루 종로,198656.933624,451906.850293,1002128077,1756.9,제2종근린생활시설,7.0,1.0,8.0,숙박시설,상업지역,기타,0.0,234.0,0.0,8.0,7.0,1.0,숙박시설,상업지역,,234.0,234.0,8.0,8.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,창신동,동대문인순,1934,2,50.0,2.585960082443016,0.2295,0.08,37.56877711,127.01021919,관광숙박업,동대문인순,200902.807232,452137.584347,1002116828,272.63,"점포, 도서실",5.0,1.0,6.0,숙박시설,상업지역,기타,0.0,46.0,0.0,6.0,5.0,1.0,숙박시설,상업지역,,46.0,46.0,6.0,6.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,권농동,스테이 종로 온당,2009,66,71.2,2.277267285009756,0.1222,0.85,37.57416521,126.99046732,관광숙박업,스테이 종로 온당,199157.903208,452735.594737,10021100186947,140.38,관광숙박시설(호스텔),2.0,1.0,3.0,숙박시설,상업지역,기타,0.0,140.0,0.0,3.0,2.0,1.0,숙박시설,상업지역,,140.0,140.0,3.0,3.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,종로6가,편안정,1980,2,50.0,0.7023638356648694,0.1637,0.18,37.56925877,127.006942,관광숙박업,편안정,200613.281664,452191.016681,1002129286,703.1,근린생활시설,5.0,1.0,6.0,숙박시설,상업지역,기타,0.0,106.0,0.0,6.0,5.0,1.0,숙박시설,상업지역,,106.0,106.0,6.0,6.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,낙원동,소락방 주식회사,1971,7,85.7,0.3642775497015497,0.1766,0.08,37.57009871,126.98769431,관광숙박업,소락방 주식회사,198912.882065,452284.289,100216733,262.8,근린생활시설,6.0,0.0,6.0,숙박시설,상업지역,기타,0.0,88.0,0.0,6.0,6.0,0.0,숙박시설,상업지역,,88.0,88.0,6.0,6.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,연지동,스테이누아 종로,1992,17,94.1,1.4960019827707285,0.4165,0.08,37.56957912,126.99966041,관광숙박업,스테이누아 종로,199969.9997,452226.549323,100215947,454.58,제2종근린생활시설,5.0,1.0,6.0,숙박시설,상업지역,기타,0.0,77.0,0.0,6.0,5.0,1.0,숙박시설,상업지역,,77.0,77.0,6.0,6.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,관철동,1996 종로인,1996,2,0.0,1.2840155119994725,0.1408,0.12,37.56632523,126.98626896,관광숙박업,1996 종로인,198786.901723,451865.494242,1002119652,2600.33,제2종근린생활시설,7.0,2.0,9.0,숙박시설,상업지역,기타,0.0,281.0,0.0,9.0,7.0,2.0,숙박시설,상업지역,,281.0,281.0,9.0,9.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,관수동,THE EXTAY LOUNGE,2023,21,90.5,0.8184642999558599,0.1022,0.55,37.56665459,126.98850671,관광숙박업,THE EXTAY LOUNGE,198984.604875,451902.022816,1000000000000001505482,2987.26,제2종근린생활시설,11.0,2.0,13.0,숙박시설,상업지역,기타,24.0,914.0,0.0,13.0,11.0,2.0,숙박시설,상업지역,24.0,914.0,914.0,13.0,13.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,관철동,먼슬리브 종로 종각역 호텔 스테이,1992,2,0.0,1.7394910406822983,0.1465,0.08,37.56594442,126.98577426,관광숙박업,먼슬리브 종로 종각역 호텔 스테이,198743.189528,451823.235572,1002124486,1943.52,근린생활시설(교육연구및복지시설),9.0,2.0,11.0,숙박시설,상업지역,기타,11.0,315.0,0.0,11.0,9.0,2.0,숙박시설,상업지역,11.0,315.0,315.0,11.0,11.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,견지동,더프리마호텔 종로,1971,0,0.0,0.414123170851279,0.1766,0.08,37.57038151,126.98267937,관광숙박업,더프리마호텔 종로,198469.854519,452315.746209,100218684,6074.37,숙박시설,11.0,1.0,12.0,숙박시설,일반상업지역,기타,155.0,6074.0,6074.0,12.0,11.0,1.0,숙박시설,일반상업지역,155.0,6074.0,6074.0,12.0,12.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,숭인동,서울앤호텔 동대문,2017,10,100.0,1.6992974632002564,0.1108,1.0,37.5705788,127.02004352,관광숙박업,서울앤호텔 동대문,201770.687982,452337.690749,10021100207026,2507.0,"숙박시설(호스텔),근린생활시설",14.0,2.0,16.0,숙박시설,일반상업지역,기타,101.0,2507.0,171.0,16.0,14.0,2.0,숙박시설,일반상업지역,101.0,2507.0,171.0,16.0,16.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,와룡동,클래식 아파트먼트 익선,1965,76,63.2,1.244643844056864,0.1851,1.0,37.57389547,126.9897488,관광숙박업,클래식 아파트먼트 익선,199094.426974,452705.663556,1002112734,528.91,숙박시설,5.0,1.0,6.0,숙박시설,상업지역,기타,0.0,392.0,0.0,6.0,5.0,1.0,숙박시설,상업지역,,392.0,392.0,6.0,6.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,효제동,하우스 오손 종묘점,1991,19,73.7,0.9573707576176196,0.4183,0.25,37.56890164,127.00203539,관광숙박업,하우스 오손 종묘점,200179.814529,452151.358602,1002121301,554.04,숙박시설,5.0,1.0,6.0,숙박시설,상업지역,기타,0.0,180.0,0.0,6.0,5.0,1.0,숙박시설,상업지역,,180.0,180.0,6.0,6.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
종로구,관수동,HELLO HOSTEL,1965,24,87.5,0.7206876474967924,0.1851,0.12,37.56619998,126.99118829,관광숙박업,HELLO HOSTEL,199221.50943,451851.540973,100215467,969.32,제1종근린생활시설,6.0,0.0,6.0,숙박시설,상업지역,기타,0.0,288.0,0.0,6.0,6.0,0.0,숙박시설,상업지역,,288.0,288.0,6.0,6.0,0.0,,상업지역,1.0,0.0,0.0,0.0,0.0
