cluster,model,knn_k,n,fit,adj_fit,aic,rho_or_lambda,resid_moran_I,resid_moran_p,seconds,status,cluster_label,abs_resid_moran_I
0,SEM,8,2000,0.2192891913749566,,9275.08757126934,0.8306574301778047,0.6648997147671699,0.005,2.01,ok,Cluster 0,0.6648997147671699
0,SEM,10,2000,0.2256096591144264,,9336.490765436083,0.8397652627976213,0.6371753842958164,0.005,2.07,ok,Cluster 0,0.6371753842958164
0,SEM,12,2000,0.2274951847599127,,9408.681792306084,0.8399522938643452,0.6171478618375021,0.005,1.58,ok,Cluster 0,0.6171478618375021
0,SEM,14,2000,0.22925546666982152,,9483.61653006533,0.8393804579412373,0.5964196120510536,0.005,2.17,ok,Cluster 0,0.5964196120510536
1,SEM,8,2246,0.0190943217478235,,10769.609135674727,0.888911811364505,0.7413116607437554,0.005,2.14,ok,Cluster 1,0.7413116607437554
1,SEM,10,2246,0.0200585553167352,,10931.090528163457,0.9009711119043532,0.7044977502820495,0.005,2.31,ok,Cluster 1,0.7044977502820495
1,SEM,12,2246,0.0212561999735511,,11073.402098967588,0.907323855274858,0.6762300785922196,0.005,2.71,ok,Cluster 1,0.6762300785922196
1,SEM,14,2246,0.02306851932555798,,11203.436845483477,0.9096628844492991,0.6525381677460887,0.005,2.71,ok,Cluster 1,0.6525381677460887
0,SLM,8,2000,0.7006671656176258,,9257.962044408088,0.7900917391611855,0.0509797046451451,0.005,6.25,ok,Cluster 0,0.0509797046451451
0,SLM,10,2000,0.6829810553146127,,9331.78530560735,0.7962080080433687,0.0550596075924663,0.005,7.47,ok,Cluster 0,0.0550596075924663
0,SLM,12,2000,0.6641561995691467,,9412.279698454608,0.7920697528729495,0.0552479940090154,0.005,7.95,ok,Cluster 0,0.0552479940090154
0,SLM,14,2000,0.6462532370605212,,9490.921787918885,0.7868442953751993,0.049180734227326946,0.005,2.02,ok,Cluster 0,0.049180734227326946
1,SLM,8,2246,0.7585497877334649,,10792.041890997552,0.8801023202453377,0.0746587483550805,0.005,2.82,ok,Cluster 1,0.0746587483550805
1,SLM,10,2246,0.7339101786343508,,10955.327531838651,0.8939836695817276,0.0756065528815436,0.005,2.95,ok,Cluster 1,0.0756065528815436
1,SLM,12,2246,0.7087150555532925,,11106.352276042686,0.901032031562974,0.0867568460709698,0.005,2.54,ok,Cluster 1,0.0867568460709698
1,SLM,14,2246,0.684162901041807,,11243.305346080939,0.9033692763057484,0.08828485686078348,0.005,2.61,ok,Cluster 1,0.08828485686078348
