구,동,숙소명,경도,위도,fire_count_150m,x_5181,y_5181,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,최근접_소화용수_거리등급,총층수,연면적,최종_화재위험점수,cluster_k2,lisa_I,lisa_p,lisa_q,lisa_significant,lisa_type
종로구,종로2가,서울YMCA관광호텔,126.98450169,37.56785597,5,198630.79614987536,452035.4127998096,1965,0.3564,13,15.4,0.6931471805599453,0.1851,0.55,0,9,6.795705775173514,21.2412114625286,0,-0.04684755233043414,0.206,2,False,Not significant
종로구,관훈동,호텔 썬비,126.9840039,37.57030354,12,198586.8649520342,452307.07189909474,2003,0.3349,8,50.0,0.7304542329727559,0.1308,0.08,0,10,7.636269603379373,15.82111788156603,0,1.2554925181271224,0.026,1,True,High-High
종로구,관훈동,나인트리 바이 파르나스 서울 인사동,126.98300804,37.57180204,10,198498.91829008472,452473.40342401474,2019,0.3135,14,71.4,0.4895482253187058,0.1079,0.12,1,17,10.004960521466762,24.39068923389332,0,0.766107506650928,0.043,1,True,High-High
종로구,인의동,이스트 아뜰리에,126.99588429,37.57093161,3,199636.41105074776,452376.66804754216,1985,0.1408,3,0.0,0.0652912498144373,0.4289,0.08,2,4,5.910688237080694,26.849401298165088,0,0.22533734218601936,0.126,3,False,Not significant
종로구,숭인동,U-STAY HOSTEL,127.01545561,37.56976898,9,201365.39658222973,452247.73397197865,1996,0.1894,3,0.0,1.8643198527313989,0.1408,0.18,2,6,4.875197323201151,24.839997779177907,0,0.37097869863980953,0.114,1,False,Not significant
종로구,낙원동,목시 서울 인사동 호텔,126.98855583,37.56954746,10,198988.9834914257,452223.0971097793,2019,0.1735,21,66.7,1.7926362777015894,0.1079,0.85,0,19,8.69483715865908,29.209970486165123,1,1.3043094380274736,0.004,1,True,High-High
종로구,이화동,글루호텔,127.00317208,37.57304815,4,200280.2191106077,452611.57618867216,2019,0.3165,7,57.1,0.058188157683169,0.1079,0.04,1,15,7.520234556474628,19.256213755638115,0,0.11608497982333336,0.166,3,False,Not significant
종로구,당주동,SOUNDS INN GWANGHWAMUN,126.97474946,37.56859605,1,197769.2538927436,452117.7398351733,1963,0.6236,5,0.0,0.035612071788877,0.4676,0.55,2,5,5.093750200806762,39.77099511028438,0,0.7324199385876102,0.006,3,True,Low-Low
종로구,종로4가,진가,126.99879348,37.56787973,9,199893.4095846997,452037.9376605889,1967,0.3014,37,78.4,0.6931471805599453,0.1823,0.7,1,5,5.0238805208462765,32.83612662611723,1,1.0300071172945504,0.004,1,True,High-High
종로구,묘동,킴스텔코리아 종로점,126.99068465,37.57078678,27,199177.0642537979,452360.62642953946,1965,0.0898,31,67.7,0.698324068739479,0.4641,1.0,1,6,5.676753802268282,41.44688277749936,1,15.367581572714876,0.001,1,True,High-High
종로구,창신동,호스텔 메가 동대문역,127.00943028,37.56790086,6,200833.1210247645,452040.3239614565,1992,0.129,6,0.0,0.2810012094609484,0.1465,0.18,2,6,5.030437921392435,20.673846636390124,0,-0.010099961863960219,0.377,4,False,Not significant
종로구,봉익동,포레스트 스테이 종로,126.99144197,37.57018563,18,199243.9612674128,452293.8994110669,2007,0.0858,11,81.8,0.3761947258080512,0.1251,0.08,1,5,5.655991810819852,18.76454932292856,0,9.701400245495615,0.001,1,True,High-High
종로구,관철동,MOMENTO HOSTEL,126.98379997,37.56655742,9,198568.77759507968,451891.2993930125,1959,0.4182,4,0.0,0.6931471805599453,0.1937,0.12,1,5,6.077642243349034,20.173018676589088,0,0.49302099839068736,0.072,1,False,Not significant
종로구,숭인동,더온재,127.02039051,37.57228397,6,201801.30040560765,452526.951782465,1994,0.2715,9,33.3,0.7105211484959985,0.1436,0.85,0,5,5.030437921392435,23.182879314615583,0,0.04569763414359103,0.095,1,False,Not significant
중구,남창동,케이팝 서울타워 호스텔,126.97637629,37.55403706,8,197912.56921416588,450501.8264476872,2014,0.2539,14,42.9,0.6931471805599453,0.115,0.55,0,5,6.192362489474872,19.63887987245417,0,0.15783242832353578,0.23,1,False,Not significant
종로구,창신동,247 HOSTEL SEOUL,127.01314811,37.56817447,4,201161.56962693192,452070.73093311576,1989,0.0918,5,20.0,2.290649742444773,0.1509,0.25,2,5,5.568344503761097,27.88035713235003,0,0.1516167578171247,0.113,3,False,Not significant
종로구,관철동,찰나 호스텔,126.98332934,37.56664615,11,198527.2006409276,451901.1546558518,1975,0.4213,3,0.0,1.0608719606852626,0.1708,0.08,1,7,4.653960350157523,18.96233950952074,0,0.7081036891339583,0.087,1,False,Not significant
종로구,종로2가,스테이울림,126.98358024,37.56718514,8,198549.37730385503,451960.9723364486,1972,0.4089,15,33.3,1.2794312155775294,0.1752,0.55,0,8,4.653960350157523,22.920791257445707,0,0.24362234212630762,0.132,1,False,Not significant
종로구,종로5가,편안정 종로5가점,127.0045472,37.56810507,1,200401.72270368112,452062.9568032172,1967,0.3074,12,0.0,0.0130720815673527,0.1823,0.08,2,7,4.5217885770490405,21.67559965524564,0,0.7660152961544041,0.007,3,True,Low-Low
종로구,창신동,동대문 스테이가든,127.01349641,37.56946846,8,201192.3195598642,452214.35309,1959,0.1408,6,100.0,1.8129221675840912,0.4747,0.25,2,2,5.424950017481403,41.45297090306909,0,0.07204251452076389,0.354,1,False,Not significant
종로구,종로5가,고유리(Goyu;re),127.0037223,37.56730221,0,200328.850384723,451973.845520203,1975,0.3379,5,0.0,0.0575238441381866,0.1708,0.08,2,5,4.174387269895637,21.267979814339,0,1.094718394632724,0.001,3,True,Low-Low
종로구,충신동,온코리아 스테이,127.00336668,37.57265524,4,200297.4114876193,452567.9683308567,1994,0.3379,8,75.0,0.8026314134016336,0.1436,1.0,2,6,5.703782474656201,41.64710659789858,1,0.11608497982333336,0.166,3,False,Not significant
종로구,낙원동,하프레스트 호스텔,126.98762245,37.56953983,22,198906.52544781583,452222.2607203672,2000,0.2029,16,75.0,1.5746285077682394,0.5361,0.08,0,7,6.318968113746434,28.25623506129057,0,5.8381561135466695,0.001,1,True,High-High
종로구,숭인동,엔조이스테이 호스텔,127.01912285,37.57029351,10,201689.36010745016,452306.0103027669,2024,0.2984,48,66.7,1.1337273076890122,0.1011,0.7,0,5,6.391917113392602,26.28742360795916,1,0.41785919811316335,0.146,1,False,Not significant
종로구,창신동,이온호텔,127.01196959,37.56975326,6,201057.4309710828,452245.9442948698,2022,0.1457,3,66.7,1.6502405363066972,0.1036,0.18,2,8,6.871091294610546,28.83960335298888,0,0.0031851800425996015,0.446,1,False,Not significant
종로구,관철동,오아시스 트레블러스 종로,126.98663866,37.56702341,2,198819.5744068622,451942.9793846741,1969,0.3074,1,0.0,1.652923024373839,0.1794,0.55,2,7,5.214935757608986,32.115293376520604,0,0.38993649368436295,0.085,3,False,Not significant
종로구,관철동,스테이 마루 종로,126.98479778,37.56669767,6,198656.9335324272,451906.8507728739,1965,0.3811,3,0.0,0.3677247801253173,0.4641,0.55,2,8,5.459585514144159,37.75807448609137,0,0.008499236805223532,0.382,1,False,Not significant
종로구,창신동,동대문인순,127.01021919,37.56877711,5,200902.8069487202,452137.584767697,1934,0.129,2,50.0,2.585960082443016,0.2295,0.08,1,6,3.8501476017100575,23.59054129632692,0,0.04042797502744142,0.234,3,False,Not significant
종로구,권농동,스테이 종로 온당,126.99046732,37.57416521,16,199157.9029485418,452735.5949044859,2009,0.1632,66,71.2,2.277267285009756,0.1222,0.85,1,3,4.948759890378168,36.20510345348208,1,5.125942729619216,0.001,1,True,High-High
종로구,종로6가,편안정,127.006942,37.56925877,3,200613.2820190108,452191.01697398326,1980,0.2365,2,50.0,0.7023638356648694,0.1637,0.18,1,6,4.672828834461906,20.52977057375294,0,-0.04198430243970381,0.403,2,False,Not significant
종로구,낙원동,소락방 주식회사,126.98769431,37.57009871,14,198912.88192580824,452284.2890572832,1971,0.192,7,85.7,0.3642775497015497,0.1766,0.08,0,6,4.48863636973214,14.718680696370315,0,2.0745266394718973,0.015,1,True,High-High
종로구,연지동,스테이누아 종로,126.99966041,37.56957912,14,199969.99948880167,452226.5494915817,1992,0.2954,17,94.1,1.4960019827707285,0.4165,0.08,1,6,4.356708826689592,32.04509291990597,0,3.1664218656409666,0.001,1,True,High-High
종로구,관철동,1996 종로인,126.98626896,37.56632523,2,198786.9014396665,451865.4942857504,1996,0.3349,2,0.0,1.2840155119994725,0.1408,0.12,1,9,5.641907070938114,18.8675451006514,0,0.5216608955702273,0.018,3,True,Low-Low
종로구,관수동,THE EXTAY LOUNGE,126.98850671,37.56665459,9,198984.60479649177,451902.022856804,2023,0.2744,21,90.5,0.8184642999558599,0.1022,0.55,0,13,6.818924065275521,24.036632666604508,1,0.4197956185401607,0.096,1,False,Not significant
종로구,관철동,먼슬리브 종로 종각역 호텔 스테이,126.98577426,37.56594442,2,198743.1896952721,451823.235338292,1992,0.341,2,0.0,1.7394910406822983,0.1465,0.08,0,11,5.755742213586912,13.741622041504566,0,0.4162813740615358,0.065,3,False,Not significant
종로구,견지동,더프리마호텔 종로,126.98267937,37.57038151,6,198469.85428918863,452315.7464052829,1971,0.3842,0,0.0,0.414123170851279,0.1766,0.08,0,12,8.711937268208748,13.766490642016482,0,0.08821008824458246,0.015,1,True,High-High
종로구,숭인동,서울앤호텔 동대문,127.02004352,37.5705788,9,201770.6876308864,452337.6911238064,2017,0.3318,10,100.0,1.6992974632002564,0.1108,1.0,2,16,5.147494476813453,44.48963183612818,1,0.49302099839068736,0.069,1,False,Not significant
종로구,와룡동,클래식 아파트먼트 익선,126.9897488,37.57389547,17,199094.4271252305,452705.6635670773,1965,0.1658,76,63.2,1.244643844056864,0.1851,1.0,0,6,5.973809611869261,32.13697393964809,1,5.950065504290668,0.001,1,True,High-High
종로구,효제동,하우스 오손 종묘점,127.00203539,37.56890164,2,200179.81475769155,452151.3590032406,1991,0.4028,19,73.7,0.9573707576176196,0.4183,0.25,1,6,5.198497031265826,33.691147743304406,0,0.6797301778332645,0.002,3,True,Low-Low
종로구,관수동,HELLO HOSTEL,126.99118829,37.56619998,14,199221.50903375345,451851.5408769832,1965,0.2112,24,87.5,0.7206876474967924,0.1851,0.12,0,6,5.666426688112432,18.27178596296994,0,2.438491714861587,0.004,1,True,High-High
종로구,청진동,하나데이즈 종로광화문(Hana Days Jongno-Gwanghwamun,126.9800544,37.56915801,4,198237.9293614697,452179.998138356,1971,0.5007,0,0.0,2.597384633214691,0.1766,0.18,0,7,5.43372200355424,19.577019086817213,0,-0.19185709612285828,0.096,2,False,Not significant
종로구,숭인동,브릭 스테이 (BRIC STAY),127.01971336,37.57248011,6,201741.47631546104,452548.7082822138,1999,0.2685,27,55.6,0.3035351275471273,0.1365,0.85,1,4,5.556828061699537,30.67480751702137,1,0.019127350330471384,0.283,1,False,Not significant
종로구,충신동,연경당,127.00395269,37.57203715,4,200349.182318633,452499.3695269848,2019,0.3749,37,67.6,0.6931471805599453,0.1079,1.0,1,9,4.3694478524670215,34.807095900088584,1,0.06870927583161157,0.329,3,False,Not significant
