구,동,high_high_시설수,평균_150m화재건수,평균_lisa_I,고위험군_cluster1_비율
마포구,연남동,82,15.0,4.385038262107421,0.9146341463414634
마포구,동교동,81,16.074074074074073,6.049439664372354,0.6790123456790124
마포구,서교동,71,14.154929577464788,3.4489398674358345,0.8028169014084507
영등포구,영등포동,46,13.23913043478261,3.7646584727646824,0.43478260869565216
강남구,논현동,41,11.317073170731707,1.4103030297984707,0.5609756097560976
송파구,방이동,39,11.461538461538462,1.5941265031854648,0.8205128205128205
강남구,역삼동,35,11.942857142857143,1.7269821556023075,0.42857142857142855
종로구,숭인동,29,11.172413793103448,1.3531324817411314,0.6551724137931034
성동구,도선동,29,10.551724137931034,1.0612823739775474,0.7241379310344828
종로구,낙원동,27,12.444444444444445,2.2978202385434785,0.3333333333333333
중구,황학동,19,14.31578947368421,3.673749098467057,1.0
송파구,잠실동,16,12.25,1.8089439738164945,1.0
종로구,익선동,13,17.46153846153846,5.81545525538397,1.0
종로구,관수동,13,11.538461538461538,1.5692619822040497,0.3076923076923077
중구,명동,13,10.923076923076923,1.2208613030452484,0.46153846153846156
강남구,신사동,13,10.307692307692308,1.055520526955206,0.6153846153846154
용산구,후암동,12,10.583333333333334,1.1222329822343173,0.9166666666666666
용산구,이태원동,12,9.333333333333334,0.6820064110159695,0.5
강남구,삼성동,11,14.636363636363637,3.55987194585847,1.0
종로구,동숭동,10,10.2,0.9458384006288074,1.0
종로구,관훈동,9,10.88888888888889,1.0453186133222476,0.0
용산구,동자동,8,11.125,1.2269465390458931,1.0
종로구,연지동,7,14.285714285714286,2.988202882285717,0.14285714285714285
종로구,돈의동,7,13.142857142857142,2.1905342745058367,0.2857142857142857
종로구,충신동,7,11.0,1.1793334784057126,0.8571428571428571
중구,을지로3가,6,18.0,5.908423927101289,1.0
용산구,갈월동,6,11.333333333333334,1.0542203414403577,0.5
용산구,한남동,6,10.333333333333334,0.8749397989738951,1.0
강서구,화곡동,6,9.333333333333334,0.6142977233401804,1.0
종로구,와룡동,5,22.2,11.437930173332436,1.0
종로구,운니동,5,14.0,3.706325934479268,1.0
중구,신당동,5,11.4,1.3666635418582158,1.0
송파구,송파동,4,14.0,1.7346097200552264,0.5
마포구,상수동,4,12.75,1.7019262218429436,1.0
송파구,삼전동,4,12.25,1.197972805716902,0.75
용산구,남영동,4,11.5,1.3924635265050054,0.0
중구,무학동,4,10.0,1.051037940909099,0.75
용산구,서계동,4,9.5,0.6295642525208076,1.0
용산구,청파동,4,8.75,0.5253441926258121,1.0
중구,북창동,4,8.5,0.4656515569410292,0.75
종로구,권농동,3,15.333333333333334,4.8400366855398005,1.0
중구,산림동,3,14.0,2.4710363281284877,1.0
강남구,대치동,3,11.0,1.1518991480881302,0.6666666666666666
종로구,창신동,3,9.666666666666666,0.9429262565404466,0.3333333333333333
종로구,묘동,2,23.5,14.308538897335048,1.0
종로구,봉익동,2,20.5,11.347844274952735,0.5
중구,인현동,2,15.0,3.2053312799703835,0.0
중구,을지로4가,2,11.0,1.5641108043811538,1.0
마포구,공덕동,2,8.5,0.4491578312758029,0.5
서초구,반포동,2,8.0,0.4442040784903363,0.5
중구,남대문로5가,2,7.5,0.32880434969273825,1.0
종로구,인사동,1,30.0,13.285253403384964,1.0
중구,초동,1,17.0,5.702828671889232,1.0
종로구,종로5가,1,15.0,3.476976572321995,0.0
중구,을지로6가,1,15.0,1.6433708489486192,0.0
성동구,홍익동,1,13.0,1.6129277242815052,0.0
중구,입정동,1,13.0,3.0550076794153367,1.0
종로구,장사동,1,11.0,1.603020218710572,1.0
종로구,관철동,1,10.0,0.6711306952315378,0.0
성동구,마장동,1,9.0,0.5174294583408631,0.0
종로구,종로4가,1,9.0,1.0300071172945504,1.0
종로구,효자동,1,9.0,0.5418379182910384,0.0
종로구,원남동,1,8.0,0.3637282214501883,0.0
영등포구,당산동,1,7.0,0.6360497241096399,0.0
종로구,혜화동,1,7.0,0.21993449013044672,1.0
종로구,견지동,1,6.0,0.08821008824458246,0.0
종로구,인의동,1,6.0,0.12275145720163799,0.0
