cluster,model,knn_k,n,fit,adj_fit,aic,rho_or_lambda,resid_moran_I,resid_moran_p,seconds,status
0,SLM,6,2000,0.7273961851867156,,9138.741001169707,0.7797608353606794,0.05423394381217799,0.005,2.32,ok
0,SLM,8,2000,0.7006671656176258,,9257.962044408088,0.7900917391611855,0.050979704645145105,0.005,6.25,ok
0,SLM,10,2000,0.6829810553146127,,9331.78530560735,0.7962080080433687,0.05505960759246636,0.005,7.47,ok
0,SLM,12,2000,0.6641561995691467,,9412.279698454608,0.7920697528729495,0.055247994009015436,0.005,7.95,ok
0,SLM,15,2000,0.6393544308685466,,9519.81435560322,0.7857791747206376,0.04764774870196774,0.005,6.44,ok
0,SLM,20,2000,0.603940194495665,,9675.178843138248,0.7845268585354421,0.03757469220572132,0.005,4.14,ok
0,SEM,6,2000,0.2049879331374673,,9164.075004834973,0.8182711708287771,0.7081330043992298,0.005,2.08,ok
0,SEM,8,2000,0.21928919137495664,,9275.087571269341,0.8306574301778047,0.6648997147671699,0.005,2.01,ok
0,SEM,10,2000,0.22560965911442643,,9336.490765436085,0.8397652627976213,0.6371753842958164,0.005,2.07,ok
0,SEM,12,2000,0.2274951847599127,,9408.681792306083,0.8399522938643452,0.6171478618375021,0.005,1.58,ok
0,SEM,15,2000,0.22930025121465988,,9510.791916048,0.8397563824731985,0.5891837806973308,0.005,1.61,ok
0,SEM,20,2000,0.22917343680876293,,9658.755427018416,0.8482857711719962,0.537276402375099,0.005,1.5,ok
1,SLM,6,2246,0.784510367355742,,10617.943676518147,0.8612476865814703,0.0660551693161912,0.005,2.68,ok
1,SLM,8,2246,0.7585497877334649,,10792.041890997552,0.8801023202453377,0.07465874835508057,0.005,2.82,ok
1,SLM,10,2246,0.7339101786343508,,10955.327531838653,0.8939836695817276,0.07560655288154366,0.005,2.95,ok
1,SLM,12,2246,0.7087150555532925,,11106.352276042686,0.901032031562974,0.08675684607096987,0.005,2.54,ok
1,SLM,15,2246,0.6728283086159554,,11305.070179134307,0.9046584550959764,0.08808967390803764,0.005,2.46,ok
1,SLM,20,2246,0.6234689646754258,,11555.367763276317,0.907471357679602,0.08419487043135856,0.005,2.56,ok
1,SEM,6,2246,0.020909371471338267,,10597.970895922912,0.8711698217675943,0.7838098614508392,0.005,2.36,ok
1,SEM,8,2246,0.019094321747823523,,10769.609135674727,0.888911811364505,0.7413116607437554,0.005,2.14,ok
1,SEM,10,2246,0.020058555316735262,,10931.090528163455,0.9009711119043533,0.7044977502820495,0.005,2.31,ok
1,SEM,12,2246,0.021256199973551115,,11073.402098967588,0.9073238552748581,0.6762300785922196,0.005,2.71,ok
1,SEM,15,2246,0.022102720967547573,,11263.844807391706,0.9108539858424822,0.6421069778991454,0.005,2.95,ok
1,SEM,20,2246,0.023584531888566528,,11509.199445430582,0.9140702269799119,0.5953171555426271,0.005,2.88,ok
