cluster,model,knn_k,n,fit,adj_fit,aic,resid_moran_I,resid_moran_p,status,rho_or_lambda,seconds,sampled,bandwidth
0,OLS,20,2000,0.25504935758564173,0.25130400493398586,10840.754115791739,0.46389378496489736,0.005,ok,,,,
0,SEM,6,2000,0.2049879331374673,,9164.075004834973,0.7081330043992298,0.005,ok,0.8182711708287771,2.08,,
0,SLM,6,2000,0.7273961851867156,,9138.741001169707,0.05423394381217799,0.005,ok,0.7797608353606794,2.32,,
0,GWR,12,700,0.6184474561372117,0.5085135264907621,3641.805678460105,0.03640241019899754,0.005,ok,,2.38,True,117.0
0,MGWR,12,220,0.6373278326683247,0.5403554417640739,1142.95976364272,-0.05904008980767633,0.015,ok,,39.21,True,144.63636363636363
1,OLS,20,2246,0.07072477156794488,0.06656694056824886,13359.130983373241,0.5480623532547105,0.005,ok,,,,
1,SEM,6,2246,0.020909371471338267,,10597.970895922912,0.7838098614508392,0.005,ok,0.8711698217675943,2.36,,
1,SLM,6,2246,0.784510367355742,,10617.943676518147,0.0660551693161912,0.005,ok,0.8612476865814703,2.68,,
1,GWR,12,700,0.5782254394627878,0.4516518921850795,3950.7537295836128,0.08689526475286881,0.005,ok,,2.06,True,112.0
1,MGWR,12,220,0.57973187862897,0.450181129005637,1260.0634283903441,-0.018972383179872147,0.25,ok,,28.17,True,124.45454545454545
