file,replacements
"data\osm_seoul_10gu_named_highways.json",61
"NJT-PJT\0424\서울시 소화용수 위치정보 (좌표계_ ITRF2000).csv",26
"NJT-PJT\0429\cluster3_fire_count_150m_area_counts_summary.csv",3
"NJT-PJT\0429\cluster3_fire_count_150m_spatial_distribution_top_areas.csv",2
"NJT-PJT\data\clustering_result_all.csv",505
"NJT-PJT\data\clustering_result_all_주변건물수보정.csv",505
"NJT-PJT\data\clustering_result_A_기존숙박군.csv",298
"NJT-PJT\data\clustering_result_B_외국인민박.csv",207
"NJT-PJT\data\data_with_fire_targets.csv",502
"NJT-PJT\data\lisa_result.csv",502
"NJT-PJT\data\map_data.json",34
"NJT-PJT\data\분석변수_최종테이블.csv",502
"NJT-PJT\data\분석변수_최종테이블428.csv",504
"NJT-PJT\data\서울10구_숙소_소방거리_유클리드.csv",503
"NJT-PJT\data\숙박시설_wgs84.json",34
"NJT-PJT\data\통합숙박시설_최종안0421.csv",505
"NJT-PJT\data\통합숙박시설최종안0415.csv",44
"NJT-PJT\data\통합숙박시설표제부0415_피처선정본.csv",38
"NJT-PJT\data\핵심서울0424.csv",502
"NJT-PJT\scripts\build_total_building_commercial_density_map_0417.py",1
"NJT-PJT\scripts\mapo_license_viz.py",1
"NJT-PJT\scripts\ols_improved.py",1
"NJT-PJT\scripts\visualize_combined.py",5
"NJT-PJT\원본데이터\03. 표제부_강서구.csv",27514
"NJT-PJT\원본데이터\03. 표제부_성동구.csv",15972
"NJT-PJT\원본데이터\03. 표제부_영등포구.csv",21619
"NJT-PJT\원본데이터\등기부등본_표제부_강남.csv",29781
"NJT-PJT\원본데이터\등기부등본_표제부_마포구.csv",24626
"NJT-PJT\원본데이터\등기부등본_표제부_서초구.csv",19476
"NJT-PJT\원본데이터\등기부등본_표제부_송파구.csv",27816
"NJT-PJT\원본데이터\등기부등본_표제부_용산구.csv",18243
"NJT-PJT\원본데이터\등기부등본_표제부_종로구.csv",17292
"NJT-PJT\원본데이터\등기부등본_표제부_중구.csv",11714
"NJT-PJT\원본데이터\서울시 관광숙박업 인허가 정보.csv",31
"NJT-PJT\원본데이터\서울시 숙박업 인허가 정보.csv",53
