source_ym,SIGNGU_NM,rows
202403,강남구,55
202403,강서구,3
202403,마포구,10
202403,서초구,24
202403,성동구,4
202403,송파구,8
202403,영등포구,13
202403,용산구,10
202403,종로구,26
202403,중구,19
202404,강남구,55
202404,강서구,3
202404,마포구,10
202404,서초구,24
202404,성동구,4
202404,송파구,8
202404,영등포구,13
202404,용산구,10
202404,종로구,26
202404,중구,19
202405,강남구,55
202405,강서구,3
202405,마포구,10
202405,서초구,24
202405,성동구,4
202405,송파구,8
202405,영등포구,13
202405,용산구,10
202405,종로구,26
202405,중구,19
202406,강남구,55
202406,강서구,3
202406,마포구,10
202406,서초구,24
202406,성동구,4
202406,송파구,8
202406,영등포구,13
202406,용산구,10
202406,종로구,26
202406,중구,19
202407,강남구,55
202407,강서구,3
202407,마포구,10
202407,서초구,24
202407,성동구,4
202407,송파구,8
202407,영등포구,13
202407,용산구,10
202407,종로구,26
202407,중구,19
202408,강남구,55
202408,강서구,3
202408,마포구,10
202408,서초구,24
202408,성동구,4
202408,송파구,8
202408,영등포구,13
202408,용산구,10
202408,종로구,26
202408,중구,19
202409,강남구,55
202409,강서구,3
202409,마포구,10
202409,서초구,24
202409,성동구,4
202409,송파구,8
202409,영등포구,13
202409,용산구,10
202409,종로구,26
202409,중구,19
202410,강남구,55
202410,강서구,3
202410,마포구,10
202410,서초구,24
202410,성동구,4
202410,송파구,8
202410,영등포구,13
202410,용산구,10
202410,종로구,26
202410,중구,19
202411,강남구,55
202411,강서구,3
202411,마포구,10
202411,서초구,24
202411,성동구,4
202411,송파구,8
202411,영등포구,13
202411,용산구,10
202411,종로구,26
202411,중구,19
202412,강남구,55
202412,강서구,3
202412,마포구,10
202412,서초구,24
202412,성동구,4
202412,송파구,8
202412,영등포구,13
202412,용산구,10
202412,종로구,26
202412,중구,19
202501,강남구,55
202501,강서구,3
202501,마포구,10
202501,서초구,24
202501,성동구,4
202501,송파구,8
202501,영등포구,13
202501,용산구,10
202501,종로구,26
202501,중구,19
202502,강남구,55
202502,강서구,3
202502,마포구,10
202502,서초구,24
202502,성동구,4
202502,송파구,8
202502,영등포구,13
202502,용산구,10
202502,종로구,26
202502,중구,19
202503,강남구,55
202503,강서구,3
202503,마포구,10
202503,서초구,24
202503,성동구,4
202503,송파구,8
202503,영등포구,13
202503,용산구,10
202503,종로구,26
202503,중구,19
202504,강남구,55
202504,강서구,3
202504,마포구,10
202504,서초구,24
202504,성동구,4
202504,송파구,8
202504,영등포구,13
202504,용산구,10
202504,종로구,26
202504,중구,19
202505,강남구,55
202505,강서구,3
202505,마포구,10
202505,서초구,24
202505,성동구,4
202505,송파구,8
202505,영등포구,13
202505,용산구,10
202505,종로구,26
202505,중구,19
202506,강남구,21
202506,강서구,7
202506,마포구,6
202506,서초구,18
202506,성동구,6
202506,송파구,7
202506,영등포구,7
202506,용산구,6
202506,종로구,15
202506,중구,17
202507,강남구,21
202507,강서구,7
202507,마포구,6
202507,서초구,18
202507,성동구,6
202507,송파구,7
202507,영등포구,7
202507,용산구,6
202507,종로구,15
202507,중구,17
202508,강남구,21
202508,강서구,7
202508,마포구,6
202508,서초구,18
202508,성동구,6
202508,송파구,7
202508,영등포구,7
202508,용산구,6
202508,종로구,15
202508,중구,17
202509,강남구,21
202509,강서구,7
202509,마포구,6
202509,서초구,18
202509,성동구,6
202509,송파구,7
202509,영등포구,7
202509,용산구,6
202509,종로구,15
202509,중구,17
202510,강남구,21
202510,강서구,7
202510,마포구,6
202510,서초구,18
202510,성동구,6
202510,송파구,7
202510,영등포구,7
202510,용산구,6
202510,종로구,15
202510,중구,17
202511,강남구,21
202511,강서구,7
202511,마포구,6
202511,서초구,18
202511,성동구,6
202511,송파구,7
202511,영등포구,7
202511,용산구,6
202511,종로구,15
202511,중구,17
202512,강남구,21
202512,강서구,7
202512,마포구,6
202512,서초구,18
202512,성동구,6
202512,송파구,7
202512,영등포구,7
202512,용산구,6
202512,종로구,15
202512,중구,17
202601,강남구,21
202601,강서구,7
202601,마포구,6
202601,서초구,18
202601,성동구,6
202601,송파구,7
202601,영등포구,7
202601,용산구,6
202601,종로구,15
202601,중구,17
202602,강남구,21
202602,강서구,7
202602,마포구,6
202602,서초구,18
202602,성동구,6
202602,송파구,7
202602,영등포구,7
202602,용산구,6
202602,종로구,15
202602,중구,17
202603,강남구,21
202603,강서구,7
202603,마포구,6
202603,서초구,18
202603,성동구,6
202603,송파구,7
202603,영등포구,7
202603,용산구,6
202603,종로구,15
202603,중구,17
