추정_구,대표_동,방문생활인구수_00_03시,방문생활인구수_04_07시,방문생활인구수_08_11시,방문생활인구수_12_15시,방문생활인구수_16_19시,방문생활인구수_20_23시,25개월평균_방문생활인구수
중구,명동,25600.3248,24237.6704,21351.818799999997,22913.0244,32440.757999999998,36359.0824,162902.6788
중구,인현동,27733.328,27815.581,21767.962,11913.465,13050.9,20736.436999999998,123017.67299999998
마포구,서교동,14698.851200000001,12234.4864,11629.6716,16025.95,19656.1168,21910.153599999998,96155.22959999999
강남구,역삼동,10819.78,10730.239599999999,10460.0936,9849.0048,9905.0072,11160.47,62924.5952
중구,을지로,10189.153199999999,10286.954,9039.6688,8061.3336,10284.6932,11762.7232,59624.526
강남구,삼성동,7583.7944,7629.7652,9270.4496,12933.034399999999,12176.0744,8763.374399999999,58356.492399999996
강남구,신사동,7581.2483999999995,7030.2624,8219.7504,12354.5004,12940.091999999999,9760.8212,57886.67479999999
중구,충무로,11468.344666666668,11460.730666666666,8457.380666666668,4256.876666666667,4682.079333333333,7975.6213333333335,48301.03333333334
중구,소공동,7078.294,7088.15,6558.758,7452.3786666666665,8919.838666666667,6711.966,43809.38533333333
중구,남산동,8485.766,8477.78,6997.626,5372.949333333334,6359.330666666667,7961.27,43654.72200000001
중구,남창동,5973.5344,5423.3408,5720.268,7877.6172,8237.3276,5202.6672,38434.7552
서초구,서초동,4848.4712,4789.1908,6062.4188,7204.3404,6790.020799999999,5718.534000000001,35412.976
마포구,동교동,5489.9396,5385.890799999999,5426.1332,5609.1359999999995,5944.994000000001,6587.801600000001,34443.8952
영등포구,여의도동,4970.4432,4993.2392,5246.9852,6584.5484,6898.4896,5018.6144,33712.32
성동구,성수동2가,1491.221,1317.999,3001.094,11329.613000000001,11850.268,4380.205,33370.4
종로구,관훈동,5872.8036,5842.978,5282.2864,5386.7812,4909.6248,5017.328399999999,32311.8024
용산구,한강로3가,5096.6932,5004.5336,4094.2176,3990.5712,3756.4488,4427.6488,26370.113199999996
강남구,대치동,5096.8352,4971.8216,4345.0084,3195.258,3400.2272000000003,4410.0864,25419.2368
강남구,논현동,4527.8676000000005,4396.4272,4310.8144,3936.7747999999997,3881.0935999999997,4311.2596,25364.2372
중구,북창동,3723.64,3699.4716,3620.5116,4597.4264,5630.4588,3808.0056,25079.514
중구,산림동,5433.043,5512.279,4112.817,2439.189,2456.556,3765.906,23719.789999999997
종로구,돈의동,3632.3104,3518.1664,3500.9564,3524.5808,3433.472,3670.1616,21279.6476
중구,광희동1가,4670.038666666666,4565.931333333333,3692.828,2117.862,2390.3126666666667,3803.8340000000003,21240.806666666667
서초구,반포동,2483.3795999999998,2464.1044,2924.7724,4371.3476,4631.3208,2942.3635999999997,19817.2884
종로구,수송동,3064.9053333333336,2938.1273333333334,3794.398,3942.574666666667,2861.676,2534.4139999999998,19136.095333333335
마포구,도화동,3323.6704,3324.2936,3469.96,3041.9644,2369.1724,3081.7315999999996,18610.7924
종로구,장사동,2277.0692,2242.446,2416.882,2480.3148,2273.8712,2172.5480000000002,13863.1312
용산구,이태원동,2423.0276,1918.5628,1668.6684,1858.3072,2106.346,2321.286,12296.198
중구,다동,2559.6204000000002,2641.7452000000003,2131.056,1383.5095999999999,1527.0156,2020.0548000000001,12263.001600000001
송파구,잠실동,1392.3084,1357.15,1525.7728,2559.9,2545.3232000000003,1670.874,11051.3284
종로구,연지동,1863.8300000000002,1808.7473333333332,1563.4653333333333,1307.3120000000001,1287.088,1604.2433333333333,9434.686
강남구,청담동,1160.4868,1080.8519999999999,1440.5436,1899.8516,1899.2892000000002,1699.886,9180.9092
종로구,관철동,1742.4379999999999,1693.4664000000002,1481.3944000000001,1136.6924000000001,1330.5307999999998,1667.6304,9052.152399999999
영등포구,영등포동,1783.548,1800.3846666666666,1599.4166666666667,1049.0106666666666,968.8486666666666,1398.256,8599.464666666667
영등포구,영등포동4가,1326.3928,1364.0204,1341.0708,1502.9584,1491.9816,1419.4784,8445.902399999999
중구,필동2가,1429.7406666666668,1447.0213333333334,1490.7733333333333,1116.224,1080.0800000000002,1261.956,7825.7953333333335
중구,주교동,1679.3673333333331,1717.6346666666666,1359.4019999999998,926.374,898.0213333333334,1171.474,7752.273333333333
종로구,통인동,475.49799999999993,448.071,1519.733,2883.473,1548.081,692.554,7567.41
종로구,관수동,1357.1699999999998,1316.3306666666665,1134.252,870.4786666666666,1025.9233333333334,1289.1033333333332,6993.258
서초구,잠원동,1219.2936,1033.7528,1097.8455999999999,1177.1044,1224.5816,1225.6812,6978.2591999999995
중구,흥인동,1366.5113333333331,855.814,858.138,752.14,936.0493333333333,1807.5606666666667,6576.213333333333
종로구,종로5가,924.3092,925.0292,991.6604000000001,1181.1044,1216.7192,1247.05,6485.872400000001
영등포구,영등포동3가,1232.8264,1180.1236,1075.1484,864.4332,888.4792,1211.5028,6452.5136
마포구,노고산동,1139.9379999999999,1206.6213333333333,1181.4106666666667,979.1933333333333,914.52,1000.4906666666667,6422.173999999999
영등포구,문래동3가,1112.0273333333332,1188.4566666666665,1425.4593333333332,861.5606666666666,833.6306666666666,990.654,6411.788666666665
용산구,남영동,727.3953333333334,816.302,1386.8473333333334,1578.3866666666665,1077.744,787.2486666666666,6373.923999999999
종로구,청진동,1002.475,969.8610000000001,966.8059999999999,860.4709999999999,756.428,800.763,5356.804
강서구,마곡동,1075.366,1053.0639999999999,813.466,611.0699999999999,618.1850000000001,855.3729999999999,5026.523999999999
종로구,내수동,793.4756,750.7732000000001,846.3232,1010.178,839.7176,743.8303999999999,4984.298
종로구,창신동,973.5888,980.3380000000001,839.5244,647.884,617.8947999999999,777.1555999999999,4836.3856000000005
중구,필동3가,990.425,952.2049999999999,816.333,568.326,537.984,702.788,4568.061
종로구,인의동,764.546,746.1239999999999,718.7688,670.3832000000001,656.5956,724.4548,4280.8724
종로구,체부동,164.98999999999998,157.97666666666666,949.6246666666667,1672.0713333333333,840.3726666666666,307.93266666666665,4092.968
중구,서소문동,713.7460000000001,708.2816,641.0744,572.2536,523.5476,599.0944000000001,3757.9975999999997
종로구,봉익동,619.0846666666667,608.31,620.628,603.9766666666667,576.0013333333334,634.8826666666666,3662.883333333333
종로구,통의동,156.17733333333334,146.40533333333332,737.1919999999999,1336.6153333333334,653.8493333333333,276.35133333333334,3306.5906666666674
송파구,방이동,409.656,431.5456,484.50160000000005,474.1196,607.7688,767.6052000000001,3175.1967999999997
중구,순화동,446.402,453.84,521.6636,517.7976,555.9524,442.52639999999997,2938.182
종로구,효제동,666.2639999999999,603.0876000000001,436.1492,321.4284,331.93480000000005,449.87559999999996,2808.7396
