원본컬럼,한글컬럼
source_file,원본파일명
source_ym,파일기준년월
TRDAR_NO,상권번호
TRDAR_NM,상권명
SIGNGU_CD,시군구코드
SIGNGU_NM,시군구명
GRFA_SM,총면적
RSDNTL_BULD_GRFA,주거건물면적
RSDNTL_BULD_EXCL_GRFA,비주거건물제외면적
MOAV_STPRD_FRNR_LVLH_POPNO,월평균_외국인_상주생활인구수
ZERO_TIZN_STPRD_FRNR_LVLH_POPNO,00시_외국인_상주생활인구수
ONE_TIZN_STPRD_FRNR_LVLH_POPNO,01시_외국인_상주생활인구수
TWO_TIZN_STPRD_FRNR_LVLH_POPNO,02시_외국인_상주생활인구수
THREE_TIZN_STPRD_FRNR_LVLH_POPNO,03시_외국인_상주생활인구수
FOUR_TIZN_STPRD_FRNR_LVLH_POPNO,04시_외국인_상주생활인구수
FIVE_TIZN_STPRD_FRNR_LVLH_POPNO,05시_외국인_상주생활인구수
SIX_TIZN_STPRD_FRNR_LVLH_POPNO,06시_외국인_상주생활인구수
SEVEN_TIZN_STPRD_FRNR_LVLH_POPNO,07시_외국인_상주생활인구수
EIGHT_TIZN_STPRD_FRNR_LVLH_POPNO,08시_외국인_상주생활인구수
NINE_TIZN_STPRD_FRNR_LVLH_POPNO,09시_외국인_상주생활인구수
TEN_TIZN_STPRD_FRNR_LVLH_POPNO,10시_외국인_상주생활인구수
ELEVEN_TIZN_STPRD_FRNR_LVLH_POPNO,11시_외국인_상주생활인구수
TLV_TIZN_STPRD_FRNR_LVLH_POPNO,12시_외국인_상주생활인구수
THIRTEEN_TIZN_STPRD_FRNR_LVLH_POPNO,13시_외국인_상주생활인구수
FOURTEEN_TIZN_STPRD_FRNR_LVLH_POPNO,14시_외국인_상주생활인구수
FFTN_TIZN_STPRD_FRNR_LVLH_POPNO,15시_외국인_상주생활인구수
SXTN_TIZN_STPRD_FRNR_LVLH_POPNO,16시_외국인_상주생활인구수
SVNTN_TIZN_STPRD_FRNR_LVLH_POPNO,17시_외국인_상주생활인구수
EGHTN_TIZN_STPRD_FRNR_LVLH_POPNO,18시_외국인_상주생활인구수
NNTN_TIZN_STPRD_FRNR_LVLH_POPNO,19시_외국인_상주생활인구수
TWNT_TIZN_STPRD_FRNR_LVLH_POPNO,20시_외국인_상주생활인구수
TNONE_TIZN_STPRD_FRNR_LVLH_POPNO,21시_외국인_상주생활인구수
TNTT_TIZN_STPRD_FRNR_LVLH_POPNO,22시_외국인_상주생활인구수
TNTTH_TIZN_STPRD_FRNR_LVLH_POPNO,23시_외국인_상주생활인구수
MOAV_STPRD_FRNR_VST_POPNO,월평균_외국인_방문생활인구수
ZERO_TIZN_STPRD_FRNR_VST_POPNO,00시_외국인_방문생활인구수
ONE_TIZN_STPRD_FRNR_VST_POPNO,01시_외국인_방문생활인구수
TWO_TIZN_STPRD_FRNR_VST_POPNO,02시_외국인_방문생활인구수
THREE_TIZN_STPRD_FRNR_VST_POPNO,03시_외국인_방문생활인구수
FOUR_TIZN_STPRD_FRNR_VST_POPNO,04시_외국인_방문생활인구수
FIVE_TIZN_STPRD_FRNR_VST_POPNO,05시_외국인_방문생활인구수
SIX_TIZN_STPRD_FRNR_VST_POPNO,06시_외국인_방문생활인구수
SEVEN_TIZN_STPRD_FRNR_VST_POPNO,07시_외국인_방문생활인구수
EIGHT_TIZN_STPRD_FRNR_VST_POPNO,08시_외국인_방문생활인구수
NINE_TIZN_STPRD_FRNR_VST_POPNO,09시_외국인_방문생활인구수
TEN_TIZN_STPRD_FRNR_VST_POPNO,10시_외국인_방문생활인구수
ELEVEN_TIZN_STPRD_FRNR_VST_POPNO,11시_외국인_방문생활인구수
TLV_TIZN_STPRD_FRNR_VST_POPNO,12시_외국인_방문생활인구수
THIRTEEN_TIZN_STPRD_FRNR_VST_POPNO,13시_외국인_방문생활인구수
FOURTEEN_TIZN_STPRD_FRNR_VST_POPNO,14시_외국인_방문생활인구수
FFTN_TIZN_STPRD_FRNR_VST_POPNO,15시_외국인_방문생활인구수
SXTN_TIZN_STPRD_FRNR_VST_POPNO,16시_외국인_방문생활인구수
SVNTN_TIZN_STPRD_FRNR_VST_POPNO,17시_외국인_방문생활인구수
EGHTN_TIZN_STPRD_FRNR_VST_POPNO,18시_외국인_방문생활인구수
NNTN_TIZN_STPRD_FRNR_VST_POPNO,19시_외국인_방문생활인구수
TWNT_TIZN_STPRD_FRNR_VST_POPNO,20시_외국인_방문생활인구수
TNONE_TIZN_STPRD_FRNR_VST_POPNO,21시_외국인_방문생활인구수
TNTT_TIZN_STPRD_FRNR_VST_POPNO,22시_외국인_방문생활인구수
TNTTH_TIZN_STPRD_FRNR_VST_POPNO,23시_외국인_방문생활인구수
TRDAR_CRDT_CONT,상권좌표내용
DATA_STRD_YM,데이터기준년월
TNT_TIZN_STPRD_FRNR_LVLH_POPNO,20시_외국인_상주생활인구수
TNT_TIZN_STPRD_FRNR_VST_POPNO,20시_외국인_방문생활인구수
TRDAR_CRDNT_CONT,상권좌표내용
TNTONE_TIZN_STPRD_FRNR_LVLH_POPNO,21시_외국인_상주생활인구수
TNTONE_TIZN_STPRD_FRNR_VST_POPNO,21시_외국인_방문생활인구수
