추정_구,추정_동,방문생활인구수_00_03시,방문생활인구수_04_07시,방문생활인구수_08_11시,방문생활인구수_12_15시,방문생활인구수_16_19시,방문생활인구수_20_23시,25개월평균_방문생활인구수
중구,명동2가,25600.3248,24237.6704,21351.8188,22913.0244,32440.758,36359.0824,162902.6788
중구,인현동1가,27733.328,27815.581,21767.962,11913.465,13050.9,20736.437,123017.67299999998
중구,충무로3가,11468.344666666668,11460.730666666666,8457.380666666668,4256.876666666667,4682.079333333333,7975.621333333333,48301.03333333334
중구,소공동,7078.294,7088.15,6558.758,7452.378666666666,8919.838666666667,6711.966,43809.38533333333
중구,남산동1가,8485.766,8477.78,6997.626,5372.949333333334,6359.330666666667,7961.27,43654.72200000001
중구,을지로6가,6310.982800000001,6409.228,5993.9864,6106.343199999999,7847.107199999999,8301.9412,40969.5888
중구,남창동,5973.5344,5423.3408,5720.268,7877.6172,8237.3276,5202.6672,38434.7552
중구,을지로3가,6463.617333333333,6462.876666666666,5076.137333333333,3258.3173333333334,4062.643333333333,5767.97,31091.562
중구,북창동,3723.64,3699.4716,3620.5116,4597.4264,5630.4588,3808.0056,25079.514
중구,산림동,5433.043,5512.279,4112.817,2439.189,2456.556,3765.906,23719.79
중구,광희동1가,4670.038666666666,4565.931333333333,3692.828,2117.862,2390.3126666666667,3803.834,21240.806666666667
중구,다동,2559.6204,2641.7452000000003,2131.056,1383.5096,1527.0156,2020.0548,12263.0016
중구,필동2가,1429.7406666666668,1447.0213333333334,1490.7733333333333,1116.224,1080.0800000000002,1261.956,7825.795333333333
중구,주교동,1679.3673333333331,1717.6346666666666,1359.4019999999998,926.374,898.0213333333334,1171.474,7752.273333333333
중구,흥인동,1366.5113333333331,855.814,858.138,752.14,936.0493333333332,1807.5606666666667,6576.213333333333
중구,필동3가,990.425,952.205,816.333,568.326,537.984,702.788,4568.061
중구,서소문동,713.7460000000001,708.2816,641.0744,572.2536,523.5476,599.0944000000001,3757.9976
중구,순화동,446.402,453.84,521.6636,517.7976,555.9524,442.5264,2938.182
중구,신당동,229.8676,217.178,206.004,211.9196,236.6716,280.8032,1382.4440000000002
중구,황학동,211.549,224.284,255.88,204.827,209.892,231.705,1338.137
중구,장충동2가,130.50799999999998,138.58266666666665,151.05666666666667,154.708,149.50533333333334,91.26466666666668,815.6253333333334
