승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,연면적,cluster_label,최종위험점수_new,PC1,PC2
1965,0.3564,13,15.4,0.693147181,0.1851,0.55,9,6.795705775,중위험군,22.91093724,-0.6417321428984779,0.9821384497789821
2003,0.3349,8,50.0,0.730454233,0.1308,0.08,10,7.636269603,저위험군,13.42087742,-2.18165400381372,0.3538427668693961
2019,0.3135,14,71.4,0.489548225,0.1079,0.12,17,10.00496052,저위험군,19.21733253,-3.4789316082167283,-0.8446879010797106
1985,0.1408,3,0.0,0.06529125,0.4289,0.08,4,5.910688237,저위험군,29.45535909,-0.5352278200011004,2.5319095911226053
1996,0.1894,3,0.0,1.864319853,0.1408,0.18,6,4.875197323,저위험군,25.62588219,-1.1775099339739294,1.3620078092905923
2019,0.1735,21,66.7,1.792636278,0.1079,0.85,19,8.694837159,중위험군,24.51774415,-2.5062229198987045,-2.134118203187473
2019,0.3165,7,57.1,0.058188158,0.1079,0.04,15,7.520234556,저위험군,15.4508699,-3.062049399197369,0.02362493033539035
1963,0.6236,5,0.0,0.035612072,0.4676,0.55,5,5.093750201,고위험군,43.75873477,0.41788327125988356,2.249540101384231
1967,0.3014,37,78.4,0.693147181,0.1823,0.7,5,5.023880521,중위험군,32.43761249,1.012591261894944,-0.7094895464515352
1965,0.0898,31,67.7,0.698324069,0.4641,1.0,6,5.676753802,고위험군,42.95410306,1.6407689812672421,-0.2805072008319701
1992,0.129,6,0.0,0.281001209,0.1465,0.18,6,5.030437921,저위험군,21.70793886,-1.2063578528847514,1.7133601566445995
2007,0.0858,11,81.8,0.376194726,0.1251,0.08,5,5.655991811,저위험군,15.92274082,-1.1338012026398605,0.13935928399101277
1959,0.4182,4,0.0,0.693147181,0.1937,0.12,5,6.077642243,저위험군,23.18591932,-0.5852689302459555,2.307995073430334
1994,0.2715,9,33.3,0.710521148,0.1436,0.85,5,5.030437921,중위험군,22.83469509,-0.4475522266508986,0.1569686430144428
2014,0.2539,14,42.9,0.693147181,0.115,0.55,5,6.192362489,중위험군,16.99936585,-1.3365810501462239,-0.25866336588655425
1989,0.0918,5,20.0,2.290649742,0.1509,0.25,5,5.568344504,저위험군,28.46176098,-0.7737918572317838,0.968839671558475
1975,0.4213,3,0.0,1.060871961,0.1708,0.08,7,4.65396035,저위험군,21.17200955,-0.8546362336688249,2.0168059655002346
1972,0.4089,15,33.3,1.279431216,0.1752,0.55,8,4.65396035,중위험군,24.04776165,-0.049317269693417945,0.5373886056871556
1967,0.3074,12,0.0,0.013072082,0.1823,0.08,7,4.521788577,저위험군,24.42589099,-0.5080539337408899,2.160837080819946
