소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,최근접_소화용수_거리등급,총층수,연면적,cluster_label,최종위험점수_new,PC1,PC2
0.3564,13,15.4,0.693147181,0.1851,0.55,0,9,6.795705775,중위험군,22.91093724,-0.8107372193805142,1.1347160165938484
0.3349,8,50.0,0.730454233,0.1308,0.08,0,10,7.636269603,저위험군,13.42087742,-1.243703224747214,1.7370892543179122
0.3135,14,71.4,0.489548225,0.1079,0.12,1,17,10.00496052,저위험군,19.21733253,-1.8978434173359175,2.915758854472221
0.1408,3,0.0,0.06529125,0.4289,0.08,2,4,5.910688237,저위험군,29.45535909,-2.260232484704687,-1.297748403881104
0.1894,3,0.0,1.864319853,0.1408,0.18,2,6,4.875197323,저위험군,25.62588219,-1.9776288441289132,-0.36569257121630155
0.1735,21,66.7,1.792636278,0.1079,0.85,0,19,8.694837159,중위험군,24.51774415,-0.026468185683008003,3.5565246262390757
0.3165,7,57.1,0.058188158,0.1079,0.04,1,15,7.520234556,저위험군,15.4508699,-2.0629762854990443,1.681468261361301
0.6236,5,0.0,0.035612072,0.4676,0.55,2,5,5.093750201,고위험군,43.75873477,-1.6636845103435913,-1.667460974885073
0.3014,37,78.4,0.693147181,0.1823,0.7,1,5,5.023880521,중위험군,32.43761249,1.0012934624337722,0.5439153871135023
0.0898,31,67.7,0.698324069,0.4641,1.0,1,6,5.676753802,고위험군,42.95410306,1.198383899516231,0.13690059433898438
0.129,6,0.0,0.281001209,0.1465,0.18,2,6,5.030437921,저위험군,21.70793886,-2.2620523505573393,-0.6219540050858597
0.0858,11,81.8,0.376194726,0.1251,0.08,1,5,5.655991811,저위험군,15.92274082,-0.6927699110901493,0.5338673083553441
0.4182,4,0.0,0.693147181,0.1937,0.12,1,5,6.077642243,저위험군,23.18591932,-1.9635590150420843,-0.13924136587191804
0.2715,9,33.3,0.710521148,0.1436,0.85,0,5,5.030437921,중위험군,22.83469509,0.040427150379355084,0.4603519701575814
0.2539,14,42.9,0.693147181,0.115,0.55,0,5,6.192362489,중위험군,16.99936585,-0.19629849939019142,0.9817986456795421
0.0918,5,20.0,2.290649742,0.1509,0.25,2,5,5.568344504,저위험군,28.46176098,-1.4883964480821839,0.026063889585206303
0.4213,3,0.0,1.060871961,0.1708,0.08,1,7,4.65396035,저위험군,21.17200955,-1.8576029734937134,-0.29185263251695065
0.4089,15,33.3,1.279431216,0.1752,0.55,0,8,4.65396035,중위험군,24.04776165,-0.024302937517653334,0.6422379174262307
0.3074,12,0.0,0.013072082,0.1823,0.08,2,7,4.521788577,저위험군,24.42589099,-2.2032391746554008,-0.8450540288481666
0.1408,6,100.0,1.812922168,0.4747,0.25,2,2,5.424950017,고위험군,43.18296159,0.003837192765371685,-0.6731782873140048
0.3379,5,0.0,0.057523844,0.1708,0.08,2,5,4.17438727,저위험군,23.67381825,-2.3056893963651723,-1.1870451196559262
0.3379,8,75.0,0.802631413,0.1436,1.0,2,6,5.703782475,중위험군,39.79377633,-0.3012060070296373,0.21832118840068437
0.2029,16,75.0,1.574628508,0.5361,0.08,0,7,6.318968114,고위험군,27.46548794,0.3581976337579132,0.5714341433046329
0.2984,48,66.7,1.133727308,0.1011,0.7,0,5,6.391917113,중위험군,21.14529386,1.4786574065095182,1.725201834969113
0.1457,3,66.7,1.650240536,0.1036,0.18,2,8,6.871091295,저위험군,25.0569827,-1.544574321448865,0.9119652975619931
0.3074,1,0.0,1.652923024,0.1794,0.55,2,7,5.214935758,저위험군,34.79954247,-1.7639777707862343,-0.3353809615316844
0.3811,3,0.0,0.36772478,0.4641,0.55,2,8,5.459585514,고위험군,41.77586694,-1.7914994459871507,-1.1403855073812623
0.129,2,50.0,2.585960082,0.2295,0.08,1,6,3.850147602,저위험군,28.05798271,-0.564869993450663,-0.02924964033851457
0.1632,66,71.2,2.277267285,0.1222,0.85,1,3,4.94875989,중위험군,32.19474877,2.482730457517657,1.2029026191310304
0.2365,2,50.0,0.702363836,0.1637,0.18,1,6,4.672828834,저위험군,21.08551939,-1.1219840813172244,-0.056561326217223165
0.192,7,85.7,0.36427755,0.1766,0.08,0,6,4.48863637,저위험군,14.86759141,-0.1652231499734555,0.4681454445349093
0.2954,17,94.1,1.496001983,0.4165,0.08,1,6,4.356708827,저위험군,31.17951278,0.36344709571523365,-0.16851367952490487
0.3349,2,0.0,1.284015512,0.1408,0.12,1,9,5.641907071,저위험군,19.26915095,-2.0421225624502193,0.34078654126468766
0.2744,21,90.5,0.8184643,0.1022,0.55,0,13,6.818924065,중위험군,18.8161887,0.2439926578233223,2.314086062376826
0.341,2,0.0,1.739491041,0.1465,0.08,0,11,5.755742214,저위험군,14.39556882,-1.6270717086580535,1.0342035926362867
0.3842,0,0.0,0.414123171,0.1766,0.08,0,12,8.711937268,저위험군,15.15989744,-2.467515465429923,1.6474701960377756
0.3318,10,100.0,1.699297463,0.1108,1.0,2,16,5.147494477,중위험군,40.15268664,-0.07807228133422343,1.3831125551693033
0.1658,76,63.2,1.244643844,0.1851,1.0,0,6,5.973809612,중위험군,31.16213307,2.8609200637780816,1.8964386088072447
0.4028,19,73.7,0.957370758,0.4183,0.25,1,6,5.198497031,저위험군,33.0946072,0.06971430482500664,-0.1510810716173393
0.2112,24,87.5,0.720687647,0.1851,0.12,0,6,5.666426688,저위험군,18.00246441,0.38935446589100725,1.1058162839031613
0.5007,0,0.0,2.597384633,0.1766,0.18,0,7,5.433722004,저위험군,21.85697839,-1.152959123937174,0.626008253899649
0.2685,27,55.6,0.303535128,0.1365,0.85,1,4,5.556828062,중위험군,28.64444955,0.35448181066406326,0.4161782160057053
0.3749,37,67.6,0.693147181,0.1079,1.0,1,9,4.369447852,중위험군,30.80334323,1.009394415875282,0.8087337861923862
0.3044,11,100.0,0.874609262,0.1065,0.25,2,11,8.004699511,저위험군,28.05377359,-1.2670011422166934,1.6060294466003737
0.2308,5,0.0,1.063272922,0.1079,0.18,1,20,9.873749734,저위험군,17.49537536,-3.0528319395014956,2.751440108100616
0.1266,6,0.0,0.148253004,0.1808,0.08,2,6,5.517452896,저위험군,22.90804819,-2.437947290851062,-0.5908602363311093
0.1735,21,71.4,0.940845537,0.1065,0.45,0,11,6.742880636,중위험군,16.14393547,0.031226772704594518,2.0374592348566902
0.2056,30,46.7,1.251289129,0.4553,0.85,0,4,4.430816799,고위험군,35.49600889,1.5383050225383823,-0.08908307472754753
0.1761,18,55.6,2.672021859,0.1279,0.7,1,8,6.948897222,중위험군,30.95267857,0.08510932518491507,1.660145777071112
0.1433,21,71.4,2.500969679,0.1179,0.7,1,10,5.902633333,중위험군,29.68497731,0.41808784453938963,1.6399189065956146
0.4058,5,0.0,0.559615788,0.1623,0.55,1,6,5.365976015,중위험군,25.97377645,-1.4595919688209507,-0.16389549241410378
0.1337,10,40.0,1.999777092,0.1608,1.0,1,4,5.955837369,중위험군,34.54718315,0.1444471948824452,0.6261563708777088
0.3379,11,63.6,1.028335445,0.1,1.0,2,12,7.194436851,중위험군,36.98701582,-0.8326723959514263,1.3344436806402238
0.2984,22,90.9,0.794064852,0.1079,0.7,2,11,6.251903883,중위험군,33.38826274,-0.28463279309280226,1.160176760207843
0.1947,25,64.0,2.574111725,0.1794,0.85,1,10,8.749890956,중위험군,38.31717841,0.2728978477013288,2.4024257967098896
0.1108,14,71.4,0.056485602,0.1794,0.85,0,9,8.099554282,중위험군,25.16109034,0.006909923366755858,1.9034255563554858
0.1867,5,0.0,2.628800829,0.138,0.18,2,8,5.857933154,저위험군,27.63239309,-1.9626360464864407,0.3193674349900813
0.3287,2,100.0,0.269476108,0.1108,0.25,2,15,7.600402335,저위험군,26.92374553,-1.8315206307908762,1.572610593513943
0.129,6,0.0,0.281001209,0.1465,0.18,2,6,5.030437921,저위험군,21.70793886,-2.2620523505573393,-0.6219540050858597
0.2744,14,0.0,0.441832752,0.1565,0.08,1,6,5.683579767,저위험군,17.48344907,-1.73101578212657,0.025544462539824165
0.2365,17,70.6,1.200842911,0.115,0.18,0,15,8.505929999,저위험군,14.95589031,-0.7885650327780936,2.8751288213406108
0.1658,54,72.2,2.313554124,0.1394,0.85,1,6,7.210818453,중위험군,34.38596742,1.6563287090070575,2.0086961064383693
0.4643,2,50.0,0.589606502,0.1136,0.08,1,23,9.775426882,저위험군,19.90447402,-2.8642122734952924,3.0455993328991298
0.2167,31,74.2,0.3467463,0.1293,0.18,1,17,9.207335863,저위험군,20.4974136,-1.0994500331041555,2.8428982770887408
0.1658,18,61.1,1.875842586,0.1122,0.85,0,12,7.380879036,중위험군,24.1597545,0.32748381715812996,2.4670439530205983
