Model,구분,변수,일반회귀(OLS),공간시차(SLM),공간오차(SEM),"저위험군 MGWR
평균계수(BW)","중위험군 GWR
평균계수(BW)","고위험군 MGWR
평균계수(BW)"
설명변수,,CONSTANT,32.723 ***,32.723 ***,32.723 ***,"28.810
BW=754","3.168
BW=345","40.366
BW=109"
설명변수,위험·접근성,구조노후도,5.852 ***,5.852 ***,5.852 ***,"5.162
BW=532","-0.102
BW=345","4.586
BW=915"
,,단속위험도,2.047 ***,2.047 ***,2.047 ***,"1.916
BW=790","0.352
BW=345","1.956
BW=867"
,,도로폭위험도,4.901 ***,4.901 ***,4.901 ***,"5.084
BW=648","-0.247
BW=345","2.765
BW=709"
,,최근접_소화용수_거리등급,4.652 ***,4.652 ***,4.652 ***,"2.644
BW=720","-0.449
BW=345","2.773
BW=1122"
,,소방위험도_점수,1.781 ***,1.781 ***,1.781 ***,"1.897
BW=604","-0.236
BW=345","2.054
BW=788"
설명변수,건축·시설,승인연도(오래될수록),1.227 ***,1.227 ***,1.227 ***,"0.000
BW=1157","0.014
BW=345","-0.000
BW=818"
,,연면적,0.654 ***,0.654 ***,0.654 ***,"1.211
BW=648","0.280
BW=345","1.058
BW=1098"
,,총층수,0.046 ***,0.046 ***,0.046 ***,"0.083
BW=149","0.494
BW=345","0.070
BW=1219"
설명변수,입지·밀집,집중도,1.458 ***,1.458 ***,1.458 ***,"1.696
BW=720","0.527
BW=345","1.354
BW=660"
,,주변건물수,0.277 ***,0.277 ***,0.277 ***,"0.607
BW=648","0.794
BW=345","0.612
BW=1406"
모형,,Rho,,-0.000 ***,,,,
,,Lambda,,,-0.236 ***,,,
,,R²,1.000,1.000,1.000,1.000,1.000,1.000
,,AIC/AICc,-154734.279,-135603.188,nan,-81369.610,-88297.490,-88622.200
,,Residual Moran's I,,,,0.0054,0.0051,0.0011
,,Moran p,,,,0.306,0.281,0.419
