Model,구분,변수,일반회귀(OLS),공간시차(SLM),공간오차(SEM)
설명변수,,CONSTANT,32.723 ***,32.723 ***,32.723 ***
설명변수,위험·접근성,구조노후도,5.852 ***,5.852 ***,5.852 ***
,,단속위험도,2.047 ***,2.047 ***,2.047 ***
,,도로폭위험도,4.901 ***,4.901 ***,4.901 ***
,,최근접_소화용수_거리등급,4.652 ***,4.652 ***,4.652 ***
,,소방위험도_점수,1.781 ***,1.781 ***,1.781 ***
설명변수,건축·시설,승인연도(오래될수록),1.227 ***,1.227 ***,1.227 ***
,,연면적,0.654 ***,0.654 ***,0.654 ***
,,총층수,0.046 ***,0.046 ***,0.046 ***
설명변수,입지·밀집,집중도,1.458 ***,1.458 ***,1.458 ***
,,주변건물수,0.277 ***,0.277 ***,0.277 ***
모형,,Rho,,,
,,Lambda,,,
,,R²,1.000,1.000,1.000
,,Log likelihood,77378.140,67813.594,nan
,,AIC,-154734.279,-135603.188,nan
,,SC,-154664.388,-135526.943,nan
