Cluster,Model,n,Fit_R2,Adj_Fit,AIC,잔차_Moran_I,Moran_p
저위험군,OLS,1326,1.0,1.0,-80149.67,0.1075,0.001
저위험군,SLM,1326,1.0,N/A,-45613.3,0.5582,0.001
저위험군,SEM,1326,1.0,N/A,,0.116,0.001
저위험군,GWR,1326,1.0,1.0,-80332.22,0.0149,0.073
저위험군,MGWR,1326,1.0,1.0,-81369.61,0.0054,0.286
중위험군,OLS,1465,1.0,1.0,-87759.0,0.2735,0.001
중위험군,SLM,1465,1.0,N/A,-45987.23,0.5545,0.001
중위험군,SEM,1465,1.0,N/A,,0.1397,0.001
중위험군,GWR,1465,1.0,1.0,-88297.49,0.0051,0.299
중위험군,MGWR,1465,1.0,1.0,-89877.5,0.0269,0.008
고위험군,OLS,1455,1.0,1.0,-86977.94,0.0569,0.001
고위험군,SLM,1455,1.0,N/A,-47160.7,0.6033,0.001
고위험군,SEM,1455,1.0,N/A,,0.0988,0.001
고위험군,GWR,1455,1.0,1.0,-86590.44,0.0057,0.278
고위험군,MGWR,1455,1.0,1.0,-88622.2,0.0011,0.419
