Model,구분,변수,일반회귀(OLS),공간시차(SLM),공간오차(SEM),"고위험군 MGWR
평균계수(BW)"
설명변수,,CONSTANT,41.896 ***,41.896 ***,41.896 ***,"40.366
BW=109"
설명변수,위험·접근성,구조노후도,4.405 ***,4.405 ***,4.405 ***,"4.586
BW=915"
,,단속위험도,2.134 ***,2.134 ***,2.134 ***,"1.956
BW=867"
,,도로폭위험도,3.410 ***,3.410 ***,3.410 ***,"2.765
BW=709"
,,최근접_소화용수_거리등급,4.679 ***,4.679 ***,4.679 ***,"2.773
BW=1122"
,,소방위험도_점수,1.648 ***,1.648 ***,1.648 ***,"2.054
BW=788"
설명변수,건축·시설,승인연도(오래될수록),1.074 ***,1.074 ***,1.074 ***,"-0.000
BW=818"
,,연면적,0.319 ***,0.319 ***,0.319 ***,"1.058
BW=1098"
,,총층수,0.011 ***,0.011 ***,0.011 ***,"0.070
BW=1219"
설명변수,입지·밀집,집중도,1.369 ***,1.369 ***,1.369 ***,"1.354
BW=660"
,,주변건물수,0.304 ***,0.304 ***,0.304 ***,"0.612
BW=1406"
모형,,n,"1,455","1,455","1,455","1,455"
,,Rho,,0.000 ***,,
,,Lambda,,,0.239 ***,
,,R²,1.000,1.000,1.000,1.000
,,AIC/AICc,-53043.859,-44903.615,-inf,-88622.200
,,Residual Moran's I,,,,0.0011
,,Moran p,,,,0.419
