Model,구분,변수,일반회귀(OLS),공간시차(SLM),공간오차(SEM),"저위험군 MGWR
평균계수(BW)"
설명변수,,CONSTANT,24.651 ***,24.651 ***,24.651 ***,"28.810
BW=754"
설명변수,위험·접근성,구조노후도,4.157 ***,4.157 ***,4.157 ***,"5.162
BW=532"
,,단속위험도,2.103 ***,2.103 ***,2.103 ***,"1.916
BW=790"
,,도로폭위험도,1.841 ***,1.841 ***,1.841 ***,"5.084
BW=648"
,,최근접_소화용수_거리등급,4.634 ***,4.634 ***,4.634 ***,"2.644
BW=720"
,,소방위험도_점수,1.784 ***,1.784 ***,1.784 ***,"1.897
BW=604"
설명변수,건축·시설,승인연도(오래될수록),1.167 ***,1.167 ***,1.167 ***,"0.000
BW=1157"
,,연면적,0.743 ***,0.743 ***,0.743 ***,"1.211
BW=648"
,,총층수,0.061 ***,0.061 ***,0.061 ***,"0.083
BW=149"
설명변수,입지·밀집,집중도,1.488 ***,1.488 ***,1.488 ***,"1.696
BW=720"
,,주변건물수,0.168 ***,0.168 ***,0.168 ***,"0.607
BW=648"
모형,,n,"1,326","1,326","1,326","1,326"
,,Rho,,0.000 ***,,
,,Lambda,,,0.236 ***,
,,R²,1.000,1.000,1.000,1.000
,,AIC/AICc,-48292.907,-41077.174,-36074.367,-81369.610
,,Residual Moran's I,,,,0.0054
,,Moran p,,,,0.306
