Model,구분,변수,일반회귀(OLS),공간시차(SLM),공간오차(SEM),"중위험군 GWR
평균계수(BW)"
설명변수,,CONSTANT,30.920 ***,30.920 ***,30.920 ***,"3.168
BW=345"
설명변수,위험·접근성,구조노후도,0.818 ***,0.818 ***,0.818 ***,"-0.102
BW=345"
,,단속위험도,1.892 ***,1.892 ***,1.892 ***,"0.352
BW=345"
,,도로폭위험도,2.156 ***,2.156 ***,2.156 ***,"-0.247
BW=345"
,,최근접_소화용수_거리등급,4.516 ***,4.516 ***,4.516 ***,"-0.449
BW=345"
,,소방위험도_점수,1.896 ***,1.896 ***,1.896 ***,"-0.236
BW=345"
설명변수,건축·시설,승인연도(오래될수록),1.058 ***,1.058 ***,1.058 ***,"0.014
BW=345"
,,연면적,0.704 ***,0.704 ***,0.704 ***,"0.280
BW=345"
,,총층수,0.047 ***,0.047 ***,0.047 ***,"0.494
BW=345"
설명변수,입지·밀집,집중도,1.312 ***,1.312 ***,1.312 ***,"0.527
BW=345"
,,주변건물수,0.276 ***,0.276 ***,0.276 ***,"0.794
BW=345"
모형,,n,"1,465","1,465","1,465","1,465"
,,Rho,,-0.000 ***,,
,,Lambda,,,-0.522 ***,
,,R²,1.000,1.000,1.000,1.000
,,AIC/AICc,-53376.978,-47970.155,-inf,-88297.490
,,Residual Moran's I,,,,0.0051
,,Moran p,,,,0.281
