구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,x_5181,y_5181,최근접_소화용수_거리등급,업종,건물용도명,총층수,연면적,cluster,최종위험점수_new,cluster_label
종로구,종로2가,서울YMCA관광호텔,1965,0.3564,13,15.4,0.693147181,0.1851,0.55,37.56785597,126.9845017,198630.7961,452035.4128,0,관광숙박업,호텔,9,6.795705775,0,22.91093724,중위험군
종로구,관훈동,호텔 썬비,2003,0.3349,8,50,0.730454233,0.1308,0.08,37.57030354,126.9840039,198586.865,452307.0719,0,관광숙박업,호텔,10,7.636269603,1,13.42087742,저위험군
종로구,관훈동,나인트리 바이 파르나스 서울 인사동,2019,0.3135,14,71.4,0.489548225,0.1079,0.12,37.57180204,126.983008,198498.9183,452473.4034,1,관광숙박업,숙박시설,17,10.00496052,1,19.21733253,저위험군
종로구,인의동,이스트 아뜰리에,1985,0.1408,3,0,0.06529125,0.4289,0.08,37.57093161,126.9958843,199636.4111,452376.668,2,외국인관광도시민박업,숙박시설,4,5.910688237,1,29.45535909,저위험군
종로구,숭인동,U-STAY HOSTEL,1996,0.1894,3,0,1.864319853,0.1408,0.18,37.56976898,127.0154556,201365.3966,452247.734,2,관광숙박업,숙박시설,6,4.875197323,1,25.62588219,저위험군
종로구,낙원동,목시 서울 인사동 호텔,2019,0.1735,21,66.7,1.792636278,0.1079,0.85,37.56954746,126.9885558,198988.9835,452223.0971,0,관광숙박업,숙박시설,19,8.694837159,0,24.51774415,중위험군
종로구,이화동,글루호텔,2019,0.3165,7,57.1,0.058188158,0.1079,0.04,37.57304815,127.0031721,200280.2191,452611.5762,1,관광숙박업,숙박시설,15,7.520234556,1,15.4508699,저위험군
종로구,당주동,SOUNDS INN GWANGHWAMUN,1963,0.6236,5,0,0.035612072,0.4676,0.55,37.56859605,126.9747495,197769.2539,452117.7398,2,관광숙박업,"제1,2종근린생활시설",5,5.093750201,2,43.75873477,고위험군
종로구,종로4가,진가,1967,0.3014,37,78.4,0.693147181,0.1823,0.7,37.56787973,126.9987935,199893.4096,452037.9377,1,관광숙박업,"영업용, 관광숙박시설(호스텔)",5,5.023880521,0,32.43761249,중위험군
종로구,묘동,킴스텔코리아 종로점,1965,0.0898,31,67.7,0.698324069,0.4641,1,37.57078678,126.9906847,199177.0643,452360.6264,1,관광숙박업,"숙박시설, 근린생활시설",6,5.676753802,2,42.95410306,고위험군
