날짜,지역,외국인 방문자수
2020,강남구,482998.0
2020,강동구,61845.0
2020,강북구,33809.0
2020,강서구,245904.0
2020,관악구,120494.0
2020,광진구,96143.0
2020,구로구,210670.0
2020,금천구,107008.0
2020,노원구,43957.0
2020,도봉구,19815.0
2020,동대문구,121065.0
2020,동작구,83473.0
2020,마포구,449330.0
2020,서대문구,188899.0
2020,서초구,200677.0
2020,성동구,95557.0
2020,성북구,84516.0
2020,송파구,201192.0
2020,양천구,49450.0
2020,영등포구,257070.0
2020,용산구,251230.0
2020,은평구,42862.0
2020,종로구,357431.0
2020,중구,1072823.0
2020,중랑구,28879.0
2021,강남구,212279.0
2021,강동구,58981.0
2021,강북구,15471.0
2021,강서구,90324.0
2021,관악구,65685.0
2021,광진구,71647.0
2021,구로구,113194.0
2021,금천구,49555.0
2021,노원구,29200.0
2021,도봉구,12925.0
2021,동대문구,76248.0
2021,동작구,50715.0
2021,마포구,130636.0
2021,서대문구,87779.0
2021,서초구,105746.0
2021,성동구,79077.0
2021,성북구,54107.0
2021,송파구,105644.0
2021,양천구,45857.0
2021,영등포구,121540.0
2021,용산구,100584.0
2021,은평구,27702.0
2021,종로구,65700.0
2021,중구,122402.0
2021,중랑구,18541.0
2022,강남구,924907.0
2022,강동구,105129.0
2022,강북구,60861.0
2022,강서구,258461.0
2022,관악구,179382.0
2022,광진구,191064.0
2022,구로구,199197.0
2022,금천구,102270.0
2022,노원구,87194.0
2022,도봉구,40168.0
2022,동대문구,217809.0
2022,동작구,149729.0
2022,마포구,677993.0
2022,서대문구,294268.0
2022,서초구,390584.0
2022,성동구,221909.0
2022,성북구,180979.0
2022,송파구,363125.0
2022,양천구,86060.0
2022,영등포구,344686.0
2022,용산구,541770.0
2022,은평구,84440.0
2022,종로구,617328.0
2022,중구,1307903.0
2022,중랑구,61172.0
2023,강남구,6015197.0
2023,강동구,434930.0
2023,강북구,275671.0
2023,강서구,2908771.0
2023,관악구,732947.0
2023,광진구,1117851.0
2023,구로구,1370021.0
2023,금천구,661002.0
2023,노원구,333734.0
2023,도봉구,173098.0
2023,동대문구,1237843.0
2023,동작구,926312.0
2023,마포구,6643328.0
2023,서대문구,2298878.0
2023,서초구,2736359.0
2023,성동구,1896238.0
2023,성북구,833770.0
2023,송파구,2121448.0
2023,양천구,439379.0
2023,영등포구,3153014.0
2023,용산구,5265322.0
2023,은평구,484211.0
2023,종로구,7505431.0
2023,중구,1.5069525E7
2023,중랑구,303044.0
2024,강남구,7380326.0
2024,강동구,483815.0
2024,강북구,306073.0
2024,강서구,3474870.0
2024,관악구,834442.0
2024,광진구,1267969.0
2024,구로구,1417998.0
2024,금천구,704816.0
2024,노원구,368157.0
2024,도봉구,187131.0
2024,동대문구,1355392.0
2024,동작구,1021010.0
2024,마포구,8873303.0
2024,서대문구,3154765.0
2024,서초구,3357678.0
2024,성동구,2748540.0
2024,성북구,921151.0
2024,송파구,2652889.0
2024,양천구,474317.0
2024,영등포구,3844914.0
2024,용산구,6723408.0
2024,은평구,651615.0
2024,종로구,9816531.0
2024,중구,1.9720873E7
2024,중랑구,317742.0
2025,강남구,8760635.0
2025,강동구,608275.0
2025,강북구,390033.0
2025,강서구,4328093.0
2025,관악구,972761.0
2025,광진구,1512154.0
2025,구로구,1368960.0
2025,금천구,709369.0
2025,노원구,429750.0
2025,도봉구,221878.0
2025,동대문구,1535949.0
2025,동작구,1085149.0
2025,마포구,9856319.0
2025,서대문구,3343211.0
2025,서초구,4042697.0
2025,성동구,4122289.0
2025,성북구,1132696.0
2025,송파구,2978053.0
2025,양천구,529120.0
2025,영등포구,3970898.0
2025,용산구,8237939.0
2025,은평구,703090.0
2025,종로구,1.0896717E7
2025,중구,2.1837112E7
2025,중랑구,372087.0
