"X 좌표","Y 좌표","대지위치","시군구코드","법정동코드","대지구분코드","번","지","사업장명","관리건축물대장PK","도로명 / 대지위치","연면적 / 대지면적","건축면적","구조코드","기타구조","주용도코드","기타용도","지상층수","지하층수","사용승인일 / 허가일","승용승강기수","비상용승강기수","내진설계적용여부"
"204714.758457103","446852.078363788","서울특별시 강남구 청담동 53-7번지","11680","10400","0","0053","0007","호텔리베라서울","102419336","서울특별시 강남구 영동대로 737 (청담동) / 서울특별시 강남구 청담동 53-7번지","42108.55 / 5320.3","3720.35","21","철근콘크리트구조","15000","숙박시설,위락시설,근린생활시설,운동시설 업무시설","15","5","19871128 / 19830914","0","0","0"
"202699.226067088","444846.764226016","서울특별시 강남구 역삼동 604-7번지","11680","10100","0","0604","0007","삼정관광호텔","1024120603","서울특별시 강남구 봉은사로 150 (역삼동) / 서울특별시 강남구 역삼동 604-7번지","15535.14 / 5867.5","2900.63","21","철근콘크리트조","15000","숙박시설 위락시설 근린생활시설 문화시설","11","2","19820122 / 19971021","4","1","1"
"202673.67026853","445483.986504694","서울특별시 강남구 논현동 151-30번지","11680","10800","0","0151","0030","힐탑관광호텔","102419269","서울특별시 강남구 논현로 647 (논현동) / 서울특별시 강남구 논현동 151-30번지","6373.01 / 1942.4","970.06","21","철근콘크리트조 철골조","16000","숙박시설 위락시설 근린생활시설","5","2","19850223 / 19840118","3","0","0"
"202471.536204701","446478.944977018","서울특별시 강남구 신사동 587-1번지","11680","10700","0","0587","0001","선샤인 관광호텔","102417317","서울특별시 강남구 도산대로 205 (신사동) / 서울특별시 강남구 신사동 587-1번지","9070.19 / 2786.1","1610.33","21","철골철근콘크리트조","15000","숙박시설,위락시설,근린생활시설","8","1","19840501 / 19821206","3","0","0"
"203102.074986325","445751.652027981","서울특별시 강남구 논현동 248-7번지","11680","10800","0","0248","0007","그랜드머큐어 임피리얼팰리스서울","1024122873","서울특별시 강남구 언주로 640 (논현동) / 서울특별시 강남구 논현동 248-7번지","44814.5 / 6759","4684.25","21","일반철골구조, 철근콘크리트구조","15000","숙박시설,근린생활시설,위락시설,운동시설","19","4","19890826","6","6","0"
"202670.053376769","445410.505681503","서울특별시 강남구 논현동 152번지","11680","10800","0","0152","0000","엘리에나호텔","1024117972","서울특별시 강남구 논현로 645 (논현동) / 서울특별시 강남구 논현동 152번지","20322.59 / 3165.5","1898.99","42","철골철근콘크리트조","04000","근린생활시설,숙박시설,위락시설,문화및집회시설","15","4","19921217 / 19900512","4","1","1"
"202482.701418444","444787.812950605","서울특별시 강남구 역삼동 603번지","11680","10100","0","0603","0000","노보텔 앰배서더 강남","102419340","서울특별시 강남구 봉은사로 130 (역삼동) / 서울특별시 강남구 역삼동 603번지","41813.29 / 6228.9","2578.28","42","철골철근콘크리트조","15000","숙박시설 업무시설 운동시설 위락시설 근린생활시설","16","6","19930813 / 19871102","6","1","0"
"204964.378144648","446579.714676861","서울특별시 강남구 청담동 132-17번지","11680","10400","0","0132","0017","라비타 호텔","1024116449","서울특별시 강남구 영동대로 712 (청담동) / 서울특별시 강남구 청담동 132-17번지","2848.67 / 955.3","369.6","21","철근콘크리트조","15000","숙박시설,위락시설,근생","7","1","19910701 / 19891012","0","0","1"
"201658.416590861","446639.566102925","서울특별시 강남구 신사동 527-2번지","11680","10700","0","0527","0002","뉴삼화호텔","1024116300","서울특별시 강남구 도산대로1길 83 (신사동) / 서울특별시 강남구 신사동 527-2번지","4685.54 / 1544.4","751.19","21","철근콘크리트조","15000","숙박시설(관광호텔), 판매시설, 근린생활시설, 동물 및 식물관련시설","6","1","19830309 / 19810509","0","0","0"
"205130.591678902","445590.096837802","서울특별시 강남구 삼성동 159번지","11680","10500","0","0159","0000","웨스틴 서울 파르나스","10241100193467","서울특별시 강남구 테헤란로87길 46 (삼성동) / 서울특별시 강남구 삼성동 159번지","55868.53 / 148784","2066.89","31","철골철근콘크리트구조, 철골구조","15000","숙박시설, 판매시설, 업무시설, 근린생활시설","26","5","20020313 / 19961105","8","2","1"
