구,동,숙소명,위도,경도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,시설규모/연면적,nearest5_mean_damage_thousand_krw,nearest5_median_damage_thousand_krw,nearest5_min_distance_km,nearest5_mean_distance_km,nearest1_damage_thousand_krw,nearest1_distance_km,nearest1_fire_year,nearest2_damage_thousand_krw,nearest2_distance_km,nearest2_fire_year,nearest3_damage_thousand_krw,nearest3_distance_km,nearest3_fire_year,nearest4_damage_thousand_krw,nearest4_distance_km,nearest4_fire_year,nearest5_damage_thousand_krw,nearest5_distance_km,nearest5_fire_year
종로구,종로2가,서울YMCA관광호텔,37.56785597,126.98450169,13,15.4,0.6931471805599453,0.1851,0.55,9,893.0,305.8,107.0,0.05036735504922142,0.09753640004529464,239,0.05036735504922142,2023,107,0.07017281405596607,2019,1,0.11991328409262973,2019,1103,0.12141700427122845,2019,79,0.1258115427574275,2024
종로구,관훈동,호텔 썬비,37.57030354,126.9840039,8,50.0,0.7304542329727559,0.1308,0.08,10,2071.0,104.4,20.0,0.020969650151521857,0.05688227474911808,20,0.020969650151521857,2017,458,0.059263651887920855,2021,11,0.06485127007746774,2021,22,0.06966340081433997,2017,11,0.06966340081433997,2018
종로구,관훈동,나인트리 바이 파르나스 서울 인사동,37.57180204,126.98300804,14,71.4,0.4895482253187058,0.1079,0.12,17,22135.0,10899.8,43.0,0.046617041836705654,0.064063727370421,8591,0.046617041836705654,2017,45865,0.058799492476569654,2022,43,0.06832603557212784,2019,0,0.07328756915066979,2024,0,0.07328849781603204,2020
종로구,인의동,이스트 아뜰리에,37.57093161,126.99588429,3,0.0,0.0652912498144373,0.4289,0.08,4,367.96,155.4,44.0,0.0048686386069304016,0.07715257606122923,44,0.0048686386069304016,2022,3,0.06855546049708341,2017,427,0.0918287380280974,2017,35,0.09454064694197421,2023,268,0.12596939623206072,2018
종로구,숭인동,U-STAY HOSTEL,37.56976898,127.01545561,3,0.0,1.8643198527313989,0.1408,0.18,6,130.0,312.0,22.0,0.06460772404673379,0.07626119859108971,12,0.06460772404673379,2022,11,0.07024635311365968,2018,283,0.07118747568758912,2024,22,0.08437137440719207,2024,1232,0.09089306570027389,2019
종로구,낙원동,목시 서울 인사동 호텔,37.56954746,126.98855583,21,66.7,1.7926362777015894,0.1079,0.85,19,5971.0,178.4,99.0,0.014241726352850016,0.03714839380231561,22,0.014241726352850016,2019,470,0.03639547060607284,2020,99,0.04030538023829558,2018,0,0.04734203396983008,2024,301,0.04745735784452953,2021
종로구,이화동,글루호텔,37.57304815,127.00317208,7,57.1,0.058188157683169,0.1079,0.04,15,1844.0,6061.6,33.0,0.04368476409718864,0.08627747161714353,20,0.04368476409718864,2021,16049,0.0686009159027098,2023,13,0.09175266893416967,2018,33,0.09775964258830491,2018,14193,0.12958936656334463,2023
종로구,당주동,SOUNDS INN GWANGHWAMUN,37.56859605,126.97474946,5,0.0,0.035612071788877,0.4676,0.55,5,162.0,447.0,131.0,0.10434450499116107,0.11400780699752433,11,0.10434450499116107,2020,1717,0.10753666844206129,2020,363,0.11228000930260712,2018,13,0.12237553057871438,2022,131,0.12350232167307784,2020
종로구,종로4가,진가,37.56787973,126.99879348,37,78.4,0.6931471805599453,0.1823,0.7,5,151.0,27302.6,658.0,0.024737332519805498,0.03977010494952025,34,0.024737332519805498,2018,113843,0.03680916498938401,2022,658,0.04072743493452117,2024,11,0.04521933144505506,2022,21967,0.051357260858835505,2017
종로구,묘동,킴스텔코리아 종로점,37.57078678,126.99068465,31,67.7,0.698324068739479,0.4641,1.0,6,291.0,228.4,187.0,0.00160326218593334,0.009525719128226775,162,0.00160326218593334,2021,187,0.00160326218593334,2019,277,0.00160326218593334,2019,482,0.018275612826672557,2022,34,0.024543196256661293,2024
