k,weights,cv_r2_mean,cv_r2_std,cv_r2_scores
21,distance,0.09917018096902179,0.01593946347671811,0.127118;0.091620;0.094792;0.103093;0.079229
31,distance,0.09788765959922914,0.019227743888953236,0.127938;0.103524;0.097779;0.091949;0.068249
41,distance,0.09257782193041156,0.020524815713980658,0.127258;0.090721;0.083945;0.096809;0.064156
15,distance,0.09044094848827025,0.017531361077848792,0.124739;0.088638;0.080544;0.080526;0.077758
61,distance,0.0856109818696422,0.019708271293289566,0.115055;0.086165;0.084839;0.088987;0.053010
11,distance,0.07829701066497811,0.026573422998677928,0.117410;0.101251;0.068828;0.051283;0.052713
9,distance,0.07137047988982717,0.0341905696524125,0.124529;0.093524;0.063554;0.047354;0.027891
31,uniform,0.0634289244283595,0.02294034483411777,0.097735;0.077304;0.065088;0.041437;0.035581
21,uniform,0.0630292672155212,0.01739263791939092,0.096334;0.061683;0.058647;0.050256;0.048226
41,uniform,0.06051800729218866,0.021329052952519998,0.098709;0.065308;0.053112;0.049995;0.035466
61,uniform,0.05570618611396616,0.02035282301612907,0.087485;0.062393;0.058197;0.044491;0.025964
7,distance,0.05364284583131891,0.04774066909491445,0.126789;0.081671;0.054530;-0.002431;0.007655
15,uniform,0.053411276868606826,0.02261758390918493,0.093242;0.056948;0.039731;0.025703;0.051432
11,uniform,0.038124941457493414,0.03361119492044065,0.085017;0.068327;0.021523;-0.006823;0.022581
9,uniform,0.03263584012154912,0.03850888770163892,0.094674;0.059806;0.013693;-0.002839;-0.002155
7,uniform,0.015020486597910864,0.05450183566864416,0.100153;0.048728;0.004351;-0.054944;-0.023185
5,distance,0.013114094558496148,0.0592962029029197,0.086446;0.046891;0.044927;-0.070492;-0.042201
5,uniform,-0.022307813721803148,0.06427879129458053,0.062411;0.018295;-0.006366;-0.121235;-0.064643
3,distance,-0.0913728578983097,0.06797984298892558,-0.041517;0.003244;-0.095219;-0.191397;-0.131977
3,uniform,-0.12001879392139644,0.07461485347410877,-0.069145;-0.019495;-0.130611;-0.241010;-0.139832
