구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,업종,건물용도명,총층수,연면적,건물나이_2026,AHP_전체변수,EWM_전체변수,AHP순위,EWM순위,순위차_EWM-AHP
종로구,종로2가,서울YMCA관광호텔,1965,0.3564,13,15.4,0.6931471805599453,0.1851,0.55,37.56785597,126.98450169,관광숙박업,호텔,9,893.0,61,27.833083737369513,8.496568948563112,2771,3148,377
종로구,관훈동,호텔 썬비,2003,0.3349,8,50.0,0.7304542329727559,0.1308,0.08,37.57030354,126.9840039,관광숙박업,호텔,10,2071.0,23,18.93208777721288,6.99305332163454,3710,3522,-188
종로구,관훈동,나인트리 바이 파르나스 서울 인사동,2019,0.3135,14,71.4,0.4895482253187058,0.1079,0.12,37.57180204,126.98300804,관광숙박업,숙박시설,17,22135.0,7,19.796998769750516,9.015884705821687,3636,2988,-648
종로구,인의동,이스트 아뜰리에,1985,0.1408,3,0.0,0.0652912498144373,0.4289,0.08,37.57093161,126.99588429,외국인관광도시민박업,숙박시설,4,367.96,41,12.9491768410018,5.431265489348685,4076,3863,-213
종로구,숭인동,U-STAY HOSTEL,1996,0.1894,3,0.0,1.8643198527313989,0.1408,0.18,37.56976898,127.01545561,관광숙박업,숙박시설,6,130.0,30,12.706688314188582,5.077534669140027,4084,3922,-162
종로구,낙원동,목시 서울 인사동 호텔,2019,0.1735,21,66.7,1.7926362777015894,0.1079,0.85,37.56954746,126.98855583,관광숙박업,숙박시설,19,5971.0,7,28.975385583936706,12.526349191549713,2619,1797,-822
종로구,이화동,글루호텔,2019,0.3165,7,57.1,0.058188157683169,0.1079,0.04,37.57304815,127.00317208,관광숙박업,숙박시설,15,1844.0,7,16.340778466436838,6.085719958435849,3908,3719,-189
종로구,당주동,SOUNDS INN GWANGHWAMUN,1963,0.6236,5,0.0,0.035612071788877,0.4676,0.55,37.56859605,126.97474946,관광숙박업,"제1,2종근린생활시설",5,162.0,63,40.719854492569645,9.848530841977883,1035,2727,1692
종로구,종로4가,진가,1967,0.3014,37,78.4,0.6931471805599453,0.1823,0.7,37.56787973,126.99879348,관광숙박업,"영업용, 관광숙박시설(호스텔)",5,151.0,59,34.806485149372044,13.4013269247763,1826,1455,-371
종로구,묘동,킴스텔코리아 종로점,1965,0.0898,31,67.7,0.698324068739479,0.4641,1.0,37.57078678,126.99068465,관광숙박업,"숙박시설, 근린생활시설",6,291.0,61,36.45141567185565,15.807462501353545,1602,656,-946
종로구,창신동,호스텔 메가 동대문역,1992,0.129,6,0.0,0.2810012094609484,0.1465,0.18,37.56790086,127.00943028,관광숙박업,근린생활시설,6,152.0,34,9.043945612760542,3.3195423151674257,4204,4132,-72
종로구,봉익동,포레스트 스테이 종로,2007,0.0858,11,81.8,0.3761947258080512,0.1251,0.08,37.57018563,126.99144197,관광숙박업,"근린생활시설,숙박시설",5,285.0,19,11.607731439034518,7.006708766358032,4121,3519,-602
종로구,관철동,MOMENTO HOSTEL,1959,0.4182,4,0.0,0.6931471805599453,0.1937,0.12,37.56655742,126.98379997,관광숙박업,"근린생활시설,숙박시설",5,435.0,67,21.113125614501694,5.615906023397033,3531,3823,292
종로구,숭인동,더온재,1994,0.2715,9,33.3,0.7105211484959985,0.1436,0.85,37.57228397,127.02039051,관광숙박업,"근린생활시설, 숙박시설",5,152.0,32,29.20418421330458,8.57807111687127,2585,3129,544
중구,남창동,케이팝 서울타워 호스텔,2014,0.2539,14,42.9,0.6931471805599453,0.115,0.55,37.55403706,126.97637629,관광숙박업,숙박시설(호스텔),5,488.0,12,23.175166708872123,7.522302772394733,3329,3398,69
종로구,창신동,247 HOSTEL SEOUL,1989,0.0918,5,20.0,2.290649742444773,0.1509,0.25,37.56817447,127.01314811,관광숙박업,숙박시설,5,261.0,37,12.911121594009286,6.901558016235038,4077,3547,-530
종로구,관철동,찰나 호스텔,1975,0.4213,3,0.0,1.0608719606852626,0.1708,0.08,37.56664615,126.98332934,관광숙박업,숙박시설,7,104.0,51,19.947651240936143,5.406460222125159,3622,3873,251
종로구,종로2가,스테이울림,1972,0.4089,15,33.3,1.2794312155775294,0.1752,0.55,37.56718514,126.98358024,관광숙박업,숙박시설,8,104.0,54,31.57330950907967,10.10314314758526,2264,2629,365
종로구,종로5가,편안정 종로5가점,1967,0.3074,12,0.0,0.0130720815673527,0.1823,0.08,37.56810507,127.0045472,관광숙박업,숙박시설,7,91.0,59,15.589018798895507,4.655487041767931,3950,3988,38
종로구,창신동,동대문 스테이가든,1959,0.1408,6,100.0,1.8129221675840912,0.4747,0.25,37.56946846,127.01349641,관광숙박업,숙박시설,2,226.0,67,27.713857937696552,14.59960375412052,2779,1040,-1739
종로구,종로5가,고유리(Goyu;re),1975,0.3379,5,0.0,0.0575238441381866,0.1708,0.08,37.56730221,127.0037223,관광숙박업,숙박시설,5,64.0,51,15.767640728072099,3.888553036236205,3938,4069,131
종로구,충신동,온코리아 스테이,1994,0.3379,8,75.0,0.8026314134016336,0.1436,1.0,37.57265524,127.00336668,관광숙박업,숙박시설,6,299.0,32,37.60072853518552,11.713420027999083,1457,2126,669
종로구,낙원동,하프레스트 호스텔,2000,0.2029,16,75.0,1.5746285077682394,0.5361,0.08,37.56953983,126.98762245,관광숙박업,숙박시설,7,554.0,26,25.423887444791227,13.338889602054069,3073,1474,-1599
종로구,숭인동,엔조이스테이 호스텔,2024,0.2984,48,66.7,1.1337273076890122,0.1011,0.7,37.57029351,127.01912285,관광숙박업,숙박시설,5,596.0,2,31.590447329346542,11.912896610634954,2262,2043,-219
종로구,창신동,이온호텔,2022,0.1457,3,66.7,1.6502405363066972,0.1036,0.18,37.56975326,127.01196959,관광숙박업,숙박시설,8,963.0,4,14.476987605199342,7.466118779849968,4015,3414,-601
종로구,관철동,오아시스 트레블러스 종로,1969,0.3074,1,0.0,1.652923024373839,0.1794,0.55,37.56702341,126.98663866,관광숙박업,"점포, 노래연습장, 일반음식점",7,183.0,57,24.826037343274574,7.524510843285014,3155,3397,242
종로구,관철동,스테이 마루 종로,1965,0.3811,3,0.0,0.3677247801253173,0.4641,0.55,37.56669767,126.98479778,관광숙박업,숙박시설,8,234.0,61,31.856649263016873,9.44662108618788,2225,2861,636
종로구,창신동,동대문인순,1934,0.129,2,50.0,2.585960082443016,0.2295,0.08,37.56877711,127.01021919,관광숙박업,숙박시설,6,46.0,92,17.18990685429577,10.302717596499729,3841,2575,-1266
종로구,권농동,스테이 종로 온당,2009,0.1632,66,71.2,2.277267285009756,0.1222,0.85,37.57416521,126.99046732,관광숙박업,숙박시설,3,140.0,17,33.004720502967395,15.182625946126608,2083,842,-1241
종로구,종로6가,편안정,1980,0.2365,2,50.0,0.7023638356648694,0.1637,0.18,37.56925877,127.006942,관광숙박업,숙박시설,6,106.0,46,17.901462299559054,7.055043160513,3796,3504,-292
종로구,낙원동,소락방 주식회사,1971,0.192,7,85.7,0.3642775497015497,0.1766,0.08,37.57009871,126.98769431,관광숙박업,숙박시설,6,88.0,55,17.789017785126276,8.716562764658795,3800,3084,-716
종로구,연지동,스테이누아 종로,1992,0.2954,17,94.1,1.4960019827707285,0.4165,0.08,37.56957912,126.99966041,관광숙박업,숙박시설,6,77.0,34,28.27020780081008,13.514280260441868,2717,1414,-1303
