cluster,selected_gu,selected_dong,dong_facility_count_in_cluster,rank,facility,final_fire_risk_score,fire_risk_score,building_count,density,road_risk
0,마포구,동교동,67,1,더 퍼플 스테이 홍대,41.033604457224286,0.2452,19.0,89.5,1.0
0,마포구,동교동,67,2,준하우스1,38.46665383826005,0.4089,17.0,70.6,0.7
0,마포구,동교동,67,3,모노홈 스튜디오,37.1684507584142,0.251,20.0,85.0,1.0
0,마포구,동교동,67,4,한인빌리지,36.9791244392876,0.3196,28.0,96.4,1.0
0,마포구,동교동,67,5,동교 네스트,36.84380187321858,0.2715,20.0,95.0,0.35
0,마포구,동교동,67,6,엘라 게스트하우스,36.70711880691807,0.2394,19.0,89.5,1.0
0,마포구,동교동,67,7,Julie's house,36.55782564982111,0.4826,15.0,93.3,0.7
0,마포구,동교동,67,8,Da Young House,36.36145686592736,0.2394,21.0,90.5,1.0
0,마포구,동교동,67,9,미성 게스트하우스,35.790289664605744,0.4058,17.0,100.0,0.7
0,마포구,동교동,67,10,TOMI HOUSE,35.46508789606004,0.2423,24.0,87.5,1.0
0,강서구,화곡동,65,1,스테이 화곡,38.79593688134991,0.3687,31.0,93.5,1.0
0,강서구,화곡동,65,2,보성장,37.08845134994318,0.2167,20.0,85.0,0.45
0,강서구,화곡동,65,3,해담채스테이,35.214914298996135,0.2597,31.0,96.8,0.45
0,강서구,화곡동,65,4,MS호텔,34.0032351895376,0.3014,11.0,100.0,0.04
0,강서구,화곡동,65,5,HOTEL Voll One(호텔 볼 원),33.52437675738657,0.2984,13.0,100.0,0.04
0,강서구,화곡동,65,6,빅토리아여관,33.46816570828783,0.2252,17.0,88.2,0.45
0,강서구,화곡동,65,7,진리스테이,33.29192011751631,0.2223,16.0,87.5,0.45
0,강서구,화곡동,65,8,리버풀,32.84674291528439,0.3014,14.0,100.0,0.04
0,강서구,화곡동,65,9,호텔테마,32.317861027830155,0.3135,35.0,97.1,1.0
0,강서구,화곡동,65,10,Happy our sweet home,31.856889459404247,0.4552,33.0,93.9,0.85
1,용산구,이태원동,66,1,이태원모텔,50.51207525560911,0.1814,29.0,44.8,0.45
1,용산구,이태원동,66,2,Noel's Guest House,44.12703756701667,0.2308,8.0,0.0,0.45
1,용산구,이태원동,66,3,Bora Bora,43.840959003095776,0.2112,6.0,0.0,0.45
1,용산구,이태원동,66,4,이태원 마인스테이(Itaewon Minestay),41.250651633358544,0.2744,3.0,33.3,0.85
1,용산구,이태원동,66,5,Baraka Homestay,40.94826772031227,0.228,6.0,0.0,1.0
1,용산구,이태원동,66,6,현대,39.17268696300282,0.2539,3.0,0.0,0.85
1,용산구,이태원동,66,7,DON'S HOUSE,38.59861488562639,0.2337,3.0,66.7,0.08
1,용산구,이태원동,66,8,Amazon,36.71884840402917,0.2568,9.0,0.0,0.45
1,용산구,이태원동,66,9,구초이스,36.58267934608948,0.2894,6.0,66.7,0.08
1,용산구,이태원동,66,10,카메 게스트하우스,35.975995431627176,0.2597,21.0,42.9,0.04
1,성동구,성동,57,1,스테이 린 인 성수,56.26259693153054,0.5908,0.0,0.0,1.0
1,성동구,성동,57,2,복래여관,56.23845018550743,0.412,4.0,25.0,1.0
1,성동구,성동,57,3,동명여인숙,52.6452481144975,0.3165,0.0,0.0,1.0
1,성동구,성동,57,4,상상스테이,48.19555876771492,0.2954,18.0,22.2,1.0
1,성동구,성동,57,5,이안스테이,46.60521304333157,0.3014,13.0,15.4,1.0
1,성동구,성동,57,6,조이게스트하우스,45.07711864721644,0.4275,3.0,33.3,1.0
1,성동구,성동,57,7,명성,44.20631232812616,0.5067,0.0,0.0,1.0
1,성동구,성동,57,8,AURI STAY,44.04665674636228,0.5852,0.0,0.0,1.0
1,성동구,성동,57,9,위앤성수스테이,44.02273752207555,0.5509,5.0,20.0,0.85
1,성동구,성동,57,10,Green Dot (그린도트),43.330928424032216,0.5567,0.0,0.0,1.0
2,마포구,연남동,162,1,원 하우스,56.46578629696045,0.5795,38.0,89.5,1.0
2,마포구,연남동,162,2,Elly's Guest House,56.29900749252309,0.5767,35.0,100.0,1.0
2,마포구,연남동,162,3,"'Stay, C",55.49225755099568,0.6925,27.0,96.3,1.0
2,마포구,연남동,162,4,프라임스테이 홍대,55.46133469856208,0.5823,34.0,91.2,1.0
2,마포구,연남동,162,5,헬로인디아,55.121105917462,0.5567,27.0,96.3,1.0
2,마포구,연남동,162,6,CARRIE'S HOME,54.72795497212153,0.6729,44.0,97.7,1.0
2,마포구,연남동,162,7,밀리언스테이1,54.35030622945713,0.6046,42.0,92.9,0.85
2,마포구,연남동,162,8,헤이븐 연남,54.328216562902654,0.6778,45.0,95.6,1.0
2,마포구,연남동,162,9,솔로몬하우스,53.55794787240327,0.6448,34.0,100.0,1.0
2,마포구,연남동,162,10,모노하우스 5호점,53.35528433790486,0.6209,13.0,92.3,0.7
2,마포구,서교동,128,1,Crystal House,55.30065361313331,0.3441,25.0,96.0,1.0
2,마포구,서교동,128,2,STAY AN,53.176449640210585,0.3379,31.0,96.8,1.0
2,마포구,서교동,128,3,Homi house,53.10126160483196,0.3287,26.0,96.2,1.0
2,마포구,서교동,128,4,Fave stay #2,52.85790318456792,0.3379,25.0,96.0,1.0
2,마포구,서교동,128,5,프라이빗 하우스,52.15564274935601,0.2195,6.0,100.0,0.7
2,마포구,서교동,128,6,조하 하우스,51.75850335165635,0.3349,25.0,96.0,0.7
2,마포구,서교동,128,7,L3 게스트하우스,51.18756629407294,0.1867,25.0,96.0,1.0
2,마포구,서교동,128,8,코텔로,50.73501689422466,0.1894,26.0,96.2,1.0
2,마포구,서교동,128,9,니도나도(Nido Nado),50.42412309355827,0.2223,34.0,82.4,1.0
2,마포구,서교동,128,10,성산하우스 다날,48.86402730586917,0.3014,21.0,90.5,1.0
