구,T1,T2,T3,T4,T5,T6,비고
중구,32.5,74.2,104.1,124.4,126.4,67.5,동별_중구합계_기준_시간대별_스케일보정
마포구,32.5,30.61,31.68,32.01,31.2,27.3,동별_중구합계_기준_시간대별_스케일보정
영등포구,14.54,28.75,28.06,33.84,32.8,22.75,동별_중구합계_기준_시간대별_스케일보정
종로구,17.11,29.68,34.4,35.67,24.0,18.2,동별_중구합계_기준_시간대별_스케일보정
용산구,25.66,36.17,27.16,26.53,22.4,20.48,동별_중구합계_기준_시간대별_스케일보정
강서구,13.68,51.94,37.11,19.21,17.6,13.65,동별_중구합계_기준_시간대별_스케일보정
성동구,17.11,25.04,30.78,29.27,26.4,19.72,동별_중구합계_기준_시간대별_스케일보정
강남구,16.25,20.4,25.35,32.01,28.0,18.2,동별_중구합계_기준_시간대별_스케일보정
서초구,14.54,16.7,19.91,21.95,20.0,17.44,동별_중구합계_기준_시간대별_스케일보정
송파구,11.97,13.91,13.58,14.64,12.0,11.38,동별_중구합계_기준_시간대별_스케일보정
