iter	Passed	Remaining
0	2	663
1	3	592
2	5	565
3	7	544
4	9	533
5	10	524
6	12	518
7	14	513
8	16	524
9	17	521
10	19	517
11	21	514
12	23	509
13	24	506
14	26	502
15	28	500
16	30	505
17	32	507
18	34	504
19	35	500
20	37	498
21	39	496
22	40	493
23	42	490
24	44	493
25	46	492
26	48	490
27	50	487
28	51	485
29	53	483
30	55	481
31	57	479
32	59	482
33	61	481
34	63	481
35	65	481
36	67	480
37	69	479
38	71	477
39	72	474
40	76	482
41	79	486
42	82	490
43	84	489
44	85	486
45	88	487
46	90	484
47	91	481
48	93	479
49	95	476
50	97	473
51	98	471
52	100	470
53	103	469
54	104	467
55	106	465
56	108	462
57	110	460
58	112	457
59	113	455
60	115	453
61	117	451
62	119	449
63	121	447
64	123	445
65	124	442
66	126	439
67	128	437
68	130	435
69	131	433
70	134	434
71	137	435
72	139	435
73	141	432
74	143	430
75	145	428
76	147	426
77	150	427
78	152	425
79	153	423
80	155	421
81	157	418
82	159	416
83	161	414
84	164	415
85	166	414
86	168	412
87	170	410
88	172	408
89	173	405
90	175	403
91	178	402
92	180	402
93	182	401
94	184	398
95	186	396
96	188	394
97	190	392
98	192	390
99	194	389
100	196	387
101	198	385
102	200	382
103	201	380
104	203	378
105	205	376
106	208	375
107	210	373
108	211	371
109	213	369
110	215	366
111	217	364
112	218	362
113	220	360
114	222	358
115	224	356
116	226	354
117	228	352
118	230	350
119	232	348
120	233	345
121	235	343
122	238	342
123	240	341
124	242	339
125	244	337
126	246	336
127	248	334
128	251	333
129	253	332
130	256	330
131	258	328
132	260	326
133	262	325
134	264	323
135	266	321
136	270	322
137	275	322
138	277	321
139	279	319
140	281	317
141	283	315
142	285	313
143	287	311
144	289	309
145	291	307
146	293	304
147	294	302
148	296	300
149	299	299
150	301	297
151	303	295
152	305	293
153	307	291
154	309	289
155	310	286
156	312	284
157	314	283
158	316	280
159	318	278
160	320	276
161	322	274
162	324	272
163	325	270
164	328	268
165	330	266
166	332	264
167	333	262
168	335	260
169	337	258
170	339	256
171	341	253
172	343	252
173	345	250
174	348	248
175	350	246
176	352	244
177	354	242
178	356	241
179	358	239
180	360	237
181	362	235
182	364	233
183	366	231
184	368	228
185	370	226
186	372	225
187	374	222
188	376	220
189	378	218
190	379	216
191	381	214
192	383	212
193	385	210
194	387	208
195	389	206
196	390	204
197	392	202
198	394	200
199	396	198
200	397	195
201	399	193
202	402	192
203	406	191
204	408	189
205	410	187
206	412	185
207	414	183
208	416	181
209	418	179
210	420	177
211	422	175
212	424	173
213	426	171
214	429	169
215	431	167
216	434	166
217	436	164
218	438	162
219	440	160
220	442	158
221	444	156
222	446	154
223	448	152
224	450	150
225	452	148
226	453	145
227	455	143
228	457	141
229	459	139
230	461	137
231	463	135
232	465	133
233	468	132
234	470	130
235	472	128
236	473	125
237	475	123
238	477	121
239	479	119
240	481	117
241	483	115
242	485	113
243	486	111
244	488	109
245	490	107
246	492	105
247	494	103
248	496	101
249	498	99
250	499	97
251	501	95
252	503	93
253	505	91
254	507	89
255	509	87
256	510	85
257	512	83
258	514	81
259	516	79
260	518	77
261	520	75
262	522	73
263	525	71
264	526	69
265	528	67
266	530	65
267	532	63
268	533	61
269	538	59
270	540	57
271	542	55
272	544	53
273	546	51
274	547	49
275	549	47
276	551	45
277	553	43
278	555	41
279	557	39
280	559	37
281	560	35
282	562	33
283	564	31
284	566	29
285	568	27
286	570	25
287	572	23
288	574	21
289	575	19
290	577	17
291	580	15
292	582	13
293	584	11
294	586	9
295	587	7
296	589	5
297	591	3
298	593	1
299	595	0
