좌표인덱스,대상_X,대상_Y,건물_고유번호,주용도명,지상층수,지하층수,총층수,거리(m)
0.0,198630.79627087922,552035.4126469055,0000198575794517293900000000,,1.0,0.0,1,14.64
0.0,198630.79627087922,552035.4126469055,1999198535244517259700000000,업무시설,24.0,7.0,31,26.28
0.0,198630.79627087922,552035.4126469055,0000198560274517400400000000,,1.0,0.0,1,9.86
0.0,198630.79627087922,552035.4126469055,1935198571394517406700000000,제2종근린생활시설,1.0,0.0,1,14.6
0.0,198630.79627087922,552035.4126469055,0000198571234517526900000000,,1.0,0.0,1,24.61
0.0,198630.79627087922,552035.4126469055,0000198559854517577300000000,,1.0,0.0,1,27.54
0.0,198630.79627087922,552035.4126469055,0000198564684517669300000000,,1.0,0.0,1,36.87
0.0,198630.79627087922,552035.4126469055,0000198583644517629700000000,,1.0,0.0,1,39.71
0.0,198630.79627087922,552035.4126469055,0000198574974517653900000000,,1.0,0.0,1,37.77
0.0,198630.79627087922,552035.4126469055,0000198569324517713500000000,,1.0,0.0,1,41.92
0.0,198630.79627087922,552035.4126469055,1966198550514517737900000000,,1.0,0.0,1,44.85
0.0,198630.79627087922,552035.4126469055,0000198562904517744500000000,,1.0,0.0,1,44.26
0.0,198630.79627087922,552035.4126469055,1979198550354516890300000000,제1종근린생활시설,3.0,1.0,4,42.59
1.0,198586.8652386699,552307.0714757699,1972198544444519627700000000,제1종근린생활시설,6.0,2.0,8,47.64
1.0,198586.8652386699,552307.0714757699,1959198526884519629000000000,제2종근린생활시설,5.0,1.0,6,40.16
1.0,198586.8652386699,552307.0714757699,0000198546744519770800000000,,1.0,0.0,1,38.54
1.0,198586.8652386699,552307.0714757699,0000198502014519772000000000,,1.0,0.0,1,29.01
1.0,198586.8652386699,552307.0714757699,0000198504604520075300000000,,1.0,0.0,1,13.85
1.0,198586.8652386699,552307.0714757699,0000198541354520180600000000,제1종근린생활시설,3.0,0.0,3,29.03
1.0,198586.8652386699,552307.0714757699,0000198536364520322700000000,,1.0,0.0,1,35.9
1.0,198586.8652386699,552307.0714757699,0000198551054520325600000000,제1종근린생활시설,1.0,0.0,1,45.65
2.0,198498.91863291207,552473.4037499999,1970198456294521378400000000,교육연구시설,9.0,1.0,10,40.63
2.0,198498.91863291207,552473.4037499999,0000198471114521555600000000,제1종근린생활시설,1.0,1.0,2,43.68
2.0,198498.91863291207,552473.4037499999,0000198401294521701100000000,제1종근린생활시설,1.0,0.0,1,28.07
2.0,198498.91863291207,552473.4037499999,0000198410604521701500000000,제1종근린생활시설,2.0,0.0,2,18.81
2.0,198498.91863291207,552473.4037499999,0000198392064521726300000000,,1.0,0.0,1,37.5
2.0,198498.91863291207,552473.4037499999,1967198403164521819900000000,제2종근린생활시설,5.0,0.0,5,29.55
2.0,198498.91863291207,552473.4037499999,0000198390504521824500000000,제2종근린생활시설,3.0,0.0,3,41.33
2.0,198498.91863291207,552473.4037499999,1964198455994521562000000000,제1종근린생활시설,2.0,0.0,2,29.27
2.0,198498.91863291207,552473.4037499999,1981198475494521827200000000,업무시설,12.0,2.0,14,48.4
2.0,198498.91863291207,552473.4037499999,0000198451694522104700000000,제1종근린생활시설,2.0,0.0,2,47.81
2.0,198498.91863291207,552473.4037499999,0000198396824521589200000000,제2종근린생활시설,1.0,0.0,1,33.79
2.0,198498.91863291207,552473.4037499999,1966198409334521590000000000,제1종근린생활시설,4.0,0.0,4,22.0
2.0,198498.91863291207,552473.4037499999,0000198403764521594500000000,,1.0,0.0,1,27.01
2.0,198498.91863291207,552473.4037499999,0000198386494521601100000000,제1종근린생활시설,1.0,0.0,1,43.57
3.0,199636.41086315393,552376.6679740263,0000199591894520807000000000,,1.0,0.0,1,26.74
3.0,199636.41086315393,552376.6679740263,1991199567134520869100000000,자동차관련시설,1.0,5.0,6,15.44
3.0,199636.41086315393,552376.6679740263,0000199578614521121500000000,,1.0,0.0,1,42.36
4.0,201365.39626367114,552247.7338981959,1968201287504519827300000000,,1.0,0.0,1,41.08
4.0,201365.39626367114,552247.7338981959,1969201303504519842500000000,숙박시설,8.0,1.0,9,42.45
4.0,201365.39626367114,552247.7338981959,1968201271374519822200000000,,1.0,0.0,1,46.63
5.0,198988.9836462216,552223.0972210659,1983198940364518765100000000,제2종근린생활시설,4.0,1.0,5,46.41
