기준일,구,법정동코드,법정동명,전체건물수,사용승인일유효건수,10년미만건물수,10년이상건물수,30년이상건물수,50년이상건물수
2026-04-15,강남구,1168010300,개포동,2,2,1,1,0,0
2026-04-15,강남구,1168010800,논현동,74,74,7,67,32,0
2026-04-15,강남구,1168010600,대치동,25,25,2,23,3,0
2026-04-15,강남구,1168011800,도곡동,3,3,0,3,2,0
2026-04-15,강남구,1168010500,삼성동,50,50,12,38,14,0
2026-04-15,강남구,1168010700,신사동,36,36,4,32,20,2
2026-04-15,강남구,1168010100,역삼동,133,133,27,106,39,1
2026-04-15,강남구,1168011400,일원동,8,8,0,8,8,0
2026-04-15,강남구,1168010400,청담동,18,18,3,15,9,0
2026-04-15,강서구,1150010400,가양동,3,3,0,3,2,0
2026-04-15,강서구,1150011000,개화동,4,4,0,4,3,0
2026-04-15,강서구,1150010800,공항동,34,34,6,28,15,3
2026-04-15,강서구,1150010600,내발산동,10,10,1,9,6,0
2026-04-15,강서구,1150010200,등촌동,20,20,7,13,6,1
2026-04-15,강서구,1150010500,마곡동,8,8,5,3,0,0
2026-04-15,강서구,1150010900,방화동,25,25,4,21,12,4
2026-04-15,강서구,1150010100,염창동,9,9,3,6,2,0
2026-04-15,강서구,1150010700,외발산동,5,5,0,5,0,0
2026-04-15,강서구,1150010300,화곡동,126,126,14,112,50,5
2026-04-15,마포구,1144010200,공덕동,26,26,0,26,13,5
2026-04-15,마포구,1144011300,구수동,1,1,1,0,0,0
2026-04-15,마포구,1144011000,노고산동,69,69,1,68,50,7
2026-04-15,마포구,1144011800,당인동,13,13,0,13,12,1
2026-04-15,마포구,1144010800,대흥동,21,21,2,19,13,5
2026-04-15,마포구,1144010400,도화동,46,46,3,43,28,3
2026-04-15,마포구,1144012100,동교동,136,136,14,122,84,9
2026-04-15,마포구,1144010700,마포동,2,2,1,1,0,0
2026-04-15,마포구,1144012300,망원동,84,83,6,77,52,5
2026-04-15,마포구,1144011500,상수동,29,29,3,26,19,2
2026-04-15,마포구,1144012700,상암동,33,33,1,32,6,2
2026-04-15,마포구,1144012000,서교동,219,219,11,208,127,19
2026-04-15,마포구,1144012500,성산동,72,72,14,58,37,10
2026-04-15,마포구,1144010300,신공덕동,6,6,1,5,4,0
2026-04-15,마포구,1144011100,신수동,14,14,3,11,6,1
2026-04-15,마포구,1144010100,아현동,6,6,0,6,5,3
2026-04-15,마포구,1144012400,연남동,232,232,21,211,138,43
2026-04-15,마포구,1144010900,염리동,22,22,1,21,16,7
2026-04-15,마포구,1144010500,용강동,4,4,1,3,2,0
2026-04-15,마포구,1144012600,중동,4,4,0,4,4,0
2026-04-15,마포구,1144011400,창전동,37,37,3,34,24,3
2026-04-15,마포구,1144012200,합정동,81,81,6,75,48,7
2026-04-15,서초구,1165010700,반포동,16,16,0,16,7,0
2026-04-15,서초구,1165010100,방배동,22,22,3,19,13,1
2026-04-15,서초구,1165010800,서초동,32,32,8,24,6,0
2026-04-15,서초구,1165011100,신원동,1,1,1,0,0,0
2026-04-15,서초구,1165010200,양재동,9,9,0,9,6,0
2026-04-15,서초구,1165010300,우면동,2,2,2,0,0,0
2026-04-15,서초구,1165010600,잠원동,7,6,0,6,4,0
2026-04-15,성동구,1120010900,금호동1가,2,2,0,2,2,0
2026-04-15,성동구,1120011000,금호동2가,3,3,0,3,3,1
2026-04-15,성동구,1120011100,금호동3가,7,7,0,7,7,6
2026-04-15,성동구,1120011200,금호동4가,1,1,0,1,1,0
2026-04-15,성동구,1120010400,도선동,30,30,1,29,20,2
2026-04-15,성동구,1120010500,마장동,6,6,0,6,4,3
2026-04-15,성동구,1120010600,사근동,2,2,0,2,2,1
2026-04-15,성동구,1120011400,성수동1가,48,48,5,43,36,4
2026-04-15,성동구,1120011500,성수동2가,43,43,1,42,33,8
2026-04-15,성동구,1120011800,송정동,11,11,2,9,9,5
2026-04-15,성동구,1120011300,옥수동,3,3,0,3,2,0
2026-04-15,성동구,1120012200,용답동,9,9,0,9,7,3
2026-04-15,성동구,1120010800,응봉동,3,3,0,3,3,0
2026-04-15,성동구,1120010200,하왕십리동,19,19,1,18,13,4
2026-04-15,성동구,1120010700,행당동,20,20,0,20,16,2
2026-04-15,성동구,1120010300,홍익동,4,4,0,4,4,2
2026-04-15,송파구,1171010700,가락동,8,8,1,7,5,0
2026-04-15,송파구,1171011300,거여동,5,5,1,4,4,1
2026-04-15,송파구,1171011400,마천동,2,2,0,2,2,2
2026-04-15,송파구,1171010800,문정동,9,9,4,5,5,0
2026-04-15,송파구,1171011100,방이동,54,54,5,49,19,0
2026-04-15,송파구,1171010600,삼전동,23,23,1,22,8,0
2026-04-15,송파구,1171010500,석촌동,43,43,1,42,20,0
2026-04-15,송파구,1171010400,송파동,31,31,3,28,10,0
2026-04-15,송파구,1171010200,신천동,4,4,3,1,0,0
2026-04-15,송파구,1171011200,오금동,5,5,2,3,2,0
2026-04-15,송파구,1171010100,잠실동,49,49,3,46,23,0
2026-04-15,송파구,1171010300,풍납동,8,8,0,8,3,0
2026-04-15,영등포구,1156011700,당산동,1,1,0,1,0,0
2026-04-15,영등포구,1156011100,당산동1가,26,26,8,18,14,9
2026-04-15,영등포구,1156011200,당산동2가,6,6,2,4,4,1
2026-04-15,영등포구,1156011300,당산동3가,8,8,1,7,6,2
2026-04-15,영등포구,1156011400,당산동4가,2,2,0,2,1,0
2026-04-15,영등포구,1156011500,당산동5가,4,4,0,4,2,0
2026-04-15,영등포구,1156011600,당산동6가,6,6,0,6,6,2
2026-04-15,영등포구,1156013300,대림동,20,20,2,18,16,12
2026-04-15,영등포구,1156011800,도림동,8,8,1,7,5,0
2026-04-15,영등포구,1156012000,문래동2가,1,1,0,1,0,0
2026-04-15,영등포구,1156012100,문래동3가,1,1,0,1,0,0
2026-04-15,영등포구,1156012200,문래동4가,1,1,0,1,1,0
2026-04-15,영등포구,1156013200,신길동,63,63,7,56,49,36
2026-04-15,영등포구,1156012500,양평동1가,9,9,4,5,4,2
2026-04-15,영등포구,1156012600,양평동2가,3,3,0,3,1,0
2026-04-15,영등포구,1156012700,양평동3가,6,6,4,2,0,0
2026-04-15,영등포구,1156012800,양평동4가,11,11,1,10,8,4
2026-04-15,영등포구,1156012900,양평동5가,4,4,3,1,1,0
2026-04-15,영등포구,1156011000,여의도동,11,11,1,10,2,1
2026-04-15,영등포구,1156010100,영등포동,6,6,0,6,6,3
2026-04-15,영등포구,1156010200,영등포동1가,7,7,4,3,0,0
2026-04-15,영등포구,1156010300,영등포동2가,8,8,4,4,4,3
2026-04-15,영등포구,1156010400,영등포동3가,48,48,6,42,19,9
2026-04-15,영등포구,1156010500,영등포동4가,8,8,1,7,5,2
2026-04-15,영등포구,1156010600,영등포동5가,8,8,0,8,7,6
2026-04-15,영등포구,1156010700,영등포동6가,9,9,0,9,9,3
2026-04-15,영등포구,1156010800,영등포동7가,1,1,0,1,1,1
2026-04-15,영등포구,1156010900,영등포동8가,1,1,0,1,0,0
2026-04-15,용산구,1117010400,갈월동,21,21,2,19,17,11
2026-04-15,용산구,1117010500,남영동,9,9,0,9,9,8
2026-04-15,용산구,1117013200,동빙고동,5,5,0,5,4,2
2026-04-15,용산구,1117010700,동자동,30,30,0,30,24,20
2026-04-15,용산구,1117012200,문배동,2,2,0,2,0,0
2026-04-15,용산구,1117013600,보광동,15,15,0,15,11,6
2026-04-15,용산구,1117011500,산천동,1,1,0,1,1,0
2026-04-15,용산구,1117010800,서계동,76,76,4,72,49,18
2026-04-15,용산구,1117013300,서빙고동,1,1,0,1,1,0
2026-04-15,용산구,1117011400,신창동,1,1,0,1,1,0
2026-04-15,용산구,1117012100,용문동,5,5,1,4,1,1
2026-04-15,용산구,1117010200,용산동2가,33,33,1,32,19,1
2026-04-15,용산구,1117012600,용산동3가,2,2,0,2,2,2
2026-04-15,용산구,1117011200,원효로1가,4,4,0,4,4,3
2026-04-15,용산구,1117011300,원효로2가,7,7,0,7,5,3
2026-04-15,용산구,1117011700,원효로3가,4,4,0,4,4,3
2026-04-15,용산구,1117011800,원효로4가,1,1,0,1,0,0
