변수,VIF,판정,사용행수
최근접_노후건물거리_30년이상_m_100m,inf,무한대/완전공선성,2357
최근접_노후건물거리_30년이상_m_50m,inf,무한대/완전공선성,2357
최근접_초노후건물거리_50년이상_m_100m,inf,무한대/완전공선성,2357
최근접_초노후건물거리_50년이상_m_50m,inf,무한대/완전공선성,2357
주변_평균사용승인연도_100m,52066.141785515996,높음(>10),2357
주변_평균건물연한_100m,51994.057814399406,높음(>10),2357
주변_평균사용승인연도_50m,19347.445999609285,높음(>10),2357
주변_평균건물연한_50m,19342.348641622786,높음(>10),2357
주변_사용승인일유효건물수_100m,115.29044007140563,높음(>10),2357
주변_노후건물수_30년이상_100m,86.92005796075999,높음(>10),2357
주변_사용승인일유효건물수_50m,74.82475425517711,높음(>10),2357
주변_노후건물수_30년이상_50m,61.99140899218199,높음(>10),2357
주변건물수_100m,54.62390307038338,높음(>10),2357
주변건물수_50m,35.714750005349536,높음(>10),2357
주변_초노후건물비율_50년이상_100m,29.153052353038653,높음(>10),2357
주변_초노후건물수_50년이상_100m,20.089360531315585,높음(>10),2357
주변_초노후건물비율_50년이상_50m,19.903048515321675,높음(>10),2357
주변_노후건물비율_30년이상_100m,16.65468561663558,높음(>10),2357
주변_노후건물비율_30년이상_50m,14.852165313551948,높음(>10),2357
주변_초노후건물수_50년이상_50m,14.4776298930456,높음(>10),2357
주변_중위건물연한_100m,12.513994955921724,높음(>10),2357
주변_중위건물연한_50m,11.718873768412545,높음(>10),2357
주변_사용승인일유효률_100m,11.254958548629387,높음(>10),2357
주변_사용승인일유효률_50m,7.294874032926329,주의(5~10),2357
주변_초노후연면적비율_50년이상_50m,5.026784822685551,주의(5~10),2357
주변_최대건물연한_50m,4.945626798673557,양호,2357
주변_최대건물연한_100m,4.74561795363238,양호,2357
주변_노후연면적비율_30년이상_50m,4.520316945052203,양호,2357
주변_초노후연면적비율_50년이상_100m,4.0173733589460285,양호,2357
주변_노후연면적비율_30년이상_100m,3.2326819129585807,양호,2357
주변_연면적합계_m2_100m,2.0327397550703026,양호,2357
주변_연면적합계_m2_50m,1.8948024069410134,양호,2357
