구,인허가연도,신규인허가
강남구,2020,4
강남구,2022,2
강남구,2023,17
강남구,2024,28
강남구,2025,80
강동구,2021,1
강동구,2023,13
강동구,2024,77
강동구,2025,90
강북구,2022,2
강북구,2024,4
강북구,2025,12
강서구,2020,2
강서구,2021,1
강서구,2022,2
강서구,2023,13
강서구,2024,53
강서구,2025,66
관악구,2020,3
관악구,2021,1
관악구,2022,4
관악구,2023,20
관악구,2024,181
관악구,2025,89
광진구,2020,3
광진구,2021,4
광진구,2022,2
광진구,2023,13
광진구,2024,61
광진구,2025,99
구로구,2020,1
구로구,2021,1
구로구,2023,3
구로구,2024,20
구로구,2025,22
금천구,2023,1
금천구,2024,2
금천구,2025,5
노원구,2020,1
노원구,2023,3
노원구,2024,4
노원구,2025,13
도봉구,2020,1
도봉구,2023,2
도봉구,2024,8
도봉구,2025,11
동대문구,2021,1
동대문구,2022,3
동대문구,2023,12
동대문구,2024,38
동대문구,2025,32
동작구,2021,1
동작구,2022,3
동작구,2023,3
동작구,2024,36
동작구,2025,26
마포구,2020,81
마포구,2021,73
마포구,2022,91
마포구,2023,210
마포구,2024,495
마포구,2025,459
서대문구,2020,2
서대문구,2021,8
서대문구,2022,11
서대문구,2023,19
서대문구,2024,83
서대문구,2025,133
서초구,2020,3
서초구,2021,4
서초구,2022,1
서초구,2023,8
서초구,2024,6
서초구,2025,18
성동구,2020,1
성동구,2021,1
성동구,2023,7
성동구,2024,80
성동구,2025,58
성북구,2021,2
성북구,2022,6
성북구,2023,15
성북구,2024,40
성북구,2025,37
송파구,2020,3
송파구,2021,1
송파구,2022,7
송파구,2023,26
송파구,2024,48
송파구,2025,103
양천구,2021,1
양천구,2022,2
양천구,2023,7
양천구,2024,18
양천구,2025,52
영등포구,2020,1
영등포구,2021,1
영등포구,2022,2
영등포구,2023,6
영등포구,2024,27
영등포구,2025,22
용산구,2020,28
용산구,2021,30
용산구,2022,29
용산구,2023,103
용산구,2024,57
용산구,2025,122
은평구,2020,3
은평구,2021,3
은평구,2023,17
은평구,2024,10
은평구,2025,29
종로구,2020,5
종로구,2021,9
종로구,2022,9
종로구,2023,21
종로구,2024,122
종로구,2025,168
중구,2020,11
중구,2021,9
중구,2022,14
중구,2023,41
중구,2024,75
중구,2025,67
중랑구,2020,1
중랑구,2021,1
중랑구,2022,1
중랑구,2023,5
중랑구,2024,8
중랑구,2025,22
