구,업종,시설수,위험도점수_평균,위험도점수_중앙값,위험점수_AHP_평균,위험점수_AHP_중앙값,사각지대_위험도점수_평균,사각지대_위험도점수_중앙값,fire_count_150m_평균,fire_count_150m_중앙값,fire_exists_150m_평균,fire_exists_150m_중앙값,target_damage_sum_천원_평균,target_damage_sum_천원_중앙값,예상_화재발생확률_평균,예상_화재발생확률_중앙값,기대피해액_백만원_평균,기대피해액_백만원_중앙값,주변건물수_평균,주변건물수_중앙값,집중도_평균,집중도_중앙값,단속위험도_평균,단속위험도_중앙값,구조노후도_평균,구조노후도_중앙값,도로폭위험도_평균,도로폭위험도_중앙값
강남구,관광숙박업,84,49.719979042831895,48.30921570702977,48.51833333333334,45.97,49.719979042831895,48.30921570702977,7.511904761904762,7.0,0.9761904761904762,1.0,28761.25,11436.5,0.37217604592624687,0.38806969897808463,0.06706465229358437,0.0674789325005849,10.202380952380953,9.0,70.65,75.0,0.8842253232106801,0.758604192340492,0.14016666666666666,0.12005,0.5955952380952381,0.7
강남구,숙박업,80,49.1338836916763,47.61880483847463,43.3115,39.84,49.1338836916763,47.61880483847463,6.7875,6.0,0.9875,1.0,25347.3375,11499.0,0.4373428081463704,0.4669032348573565,0.0736739047405824,0.07954667298727885,10.6125,10.0,75.96875,81.8,0.9234975087846511,0.7067226750929207,0.1505125,0.1322,0.620375,0.7
강남구,외국인관광도시민박업,187,49.020613536686746,49.08828671370158,55.50320855614974,57.17,49.020613536686746,49.08828671370158,7.331550802139038,7.0,0.9358288770053476,1.0,19058.267379679146,9212.0,0.3814896923312212,0.3646787869991622,0.06966484297420603,0.0590572688858313,10.898395721925134,10.0,75.05561497326202,76.9,1.0555635505737315,0.911479174876933,0.20936310160427812,0.1408,0.5210160427807486,0.7
강서구,관광숙박업,22,42.571075555743626,42.10114019927027,41.8609090909091,42.715,42.571075555743626,42.10114019927027,2.3636363636363638,1.0,0.5909090909090909,1.0,4265.045454545455,151.0,0.43078026380154094,0.4154076534185093,0.0785725210847352,0.08029300022668315,17.045454545454547,15.0,75.36363636363636,87.35,0.5515160148602818,0.1589567656157223,0.1673818181818182,0.13005,0.34727272727272723,0.15
강서구,숙박업,86,44.24309337211499,45.02742703960712,39.08348837209302,41.230000000000004,44.24309337211499,45.02742703960712,2.441860465116279,2.0,0.5581395348837209,1.0,5353.523255813953,392.5,0.4913481640473571,0.4596314117246692,0.07650342869156003,0.0758452112224225,15.011627906976743,14.0,82.65930232558141,88.9,0.5585825213339529,0.28473087205643294,0.2259290697674419,0.14505,0.4495348837209302,0.45
강서구,외국인관광도시민박업,138,45.10664362778291,45.11802163666173,47.83014492753623,48.93,45.10664362778291,45.11802163666173,3.347826086956522,2.0,0.7028985507246377,1.0,6526.572463768116,525.0,0.4076274988169164,0.4110243063115572,0.0672528120722984,0.06559042587862884,17.557971014492754,18.0,82.87789855072465,92.9,0.5408556672858303,0.4410722958586859,0.21920434782608694,0.13725,0.573768115942029,0.7
마포구,관광숙박업,46,46.83991150347693,44.98612915970234,31.811304347826095,29.58,46.83991150347693,44.98612915970234,11.717391304347826,12.0,0.9565217391304348,1.0,53341.260869565216,55445.0,0.5571795048253234,0.591482643412691,0.08791803221076452,0.0908240147877929,16.869565217391305,15.0,77.71304347826087,86.2,0.9093489530434726,0.9885309354312517,0.15750217391304347,0.1222,0.6171739130434782,0.7
마포구,숙박업,47,52.701923306407664,52.41359819447202,38.02765957446808,32.21,52.701923306407664,52.41359819447202,5.340425531914893,4.0,0.9361702127659575,1.0,15143.91489361702,641.0,0.5040869174567834,0.4847212764072055,0.0803395692019965,0.082016702258761,11.829787234042554,7.0,67.24787234042553,75.0,0.9719718382111294,0.9131361551256396,0.267636170212766,0.1694,0.6272340425531915,0.7
마포구,외국인관광도시민박업,1070,49.18808372968528,48.94958478517618,48.13138317757009,46.519999999999996,49.18808372968528,48.94958478517618,6.27196261682243,5.0,0.9214953271028037,1.0,9977.978504672898,2682.0,0.35893572850234157,0.3440327260001307,0.054922889037122835,0.0532262010234935,16.489719626168224,17.0,82.78584112149534,90.0,0.8081616288294219,0.6454938999412162,0.3253270093457944,0.413,0.6638504672897195,0.7
서초구,관광숙박업,14,44.47001633411839,45.27931208590618,50.99714285714286,48.08,44.47001633411839,45.27931208590618,3.5,3.5,0.9285714285714286,1.0,21116.64285714286,4211.0,0.35746627311689044,0.391475252430572,0.07263663269333771,0.08107572045189851,5.928571428571429,3.5,79.32857142857144,91.675,0.4230332376699261,0.21958321977045514,0.14955,0.1279,0.3335714285714286,0.25
