구,동,숙소명,승인연도,위험도점수,위험점수_AHP,사각지대_위험도점수,fire_count_150m,target_damage_sum_천원,예상_화재발생확률,기대피해액_백만원,주변건물수,집중도,도로폭위험도,단속위험도,구조노후도
마포구,서교동,이노게스트하우스,1971,71.15719782543115,30.12,71.15719782543115,3,1130.0,0.427485997468928,0.0609837562688012,5,20.0,1.0,0.0588405000229334,0.4535
마포구,합정동,홍대 게스트하우스 Hi :Dear,1994,69.82086027209365,36.4,69.82086027209365,2,170.0,0.7317889616159138,0.1132359755176449,6,33.3,0.55,4.087176072743488,0.413
마포구,합정동,망원경,1976,69.00613112526882,44.62,69.00613112526882,3,588.0,0.7900888310769627,0.1111692296852121,14,50.0,0.7,5.124813958204963,0.4447
마포구,대흥동,D.1881,1989,68.76032917850856,56.63,68.76032917850856,3,25244.0,0.1871649294828237,0.0312270875556168,13,7.7,0.85,0.2280575661166388,0.4218
마포구,노고산동,Home Sweet Home,2003,68.58380827066959,39.17,68.58380827066959,3,9425.0,0.4155762986665107,0.0747808398383504,7,14.3,1.0,1.0593915755148284,0.1308
마포구,서교동,노스텔지아3,1989,68.36942584934778,43.48,68.36942584934778,5,2873.0,0.2368017681490041,0.0362534777264564,9,33.3,1.0,0.8209805520698302,0.4218
마포구,서교동,RM,1997,68.17541517019357,14.78,68.17541517019357,13,32624.0,0.6612756415067295,0.1085006676974141,6,16.7,1.0,0.8938178760220964,0.1394
마포구,서교동,어반우드,1973,68.02553024972258,27.48,68.02553024972258,5,1231.0,0.4339959157591773,0.0599848124801488,6,33.3,1.0,0.0444517625708338,0.45
마포구,대흥동,Casa Luna,1988,67.52833055096688,56.85,67.52833055096688,3,25244.0,0.1957244804258153,0.0321108724237183,14,14.3,0.85,0.4071057975656243,0.4236
마포구,동교동,노블스테이,1990,66.91611086885698,33.5,66.91611086885698,1,15.0,0.3537546833312608,0.0554689644200162,7,14.3,0.7,0.1823215567939546,0.42
마포구,서교동,가자하우스,1997,66.76314386635941,13.28,66.76314386635941,13,32624.0,0.5154857419484798,0.0709405747031614,2,50.0,1.0,0.7519876805828787,0.4077
마포구,노고산동,헤이스 하우스1,1989,65.88378607205578,38.42,65.88378607205578,6,2585.0,0.5188557371867529,0.070484662485568,22,27.3,1.0,0.9903987040278768,0.4218
마포구,서교동,앤드류 게스트하우스,1991,65.56556273000174,41.36,65.56556273000174,6,2880.0,0.261186301270766,0.0406777957911759,8,37.5,0.85,0.8429594587886055,0.4183
마포구,망원동,레스트 휴,1989,65.56250883049331,57.31,65.56250883049331,2,334.0,0.113486202870562,0.0180686496169203,10,40.0,1.0,0.3273766711367278,0.4218
마포구,중동,더 눅 마포,1983,65.15485053555147,37.99,65.15485053555147,2,215.0,0.3848842322086264,0.0581230833820436,11,18.2,0.7,0.2231435513142097,0.4324
마포구,서교동,스테이스트 홍대,1984,64.66369209059214,23.08,64.66369209059214,10,32967.0,0.4505940830223171,0.0607725736948047,6,50.0,1.0,0.2129911798501917,0.4307
마포구,아현동,기다린보람 마포스테이,1942,64.51374592187024,53.91,64.51374592187024,0,0.0,0.0936364047616581,0.0129777726994811,4,84.85,0.85,0.3074846997479606,0.9345
마포구,노고산동,레아스테이,1996,64.3149129931797,23.29,64.3149129931797,1,1017.0,0.481034507113086,0.0681138929548848,6,50.0,0.85,1.2078115806331018,0.4095
