구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,bw_intercept,coef_구조노후도,bw_구조노후도,coef_도로폭위험도,bw_도로폭위험도,coef_단속위험도,bw_단속위험도
종로구,종로2가,서울YMCA관광호텔,0,중위험군,37.56785597,126.9845017,198630.7961,452035.4128,22.91093724,-3.199859223380898,29.714569989137495,43.0,1.3563446119669478,1463.0,2.8188288908722328,1464.0,2.822061170351484,55.0
종로구,낙원동,목시 서울 인사동 호텔,0,중위험군,37.56954746,126.9885558,198988.9835,452223.0971,24.51774415,-4.4134482137908115,27.88116147917781,43.0,1.3542399561193816,1463.0,2.8183036103894676,1464.0,2.1226399634194064,55.0
종로구,종로4가,진가,0,중위험군,37.56787973,126.9987935,199893.4096,452037.9377,32.43761249,3.935003244744248,29.14353938718769,43.0,1.3541605274112527,1463.0,2.823438575383319,1464.0,1.2364638730044373,55.0
종로구,숭인동,더온재,0,중위험군,37.57228397,127.0203905,201801.3004,452526.9518,22.83469509,-6.989939324731527,29.73738000645772,43.0,1.3547234897800458,1463.0,2.835321960367319,1464.0,1.5003741771777657,55.0
중구,남창동,케이팝 서울타워 호스텔,0,중위험군,37.55403706,126.9763763,197912.5692,450501.8264,16.99936585,-4.488930429174037,28.467911447404337,43.0,1.3598261849489715,1463.0,2.8265549361647477,1464.0,1.7069258006051704,55.0
종로구,종로2가,스테이울림,0,중위험군,37.56718514,126.9835802,198549.3773,451960.9723,24.04776165,-3.9768652385698786,29.978710709257538,43.0,1.3566961168196983,1463.0,2.8188468222954857,1464.0,2.912536486174504,55.0
종로구,충신동,온코리아 스테이,0,중위험군,37.57265524,127.0033667,200297.4115,452567.9683,39.79377633,6.666088167349528,30.015530588597397,43.0,1.3539096381851723,1463.0,2.823827438512641,1464.0,0.4504771562630901,55.0
종로구,숭인동,엔조이스테이 호스텔,0,중위험군,37.57029351,127.0191229,201689.3601,452306.0103,21.14529386,-4.968598779882818,30.123129854924237,43.0,1.3547862089049796,1463.0,2.835648222441712,1464.0,1.6388909047138378,55.0
종로구,권농동,스테이 종로 온당,0,중위험군,37.57416521,126.9904673,199157.9029,452735.5949,32.19474877,1.535308665875366,27.132260649541763,43.0,1.3533585283662042,1463.0,2.8166407105940228,1464.0,2.3604095550770663,55.0
종로구,관수동,THE EXTAY LOUNGE,0,중위험군,37.56665459,126.9885067,198984.6048,451902.0229,18.8161887,-2.8865036998464646,29.068334003232053,43.0,1.3540926466426202,1463.0,2.818862723058455,1464.0,1.970754999907009,55.0
종로구,숭인동,서울앤호텔 동대문,0,중위험군,37.5705788,127.0200435,201770.6876,452337.6911,40.15268664,6.862232830756156,30.19457620456837,43.0,1.3548067516728182,1463.0,2.8360409437175798,1464.0,1.5401775260889492,55.0
종로구,와룡동,클래식 아파트먼트 익선,0,중위험군,37.57389547,126.9897488,199094.4271,452705.6636,31.16213307,-2.339910662634903,27.1006053285721,43.0,1.3537738409211948,1463.0,2.8170131513448156,1464.0,2.3681604176887503,55.0
종로구,숭인동,브릭 스테이 (BRIC STAY),0,중위험군,37.57248011,127.0197134,201741.4763,452548.7083,28.64444955,0.33650515669951986,29.409800305860237,43.0,1.3546830308121318,1463.0,2.8348090708263824,1464.0,1.559289720543614,55.0
종로구,충신동,연경당,0,중위험군,37.57203715,127.0039527,200349.1823,452499.3695,30.80334323,-0.45649877357579527,30.05915985429189,43.0,1.3539938501090238,1463.0,2.8246274355616694,1464.0,0.49287474873685083,55.0
종로구,돈의동,더 메이 호텔,0,중위험군,37.56923344,126.9887906,199009.7162,452188.2421,16.14393547,-3.1275340034568124,27.928783418268154,43.0,1.3540788356020574,1463.0,2.8182521626117465,1464.0,2.0629067313228737,55.0
