gu_key,dong_key,gu_label,gwr_factor,mgwr_factor
Dongjak-gu,대방동,동작구,데이터 없음,데이터 없음
Jongno-gu,내수동,종로구,집중도,데이터 없음
Dongjak-gu,흑석동,동작구,데이터 없음,데이터 없음
Dobong-gu,창동,도봉구,데이터 없음,데이터 없음
Dongdaemun-gu,청량리동,동대문구,데이터 없음,데이터 없음
Dongdaemun-gu,전농동,동대문구,데이터 없음,데이터 없음
Dongdaemun-gu,이문동,동대문구,데이터 없음,데이터 없음
Dongdaemun-gu,휘경동,동대문구,데이터 없음,데이터 없음
Dongjak-gu,상도동,동작구,데이터 없음,데이터 없음
Geumcheon-gu,독산동,금천구,데이터 없음,데이터 없음
Geumcheon-gu,시흥동,금천구,데이터 없음,데이터 없음
Guro-gu,개봉동,구로구,데이터 없음,데이터 없음
Guro-gu,구로동,구로구,데이터 없음,데이터 없음
Jongno-gu,중학동,종로구,소방위험,데이터 없음
Jung-gu,신당동,중구,주변건물수,노후도
Gangbuk-gu,미아동,강북구,데이터 없음,데이터 없음
Jongno-gu,궁정동,종로구,데이터 없음,데이터 없음
Eunpyeong-gu,응암동,은평구,데이터 없음,데이터 없음
Jongno-gu,내자동,종로구,데이터 없음,데이터 없음
Jung-gu,수표동,중구,노후도,데이터 없음
Jungnang-gu,신내동,중랑구,데이터 없음,데이터 없음
Gangseo-gu,방화동,강서구,단속위험,데이터 없음
Jongno-gu,예지동,종로구,집중도,데이터 없음
Jongno-gu,명륜2가,종로구,집중도,데이터 없음
Jongno-gu,신교동,종로구,집중도,데이터 없음
Jongno-gu,경운동,종로구,데이터 없음,데이터 없음
Gwanak-gu,신림동,관악구,데이터 없음,데이터 없음
Gwanak-gu,봉천동,관악구,데이터 없음,데이터 없음
Jongno-gu,소격동,종로구,소방위험,데이터 없음
Jongno-gu,공평동,종로구,데이터 없음,데이터 없음
Jongno-gu,청진동,종로구,데이터 없음,데이터 없음
Dongjak-gu,본동,동작구,데이터 없음,데이터 없음
Dongdaemun-gu,장안동,동대문구,데이터 없음,데이터 없음
Jongno-gu,도렴동,종로구,데이터 없음,데이터 없음
Dongjak-gu,동작동,동작구,데이터 없음,데이터 없음
Dongjak-gu,사당동,동작구,도로폭위험,데이터 없음
Dobong-gu,쌍문동,도봉구,데이터 없음,데이터 없음
Dobong-gu,방학동,도봉구,데이터 없음,데이터 없음
Jongno-gu,통인동,종로구,집중도,데이터 없음
Dobong-gu,도봉동,도봉구,데이터 없음,데이터 없음
Dongdaemun-gu,제기동,동대문구,데이터 없음,데이터 없음
Jongno-gu,누상동,종로구,집중도,데이터 없음
Dongdaemun-gu,답십리동,동대문구,데이터 없음,데이터 없음
Dongdaemun-gu,용두동,동대문구,데이터 없음,데이터 없음
Jongno-gu,창성동,종로구,데이터 없음,데이터 없음
Dongdaemun-gu,회기동,동대문구,데이터 없음,데이터 없음
Guro-gu,항동,구로구,데이터 없음,데이터 없음
Jongno-gu,세종로,종로구,데이터 없음,데이터 없음
Jongno-gu,신문로2가,종로구,소방위험,데이터 없음
Jongno-gu,삼청동,종로구,데이터 없음,데이터 없음
Dongjak-gu,노량진동,동작구,데이터 없음,데이터 없음
Jongno-gu,팔판동,종로구,데이터 없음,데이터 없음
Eunpyeong-gu,구산동,은평구,데이터 없음,데이터 없음
Jongno-gu,와룡동,종로구,주변건물수,데이터 없음
Jongno-gu,계동,종로구,소방위험,데이터 없음
Jongno-gu,적선동,종로구,데이터 없음,데이터 없음
Jongno-gu,효자동,종로구,데이터 없음,노후도
Jongno-gu,종로1가,종로구,데이터 없음,데이터 없음
Jongno-gu,안국동,종로구,데이터 없음,데이터 없음
Dongdaemun-gu,신설동,동대문구,데이터 없음,데이터 없음
Eunpyeong-gu,증산동,은평구,데이터 없음,데이터 없음
Gangnam-gu,논현동,강남구,노후도,도로폭위험
Dongjak-gu,상도1동,동작구,데이터 없음,데이터 없음
Dongjak-gu,신대방동,동작구,노후도,데이터 없음
Eunpyeong-gu,진관동,은평구,데이터 없음,데이터 없음
Geumcheon-gu,가산동,금천구,데이터 없음,데이터 없음
Guro-gu,가리봉동,구로구,데이터 없음,데이터 없음
Guro-gu,고척동,구로구,데이터 없음,데이터 없음
Guro-gu,신도림동,구로구,데이터 없음,데이터 없음
Guro-gu,오류동,구로구,데이터 없음,데이터 없음
Jungnang-gu,묵동,중랑구,데이터 없음,데이터 없음
Jongno-gu,옥인동,종로구,데이터 없음,노후도
Jongno-gu,사직동,종로구,집중도,데이터 없음
Jung-gu,필동1가,중구,도로폭위험,데이터 없음
Eunpyeong-gu,수색동,은평구,데이터 없음,데이터 없음
Jongno-gu,청운동,종로구,집중도,노후도
Eunpyeong-gu,녹번동,은평구,데이터 없음,데이터 없음
Eunpyeong-gu,불광동,은평구,데이터 없음,데이터 없음
Eunpyeong-gu,갈현동,은평구,데이터 없음,데이터 없음
Jongno-gu,당주동,종로구,데이터 없음,데이터 없음
Eunpyeong-gu,역촌동,은평구,데이터 없음,데이터 없음
Eunpyeong-gu,신사동,은평구,데이터 없음,데이터 없음
Jongno-gu,명륜3가,종로구,주변건물수,데이터 없음
Jungnang-gu,상봉동,중랑구,데이터 없음,데이터 없음
Gangbuk-gu,번동,강북구,데이터 없음,데이터 없음
Gangnam-gu,자곡동,강남구,데이터 없음,데이터 없음
Jongno-gu,관훈동,종로구,데이터 없음,도로폭위험
Jongno-gu,서린동,종로구,소방위험,데이터 없음
Jongno-gu,창신동,종로구,주변건물수,노후도
Jongno-gu,숭인동,종로구,소방위험,노후도
Jung-gu,방산동,중구,도로폭위험,데이터 없음
Jung-gu,남학동,중구,데이터 없음,데이터 없음
Jung-gu,충무로3가,중구,집중도,집중도
Jung-gu,장교동,중구,데이터 없음,데이터 없음
Jongno-gu,돈의동,종로구,소방위험,데이터 없음
Jungnang-gu,면목동,중랑구,데이터 없음,데이터 없음
Gangseo-gu,과해동,강서구,데이터 없음,데이터 없음
Gangseo-gu,공항동,강서구,단속위험,데이터 없음
Jongno-gu,효제동,종로구,도로폭위험,데이터 없음
Jongno-gu,익선동,종로구,소방위험,노후도
Jongno-gu,재동,종로구,소방위험,데이터 없음
Jung-gu,주자동,중구,노후도,데이터 없음
Gangseo-gu,마곡동,강서구,단속위험,데이터 없음
Mapo-gu,토정동,마포구,소방위험,데이터 없음
Gangseo-gu,오곡동,강서구,데이터 없음,데이터 없음
Nowon-gu,공릉동,노원구,데이터 없음,데이터 없음
Seongbuk-gu,돈암동,성북구,데이터 없음,데이터 없음
Jongno-gu,관수동,종로구,소방위험,노후도
Jongno-gu,묘동,종로구,데이터 없음,데이터 없음
Jongno-gu,장사동,종로구,데이터 없음,데이터 없음
Jung-gu,충무로5가,중구,집중도,도로폭위험
Jung-gu,주교동,중구,집중도,도로폭위험
Jongno-gu,운니동,종로구,데이터 없음,데이터 없음
Eunpyeong-gu,대조동,은평구,데이터 없음,데이터 없음
Guro-gu,온수동,구로구,데이터 없음,데이터 없음
Jongno-gu,필운동,종로구,집중도,노후도
Jongno-gu,통의동,종로구,데이터 없음,데이터 없음
Jongno-gu,체부동,종로구,데이터 없음,도로폭위험
Jung-gu,봉래동2가,중구,소방위험,데이터 없음
Jongno-gu,견지동,종로구,소방위험,데이터 없음
Jongno-gu,낙원동,종로구,소방위험,도로폭위험
Jongno-gu,종로2가,종로구,소방위험,데이터 없음
Jung-gu,필동3가,중구,소방위험,데이터 없음
Jung-gu,회현동1가,중구,소방위험,데이터 없음
Jongno-gu,종로4가,종로구,데이터 없음,데이터 없음
Jongno-gu,송현동,종로구,데이터 없음,데이터 없음
Jungnang-gu,중화동,중랑구,데이터 없음,데이터 없음
Jungnang-gu,망우동,중랑구,데이터 없음,데이터 없음
Guro-gu,궁동,구로구,데이터 없음,데이터 없음
Guro-gu,천왕동,구로구,데이터 없음,데이터 없음
Jongno-gu,봉익동,종로구,데이터 없음,노후도
Gangseo-gu,화곡동,강서구,주변건물수,도로폭위험
Jongno-gu,종로5가,종로구,도로폭위험,데이터 없음
Jongno-gu,사간동,종로구,소방위험,데이터 없음
Jung-gu,산림동,중구,데이터 없음,도로폭위험
Jongno-gu,교남동,종로구,데이터 없음,데이터 없음
Jung-gu,서소문동,중구,데이터 없음,집중도
Jung-gu,북창동,중구,데이터 없음,데이터 없음
Jongno-gu,충신동,종로구,소방위험,노후도
Jongno-gu,송월동,종로구,데이터 없음,데이터 없음
Jongno-gu,종로6가,종로구,도로폭위험,데이터 없음
Jongno-gu,이화동,종로구,소방위험,노후도
Jongno-gu,연건동,종로구,주변건물수,노후도
Jongno-gu,혜화동,종로구,집중도,도로폭위험
Jongno-gu,연지동,종로구,주변건물수,도로폭위험
Jung-gu,남산동1가,중구,소방위험,데이터 없음
Jung-gu,수하동,중구,데이터 없음,데이터 없음
Jung-gu,중림동,중구,소방위험,도로폭위험
Gangnam-gu,역삼동,강남구,주변건물수,도로폭위험
Mapo-gu,도화동,마포구,주변건물수,도로폭위험
Gwangjin-gu,능동,광진구,데이터 없음,데이터 없음
Gangseo-gu,염창동,강서구,데이터 없음,데이터 없음
Jung-gu,저동2가,중구,집중도,데이터 없음
Jung-gu,흥인동,중구,소방위험,데이터 없음
Jung-gu,을지로5가,중구,도로폭위험,노후도
Jongno-gu,평동,종로구,데이터 없음,데이터 없음
Jung-gu,소공동,중구,집중도,데이터 없음
Jongno-gu,명륜1가,종로구,집중도,데이터 없음
Jongno-gu,종로3가,종로구,소방위험,데이터 없음
Jongno-gu,인의동,종로구,주변건물수,데이터 없음
Jongno-gu,화동,종로구,소방위험,데이터 없음
Jongno-gu,권농동,종로구,데이터 없음,데이터 없음
Jung-gu,남대문로1가,중구,데이터 없음,데이터 없음
Jung-gu,을지로7가,중구,소방위험,노후도
Jung-gu,순화동,중구,데이터 없음,데이터 없음
Jung-gu,무교동,중구,데이터 없음,데이터 없음
Jung-gu,황학동,중구,소방위험,노후도
Jung-gu,충무로2가,중구,노후도,소방위험
Jung-gu,명동1가,중구,데이터 없음,데이터 없음
Jung-gu,삼각동,중구,소방위험,데이터 없음
Jung-gu,남창동,중구,주변건물수,노후도
Jongno-gu,평창동,종로구,집중도,데이터 없음
Gangbuk-gu,우이동,강북구,데이터 없음,데이터 없음
Gangdong-gu,고덕동,강동구,데이터 없음,데이터 없음
Jongno-gu,원남동,종로구,데이터 없음,데이터 없음
Jongno-gu,가회동,종로구,데이터 없음,데이터 없음
Jung-gu,묵정동,중구,집중도,데이터 없음
Jongno-gu,원서동,종로구,소방위험,데이터 없음
Jung-gu,무학동,중구,단속위험,도로폭위험
Jongno-gu,인사동,종로구,소방위험,데이터 없음
Jongno-gu,누하동,종로구,집중도,데이터 없음
Jongno-gu,수송동,종로구,데이터 없음,데이터 없음
Jongno-gu,훈정동,종로구,소방위험,데이터 없음
Jongno-gu,동숭동,종로구,소방위험,노후도
Jongno-gu,신문로1가,종로구,데이터 없음,데이터 없음
Jongno-gu,관철동,종로구,소방위험,노후도
Jung-gu,입정동,중구,데이터 없음,데이터 없음
Jung-gu,봉래동1가,중구,데이터 없음,데이터 없음
Jung-gu,충무로1가,중구,주변건물수,데이터 없음
Jung-gu,남대문로5가,중구,단속위험,단속위험
Jung-gu,오장동,중구,집중도,노후도
Jung-gu,예관동,중구,단속위험,데이터 없음
Jung-gu,남산동2가,중구,소방위험,데이터 없음
Jung-gu,남산동3가,중구,소방위험,데이터 없음
Jung-gu,저동1가,중구,집중도,데이터 없음
