gu_key,dong_key,gwr_score,gwr_n,mgwr_score,mgwr_n
Gangnam-gu,개포동,26.08175407,1.0,,
Gangnam-gu,논현동,33.42788349653846,26.0,36.581009046541936,6.0
Gangnam-gu,대치동,32.61189752111111,18.0,32.656507151998724,5.0
Gangnam-gu,도곡동,30.126631205000002,2.0,,
Gangnam-gu,삼성동,27.941479945319998,25.0,35.03998652936863,8.0
Gangnam-gu,신사동,33.78143941916667,12.0,36.47447140665911,3.0
Gangnam-gu,역삼동,26.057381780289855,69.0,21.731416644095752,10.0
Gangnam-gu,일원동,31.86189055,1.0,37.0165515174813,1.0
Gangnam-gu,청담동,31.631436389999998,10.0,41.491208777314576,3.0
Gangseo-gu,가양동,25.79873468,1.0,,
Gangseo-gu,개화동,27.58311222,1.0,,
Gangseo-gu,공항동,30.725702091,10.0,,
Gangseo-gu,내발산동,30.2780428875,4.0,34.27293773041769,1.0
Gangseo-gu,등촌동,25.887380486363636,11.0,28.73085779716447,3.0
Gangseo-gu,마곡동,25.58110314,8.0,,
Gangseo-gu,방화동,36.876158055000005,10.0,,
Gangseo-gu,염창동,17.495431855,6.0,,
Gangseo-gu,외발산동,30.971443907500003,4.0,,
Gangseo-gu,화곡동,29.565751281458333,48.0,27.550518397447465,12.0
Jongno-gu,계동,21.8401548,2.0,,
Jongno-gu,관수동,24.5171116025,4.0,24.952373183177716,4.0
Jongno-gu,관철동,27.177789831818185,11.0,28.192426535308652,2.0
Jongno-gu,관훈동,16.8226857025,4.0,22.709067521437927,1.0
Jongno-gu,구기동,39.64260737,1.0,,
Jongno-gu,권농동,32.19474877,1.0,,
Jongno-gu,낙원동,23.3673874605,20.0,20.744571279596325,5.0
Jongno-gu,내수동,25.45688496,2.0,,
Jongno-gu,누상동,37.0589768775,4.0,,
Jongno-gu,누하동,32.9531941875,4.0,,
Jongno-gu,돈의동,15.852225981999998,5.0,,
Jongno-gu,동숭동,33.10821997923077,13.0,35.18180099826634,6.0
Jongno-gu,명륜1가,35.26467955333334,3.0,,
Jongno-gu,명륜2가,21.53596102,1.0,,
Jongno-gu,명륜3가,35.538901556666666,3.0,,
Jongno-gu,명륜4가,28.144740279999997,3.0,,
Jongno-gu,봉익동,15.92274082,1.0,33.38854405232454,1.0
Jongno-gu,부암동,36.042378066666664,3.0,,
Jongno-gu,사간동,32.8999814,1.0,,
Jongno-gu,사직동,49.41784938,1.0,,
Jongno-gu,삼청동,56.07902177,1.0,,
Jongno-gu,소격동,51.18970741,1.0,,
Jongno-gu,수송동,19.90447402,3.0,,
Jongno-gu,숭인동,31.655444104285717,35.0,34.22350768149633,10.0
Jongno-gu,신교동,38.10330545,1.0,,
Jongno-gu,신문로2가,34.81453741,1.0,,
Jongno-gu,신영동,17.78686364,1.0,,
Jongno-gu,연건동,32.7392984225,4.0,38.57320650700179,1.0
Jongno-gu,연지동,27.81965246333333,3.0,26.13807249369984,1.0
Jongno-gu,옥인동,33.46681652,2.0,31.407519620452355,1.0
Jongno-gu,와룡동,32.68575111,2.0,,
Jongno-gu,운니동,31.3511978975,4.0,,
Jongno-gu,원남동,20.893207777666667,6.0,,
Jongno-gu,원서동,33.182224082,5.0,,
Jongno-gu,이화동,22.278249563333333,3.0,35.569129411558684,2.0
Jongno-gu,익선동,33.417023578333335,6.0,26.89115911290025,1.0
Jongno-gu,장사동,28.1926833,2.0,,
Jongno-gu,종로2가,22.91093724,1.0,,
Jongno-gu,종로5가,27.39253444,4.0,,
Jongno-gu,종로6가,25.16261073,3.0,,
Jongno-gu,창신동,32.057282633999996,41.0,33.38405456406883,11.0
Jongno-gu,청운동,21.345501525,2.0,23.560129304165372,2.0
Jongno-gu,청진동,21.85697839,1.0,,
Jongno-gu,체부동,31.16243028,4.0,32.58481427534568,1.0
Jongno-gu,충신동,34.5570260875,4.0,42.71898473610466,4.0
Jongno-gu,통인동,39.24446346,3.0,,
Jongno-gu,평창동,36.60424557666667,3.0,,
Jongno-gu,필운동,34.02911507666667,3.0,40.28010884563477,1.0
Jongno-gu,행촌동,32.10675619,5.0,35.30182175191176,2.0
Jongno-gu,혜화동,27.95593005,2.0,27.470468996458948,1.0
Jongno-gu,홍지동,40.208764734,5.0,,
Jongno-gu,화동,34.49219198,1.0,,
Jongno-gu,효자동,34.675553275,2.0,47.59690067117205,1.0
Jongno-gu,효제동,28.758877633333334,9.0,,
Jung-gu,(광희동,32.68384057185185,27.0,,
Jung-gu,(남산동,32.328711565625,32.0,,
Jung-gu,(만리동,37.170502082,5.0,,
Jung-gu,(명동,21.889424725,4.0,,
Jung-gu,(인현동,25.314476481666663,6.0,,
Jung-gu,(장충동,36.985603505,10.0,,
Jung-gu,(저동,16.0172091455,2.0,,
Jung-gu,(필동,31.1384650575,8.0,,
Jung-gu,(회현동,30.7748716946875,32.0,,
Jung-gu,광희동,,,34.32024990732563,7.0
Jung-gu,남대문로4가,21.66600312,2.0,,
Jung-gu,남대문로5가,34.81027770666667,3.0,39.12755159586603,1.0
Jung-gu,남산동,,,36.577892120871965,4.0
Jung-gu,남창동,21.44125262,3.0,30.910840113351124,1.0
Jung-gu,남학동,27.88206405,1.0,,
Jung-gu,다동,32.53907464,1.0,,
Jung-gu,만리동,,,42.7610393996173,1.0
Jung-gu,명동,26.77170707222222,27.0,33.406728204350614,5.0
Jung-gu,무교동,25.15223178,1.0,,
Jung-gu,무학동,25.95652037,2.0,17.737085026663937,1.0
Jung-gu,묵정동,34.485083715,2.0,,
Jung-gu,북창동,23.93818226888889,9.0,,
Jung-gu,산림동,25.46694922,2.0,35.139970162324325,1.0
Jung-gu,서소문동,30.53976772,1.0,14.4479114085873,1.0
Jung-gu,순화동,28.391865785,2.0,,
Jung-gu,신당동,34.2283373808,25.0,31.958746872999928,6.0
Jung-gu,쌍림동,29.78842366666667,3.0,33.542681174030506,1.0
Jung-gu,예장동,36.92066294222222,9.0,36.56613905035563,2.0
Jung-gu,오장동,23.448859914,5.0,26.511439490916718,3.0
Jung-gu,을지로1가,,,43.8893256661317,1.0
Jung-gu,을지로2가,13.5787579,1.0,,
Jung-gu,을지로3가,32.75363854,4.0,28.944416726284096,1.0
Jung-gu,을지로4가,20.88926405333333,3.0,,
