?,???,GWR_???,MGWR_???,gwr_score,mgwr_score,gwr_n,mgwr_n
강남구,개포동,False,True,26.08175407,,1.0,
강남구,논현동,False,False,33.42788349653846,36.581009046541936,26.0,6.0
강남구,대치동,False,False,32.61189752111111,32.656507151998724,18.0,5.0
강남구,도곡동,False,True,30.126631205,,2.0,
강남구,삼성동,False,False,27.94147994532,35.03998652936863,25.0,8.0
강남구,세곡동,True,True,,,,
강남구,수서동,True,True,,,,
강남구,신사동,False,False,33.78143941916667,36.47447140665911,12.0,3.0
강남구,압구정동,True,True,,,,
강남구,역삼동,False,False,26.05738178028985,21.731416644095752,69.0,10.0
강남구,율현동,True,True,,,,
강남구,일원동,False,False,31.86189055,37.0165515174813,1.0,1.0
강남구,자곡동,True,True,,,,
강남구,청담동,False,False,31.63143639,41.491208777314576,10.0,3.0
강동구,강일동,True,True,,,,
강동구,고덕동,True,True,,,,
강동구,길동,True,True,,,,
강동구,둔촌동,True,True,,,,
강동구,명일동,True,True,,,,
강동구,상일동,True,True,,,,
강동구,성내동,True,True,,,,
강동구,암사동,True,True,,,,
강동구,천호동,True,True,,,,
강북구,미아동,True,True,,,,
강북구,번동,True,True,,,,
강북구,수유동,True,True,,,,
강북구,우이동,True,True,,,,
강서구,가양동,False,True,25.79873468,,1.0,
강서구,개화동,False,True,27.58311222,,1.0,
강서구,공항동,False,True,30.725702091,,10.0,
강서구,과해동,True,True,,,,
강서구,내발산동,False,False,30.2780428875,34.27293773041769,4.0,1.0
강서구,등촌동,False,False,25.88738048636364,28.73085779716447,11.0,3.0
강서구,마곡동,False,True,25.58110314,,8.0,
강서구,방화동,False,True,36.876158055000005,,10.0,
강서구,염창동,False,True,17.495431855,,6.0,
강서구,오곡동,True,True,,,,
강서구,오쇠동,True,True,,,,
강서구,외발산동,False,True,30.971443907500003,,4.0,
강서구,화곡동,False,False,29.565751281458333,27.550518397447465,48.0,12.0
관악구,남현동,True,True,,,,
관악구,봉천동,True,True,,,,
관악구,신림동,True,True,,,,
광진구,광장동,True,True,,,,
광진구,구의동,True,True,,,,
광진구,군자동,True,True,,,,
광진구,능동,True,True,,,,
광진구,자양동,True,True,,,,
광진구,중곡동,True,True,,,,
광진구,화양동,True,True,,,,
구로구,가리봉동,True,True,,,,
구로구,개봉동,True,True,,,,
구로구,고척동,True,True,,,,
구로구,구로동,True,True,,,,
구로구,궁동,True,True,,,,
구로구,신도림동,True,True,,,,
구로구,오류동,True,True,,,,
구로구,온수동,True,True,,,,
구로구,천왕동,True,True,,,,
구로구,항동,True,True,,,,
금천구,가산동,True,True,,,,
금천구,독산동,True,True,,,,
금천구,시흥동,True,True,,,,
노원구,공릉동,True,True,,,,
노원구,상계동,True,True,,,,
노원구,월계동,True,True,,,,
노원구,중계동,True,True,,,,
노원구,하계동,True,True,,,,
도봉구,도봉동,True,True,,,,
도봉구,방학동,True,True,,,,
도봉구,쌍문동,True,True,,,,
도봉구,창동,True,True,,,,
동대문구,답십리동,True,True,,,,
동대문구,신설동,True,True,,,,
동대문구,용두동,True,True,,,,
동대문구,이문동,True,True,,,,
동대문구,장안동,True,True,,,,
동대문구,전농동,True,True,,,,
동대문구,제기동,True,True,,,,
동대문구,청량리동,True,True,,,,
동대문구,회기동,True,True,,,,
동대문구,휘경동,True,True,,,,
동작구,노량진동,True,True,,,,
동작구,대방동,True,True,,,,
동작구,동작동,True,True,,,,
동작구,본동,True,True,,,,
동작구,사당동,True,True,,,,
동작구,상도1동,True,True,,,,
동작구,상도동,True,True,,,,
동작구,신대방동,True,True,,,,
동작구,흑석동,True,True,,,,
마포구,공덕동,False,False,32.590110757333335,36.18090754986227,15.0,2.0
마포구,구수동,True,True,,,,
마포구,노고산동,False,False,30.48455165448276,26.44577678212169,29.0,4.0
마포구,당인동,False,True,31.92702495,,5.0,
마포구,대흥동,False,False,44.704010112000006,59.03807547876988,10.0,1.0
마포구,도화동,False,False,33.14635387047619,37.407488839475455,21.0,3.0
마포구,동교동,False,False,30.94101983508772,33.33941381581261,57.0,17.0
마포구,마포동,True,True,,,,
마포구,망원동,False,False,37.85197023653061,38.98640039219901,49.0,7.0
마포구,상수동,False,False,40.05217541333333,45.55683898149147,9.0,3.0
마포구,상암동,False,False,28.417657437142857,19.38268756409055,21.0,2.0
마포구,서교동,False,False,33.77397555935484,34.24465332080919,93.0,27.0
마포구,성산동,False,False,33.41479816529412,37.30655712026349,34.0,13.0
마포구,신공덕동,False,True,38.24298657,,1.0,
마포구,신수동,False,False,32.79553328857143,34.890294938877645,7.0,2.0
마포구,신정동,True,True,,,,
마포구,아현동,False,True,37.222003055,,4.0,
마포구,연남동,False,False,38.231298464848486,40.75953226250374,99.0,41.0
마포구,염리동,False,False,32.676694631,25.556910306701468,10.0,1.0
마포구,용강동,False,True,24.436011906666664,,3.0,
마포구,중동,False,True,35.41380482,,2.0,
마포구,창전동,False,True,34.63259427529412,,17.0,
마포구,토정동,True,True,,,,
마포구,하중동,True,True,,,,
마포구,합정동,False,False,35.060240523750004,43.46583622541152,40.0,7.0
마포구,현석동,True,True,,,,
서대문구,남가좌동,True,True,,,,
서대문구,냉천동,True,True,,,,
서대문구,대신동,True,True,,,,
서대문구,대현동,True,True,,,,
서대문구,미근동,True,True,,,,
서대문구,봉원동,True,True,,,,
서대문구,북가좌동,True,True,,,,
서대문구,북아현동,True,True,,,,
서대문구,신촌동,True,True,,,,
서대문구,연희동,True,True,,,,
서대문구,영천동,True,True,,,,
서대문구,옥천동,True,True,,,,
서대문구,창천동,True,True,,,,
서대문구,천연동,True,True,,,,
서대문구,충정로2가,True,True,,,,
서대문구,충정로3가,True,True,,,,
서대문구,합동,True,True,,,,
서대문구,현저동,True,True,,,,
서대문구,홍은동,True,True,,,,
서대문구,홍제동,True,True,,,,
서초구,내곡동,True,True,,,,
서초구,반포동,False,False,22.037741472222223,36.14643579376801,9.0,2.0
서초구,방배동,False,False,32.695617203,31.19195989974463,10.0,3.0
서초구,서초동,False,False,24.754569554444444,26.45886880571222,18.0,1.0
서초구,신원동,True,True,,,,
서초구,양재동,False,False,27.225355340000004,39.1293130885809,3.0,1.0
서초구,염곡동,True,True,,,,
서초구,우면동,True,False,,25.27737922220141,,1.0
서초구,원지동,True,True,,,,
서초구,잠원동,False,False,24.525322732,33.6679229829494,5.0,1.0
성동구,금호동1가,True,True,,,,
성동구,금호동2가,True,True,,,,
성동구,금호동3가,True,True,,,,
성동구,금호동4가,True,True,,,,
성동구,도선동,False,False,28.72972366,33.12060970388899,15.0,7.0
성동구,마장동,False,True,35.80465344,,4.0,
성동구,사근동,False,True,43.40244994,,1.0,
성동구,상왕십리동,True,True,,,,
성동구,성수동1가,True,True,,,,
성동구,성수동2가,True,True,,,,
성동구,송정동,False,False,29.73536818333333,25.077918322475256,6.0,1.0
