발생시군구,화재건수,위도,경도,평균출동분,총재산피해백만원
강남구,1578,37.506818585000005,127.0420467,6.575950570342205,7177.343
송파구,1337,37.5031,127.11643,5.981887309897782,3366.004
영등포구,1110,37.51747783,126.90419935,5.734834834834835,4740.752
마포구,1062,37.55392434,126.92211465,5.264500941619585,2696.886
강서구,998,37.554375295,126.84241245,5.964211756847027,2302.499
서초구,913,37.4895547,127.0165546,6.847754654983571,1826.402
종로구,757,37.574852,126.9912182,5.78188022897402,1741.2359999999999
성동구,753,37.552206,127.0439361,5.908742806551572,2472.803
용산구,717,37.535205,126.9760751,5.784007438400744,1134.165
중구,648,37.562830865,126.9996376,5.183539094650206,7257.048000000001
