법정동명,구,숙박시설수,연면적합계,면적_ha,전체건물수,시설수_per_ha,연면적_per_ha,숙박건물비율_pct
남산동1가,중구,11,14386.61,2.148550649312025,7.0,5.12,6696.0,157.14
관수동,종로구,22,24620.12,5.913712851270327,15.0,3.72,4163.2,146.67
동교동,마포구,150,147057.93,41.84678733040896,136.0,3.585,3514.2,110.29
회현동1가,중구,86,240908.01,30.218056814535068,38.0,2.846,7972.3,226.32
장충동1가,중구,38,103519.4,14.759238618234615,8.0,2.575,7013.9,475.0
쌍림동,중구,21,86402.02,8.202017621797856,5.0,2.56,10534.2,420.0
종로2가,종로구,14,119335.91,5.471996679591653,3.0,2.558,21808.5,466.67
회현동2가,중구,17,68122.59,6.714795993554309,10.0,2.532,10145.1,170.0
을지로2가,중구,32,50895.91,12.694646255242228,8.0,2.521,4009.2,400.0
남산동2가,중구,18,83659.66,7.226055399860739,57.0,2.491,11577.5,31.58
필운동,종로구,20,4567.12,8.048144048290848,5.0,2.485,567.5,400.0
창전동,마포구,117,48061.271,47.85833032520296,37.0,2.445,1004.2,316.22
청파동1가,용산구,48,11030.26,19.690460308742953,15.0,2.438,560.2,320.0
낙원동,종로구,18,29535.07,7.916281799169281,37.0,2.274,3730.9,48.65
회현동3가,중구,3,54972.81,1.325744709321895,6.0,2.263,41465.6,50.0
필동1가,중구,6,26667.010000000002,2.9237231434504674,6.0,2.052,9120.9,100.0
서교동,마포구,211,262335.33,116.23391858224592,219.0,1.815,2257.0,96.35
남산동3가,중구,5,7597.68,2.8123184338772096,4.0,1.778,2701.6,125.0
서계동,용산구,37,15785.88,25.423310388433247,76.0,1.455,620.9,48.68
당인동,마포구,29,9735.16,20.697625527063842,13.0,1.401,470.4,223.08
남창동,중구,19,254444.799,13.98537204116522,10.0,1.359,18193.6,190.0
익선동,종로구,6,4638.33,4.460840656969556,13.0,1.345,1039.8,46.15
만리동1가,중구,9,3297.15,6.76515262888023,9.0,1.33,487.4,100.0
갈월동,용산구,29,189986.69999999998,22.344963646393737,21.0,1.298,8502.4,138.1
연남동,마포구,82,27218.15,63.52166084019083,232.0,1.291,428.5,35.34
돈의동,종로구,4,2812.98,3.101037270308106,7.0,1.29,907.1,57.14
필동3가,중구,10,6584.3099999999995,7.941923444255482,7.0,1.259,829.1,142.86
충무로1가,중구,7,101969.24,5.730925582580354,10.0,1.221,17792.8,70.0
관철동,종로구,10,51413.82,8.30931049500696,29.0,1.203,6187.5,34.48
묵정동,중구,7,35687.241,5.882765830548887,2.0,1.19,6066.4,350.0
신수동,마포구,66,52333.25,59.75992087785121,14.0,1.104,875.7,471.43
충무로5가,중구,6,29454.03,5.560751431853888,6.0,1.079,5296.8,100.0
남대문로4가,중구,5,17661.595999999998,4.756389379163022,4.0,1.051,3713.2,125.0
이화동,종로구,12,4020.19,11.869477668323373,7.0,1.011,338.7,171.43
