구분,변수명,계산식,설명,반경(m),단위,평균,최솟값,최댓값,활용
버퍼(기본),반경_50m_건물수,"count(건물 중심점 within buffer(시설, 50m))",숙박시설 중심 반경 50m 안에 있는 전체 건물 수,50,개,16.6,0,112,"위험도 색상 구분, KDE 가중치, HeatMap 입력"
버퍼(용도별),주택_수,"count(용도코드 in {01000, 02000} within buffer)",반경 50m 내 주거용 건물(단독·다가구 등) 수,50,개,7.7,0,84,"주거비율 계산, 팝업 상세정보"
버퍼(용도별),상업_수,"count(용도코드 in {03000, 04000, 07000} within buffer)",반경 50m 내 상업용 건물(근린생활·판매시설) 수,50,개,4.7,0,53,"시설혼합비·숙박대비상가비 계산, 파이차트"
버퍼(용도별),숙박_수,count(용도코드 in {15000} within buffer),반경 50m 내 숙박 전용 건물 수,50,개,0.1,0,11,"숙박대비상가비 분모, 파이차트"
버퍼(용도별),사무_수,count(용도코드 in {14000} within buffer),반경 50m 내 업무용 건물 수,50,개,0.36,0,7,"시설혼합비 계산, 파이차트"
버퍼(용도별),기타_수,count(위 4개 용도코드 외 나머지 within buffer),반경 50m 내 기타 용도 건물 수,50,개,3.8,0,48,파이차트
버퍼(집계),주요_시설군,"argmax(주택_수, 상업_수, 숙박_수, 사무_수, 기타_수)",반경 50m 내에서 가장 많은 용도 카테고리,50,범주 (주택/상업/숙박/사무/기타),"주택 38.4%, 상업 26.7%, 기타 22.8%",-,-,"마커 색상 레이블, 지역 특성 분류"
버퍼(집계),집중도(%),주요_시설군_수 / 반경_50m_건물수 × 100,가장 많은 용도가 전체 건물에서 차지하는 비율,50,%,62.0,0.0,100.0,"용도 균질성 파악, 팝업 상세정보"
파생,시설혼합비_50m,상업_수 + 숙박_수 + 사무_수) / 반경_50m_건물수,전체 건물 중 상업·숙박·사무 비율 (높을수록 비주거 밀집),50,비율 (0~1),0.332,0.0,1.0,화재 위험 복합도 지표
파생,주거비율_50m,주택_수 / 반경_50m_건물수,전체 건물 중 주거용 비율 (높을수록 주거 지역),50,비율 (0~1),0.355,0.0,1.0,주거지 내 숙박시설 여부 판단
파생,상업비율_50m,상업_수 / 반경_50m_건물수,전체 건물 중 상업용 비율,50,비율 (0~1),0.276,0.0,1.0,상업지구 내 숙박시설 여부 판단
KDE,KDE_가중치,반경_50m_건물수 / sum(반경_50m_건물수),KDE 계산 시 각 숙박시설에 부여된 정규화 가중치,50,확률값 (합=1),0.000236,-,-,"gaussian_kde weights 인수, HeatMap intensity"
KDE,KDE_밀도값(격자),"gaussian_kde(lon,lat, weights=KDE_가중치, bw=0.04) → 200×200 격자 평가",서울 전역 200×200 격자에서 계산한 연속 밀도값 (이미지 오버레이),-,밀도 (정규화 후 0~1),-,0.0,1.0,지도 이미지 오버레이 (YlOrRd 컬러맵)
