숙소ID,구,동,업소명,주소,위도,경도,인접도로명,인접도로폭,지도표시도로폭,도로폭_출처,도로폭_도로구간매칭,도로폭_거리m,공식도로폭m,도로폭_위험도,도로폭_속도계수,도로폭_보정이동시간초,도로폭_보정예상도착초,실폭도로ID,실폭도로일련번호,도로구간관리번호,도로명코드
1,종로구,,서울YMCA관광호텔,서울특별시 종로구 종로2가 9번지,37.56785597,126.98450169,남대문로10길,폭10-12m,폭6-8m,API,교차,11.32,10.0,0.55,1.08,103,163,2124,169,1225.0,4103012
2,종로구,관훈동,호텔 썬비,서울특별시 종로구 관훈동 198-11번지,37.57030354,126.9840039,종로,폭35-40m,6m미만,API,교차,0.0,35.0,0.08,0.95,86,146,2584,214,687.0,3100013
3,종로구,관훈동,나인트리 바이 파르나스 서울 인사동,서울특별시 종로구 관훈동 155-2번지,37.57180204,126.98300804,우정국로,폭30-35m,6m미만,API,교차,0.0,30.0,0.12,0.96,82,142,1206,340,1690.0,3100009
4,종로구,인의동,이스트 아뜰리에,서울특별시 종로구 인의동 89-15번지,37.57093161,126.99588429,종로,폭35-40m,6m미만,API,교차,16.17,35.0,0.08,0.95,35,95,87,285,687.0,3100013
5,종로구,숭인동,U-STAY HOSTEL,서울특별시 종로구 숭인동 313-2번지,37.56976898,127.01545561,청계천로,폭25-30m,폭25-30m,공식만,교차,0.0,25.0,0.18,0.98,50,110,817,464,1513.0,3100021
6,종로구,낙원동,목시 서울 인사동 호텔,서울특별시 종로구 낙원동 134-2번지,37.56954746,126.98855583,종로16길,폭6-8m,6m미만,API,교차,0.0,7.0,0.85,1.22,57,117,351,198,1103.0,4100309
7,종로구,이화동,글루호텔,서울특별시 종로구 이화동 105-2번지,37.57304815,127.00317208,대학로,폭40-50m,6m미만,API,교차,91.05,40.0,0.04,0.94,81,141,491,630,391.0,3100002
8,종로구,당주동,SOUNDS INN GWANGHWAMUN,서울특별시 종로구 당주동 20-1번지,37.56859605,126.97474946,덕수궁길,폭10-12m,폭10-12m,공식만,교차,43.69,10.0,0.55,1.08,178,238,2670,4,1733.0,4103076
9,종로구,,진가,서울특별시 종로구 종로4가 167-1번지,37.56787973,126.99879348,을지로27길,폭8-10m,6m미만,API,교차,10.82,8.0,0.7,1.14,92,152,1805,222,1335.0,4103246
10,종로구,묘동,킴스텔코리아 종로점,서울특별시 종로구 묘동 121번지,37.57078678,126.99068465,수표로22길,6m미만,6m미만,API,교차,6.96,5.0,1.0,1.3,25,85,1146,201,1263.0,4100196
