변수,VIF,판정,사용행수
주변건물수_50m,62.35167029928639,높음(>10),3642
반경_50m_건물수,50.94527804394378,높음(>10),3642
주변_평균건물연한_100m,31.77785114120851,높음(>10),3642
주변_평균건물연한_50m,21.016694495110606,높음(>10),3642
주변_초노후건물비율_50년이상_100m,16.25266733649262,높음(>10),3642
주변_노후건물비율_30년이상_50m,10.578245962567937,높음(>10),3642
주변_노후건물비율_30년이상_100m,9.925833139983435,주의(5~10),3642
주변_초노후건물비율_50년이상_50m,9.914045971621329,주의(5~10),3642
주변건물수_100m,7.001736173452879,주의(5~10),3642
주변_노후연면적비율_30년이상_50m,4.155051090288053,양호,3642
주변_노후연면적비율_30년이상_100m,2.745449931906832,양호,3642
소방접근성_점수,1.137166559130453,양호,3642
로그_주변대비_상대위험도_고유단속지점_50m,1.052153572917453,양호,3642
노후도_점수,1.0519185603220373,양호,3642
공식도로폭m,1.043678748201799,양호,3642
집중도(%),1.0335269790239707,양호,3642
