TOT_OA_CD,전체건물수
11010530010001,232
11010530020001,127
11010530020002,260
11010530020003,250
11010530020004,105
11010530030001,231
11010530030002,211
11010530030003,209
11010530030004,25
11010530030005,150
11010530030101,3
11010530030102,1
11010530030103,2
11010530030104,2
11010530030201,1
11010530030301,3
11010530030401,1
11010530030501,5
11010540010001,252
11010540010002,247
11010540010003,313
11010540010004,287
11010540010005,125
11010550010001,89
11010550010002,76
11010550010003,104
11010550010004,93
11010550010005,24
11010550010006,99
11010550020001,189
11010550020002,165
11010550020003,178
11010550020004,177
11010550020005,104
11010550020006,112
11010550020007,71
11010550020008,35
11010550020009,68
11010550020010,161
11010550020011,69
11010560010001,79
11010560010002,69
11010560010003,88
11010560010004,57
11010560010005,106
11010560010006,75
11010560010007,50
11010560010008,89
11010560010009,100
11010560010010,58
11010560010011,137
11010560010012,18
11010560010013,34
11010560010014,59
11010560010015,28
11010560010016,154
11010560010017,48
11010560010018,181
11010560010019,123
11010560010020,72
11010560010021,147
11010560010022,196
11010560010023,118
11010560010024,104
11010560010025,120
11010560010026,91
11010560010027,66
11010560010101,3
11010560010201,4
11010560010701,13
11010570010001,77
11010570010002,49
11010570010003,27
11010570010101,3
11010570010102,4
11010570010103,4
11010570010104,4
11010570010105,3
11010570010106,3
11010570010107,4
11010570010201,7
11010570010202,5
11010570010203,6
11010570010204,4
11010570010301,126
11010580010001,105
11010580010002,47
11010580010003,97
11010580010004,105
11010580010005,77
11010580010006,50
11010580020001,42
11010580020002,73
11010580020003,132
11010580020201,25
11010580020301,26
11010580020302,21
11010580020401,91
11010580020402,65
11010580020403,55
11010580020501,53
11010580020502,76
11010580020503,47
11010580020504,61
11010580020505,103
11010580020506,67
11010600010001,38
11010600010002,274
11010600010003,100
11010600010004,272
11010600010005,138
11010600010006,72
11010600010007,278
11010600010008,131
11010610010001,163
11010610020001,742
11010610030001,179
11010610030002,393
11010610040001,831
11010610040002,336
11010610040003,157
11010610040004,326
11010610040005,285
